Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
HOU,NL,1975,711,64,0.32,0.359,0.254,0,162,between 652.0 and 711.0
PHI,NL,1984,690,81,0.3329999999999999,0.407,0.266,0,162,between 711.0 and 775.0
TBD,AL,1999,913,69,0.3429999999999999,0.411,0.2739999999999999,0,162,between 711.0 and 775.0
LAA,AL,1962,706,86,0.325,0.38,0.25,0,162,between 711.0 and 775.0
MON,NL,1998,783,65,0.31,0.3939999999999999,0.249,0,162,less than 652.0
SDP,NL,2011,611,71,0.305,0.349,0.237,0,162,less than 652.0
TOR,AL,2008,610,86,0.331,0.3989999999999999,0.264,0,162,between 711.0 and 775.0
SFG,NL,1987,669,90,0.324,0.43,0.26,1,162,greater than 775.0
COL,NL,2006,812,76,0.341,0.433,0.27,0,162,greater than 775.0
PIT,NL,1984,567,75,0.31,0.363,0.255,0,162,less than 652.0
BOS,AL,1987,825,78,0.352,0.43,0.278,0,162,greater than 775.0
CHC,NL,1992,624,78,0.307,0.364,0.254,0,162,less than 652.0
MIN,AL,1963,602,91,0.325,0.43,0.255,0,161,between 711.0 and 775.0
PHI,NL,1990,729,77,0.327,0.363,0.255,0,162,less than 652.0
STL,NL,2009,640,91,0.332,0.415,0.263,1,162,between 711.0 and 775.0
ATL,NL,1982,702,89,0.325,0.3829999999999999,0.256,1,162,between 711.0 and 775.0
