Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
BAL,AL,1969,517,109,0.3429999999999999,0.414,0.265,1,1.0,2.0,162,,,greater than 775.0
ATL,NL,1977,895,61,0.32,0.376,0.254,0,,,162,,,between 652.0 and 711.0
CHC,NL,1998,792,90,0.337,0.433,0.264,1,6.0,4.0,163,,,greater than 775.0
PIT,NL,1962,626,93,0.321,0.3939999999999999,0.268,0,,,161,,,between 652.0 and 711.0
OAK,AL,1982,819,68,0.309,0.367,0.236,0,,,162,,,between 652.0 and 711.0
NYY,AL,2004,808,101,0.353,0.4579999999999999,0.268,1,2.0,3.0,162,0.3279999999999999,0.432,greater than 775.0
CHC,NL,1992,624,78,0.307,0.364,0.254,0,,,162,,,less than 652.0
BOS,AL,1983,775,78,0.335,0.409,0.27,0,,,162,,,between 711.0 and 775.0
CIN,NL,1985,666,89,0.327,0.376,0.255,0,,,162,,,between 652.0 and 711.0
CLE,AL,2002,837,74,0.321,0.412,0.249,0,,,162,0.348,0.423,between 711.0 and 775.0
WSN,NL,2011,643,80,0.309,0.3829999999999999,0.242,0,,,161,0.319,0.382,less than 652.0
CLE,AL,1974,694,77,0.311,0.37,0.255,0,,,162,,,between 652.0 and 711.0
SDP,NL,1985,622,83,0.32,0.368,0.255,0,,,162,,,less than 652.0
MON,NL,1973,702,79,0.34,0.364,0.251,0,,,162,,,between 652.0 and 711.0
PHI,NL,1979,718,84,0.34,0.396,0.266,0,,,163,,,between 652.0 and 711.0
CHC,NL,1996,771,76,0.32,0.401,0.251,0,,,162,,,between 711.0 and 775.0
HOU,NL,1997,660,84,0.344,0.4029999999999999,0.259,1,7.0,4.0,162,,,greater than 775.0
ATL,NL,1998,581,106,0.342,0.4529999999999999,0.272,1,2.0,3.0,162,,,greater than 775.0
PIT,NL,2001,858,62,0.313,0.3929999999999999,0.247,0,,,162,0.344,0.433,between 652.0 and 711.0
MIL,AL,1997,742,78,0.325,0.3979999999999999,0.26,0,,,161,,,between 652.0 and 711.0
KCR,AL,1984,686,84,0.317,0.3989999999999999,0.268,1,4.0,3.0,162,,,between 652.0 and 711.0
ATL,NL,2001,643,88,0.324,0.412,0.26,1,7.0,3.0,162,0.314,0.384,between 711.0 and 775.0
SEA,AL,2010,698,61,0.298,0.3389999999999999,0.236,0,,,162,0.313,0.401,less than 652.0
DET,AL,2008,857,74,0.34,0.444,0.271,0,,,162,0.353,0.437,greater than 775.0
OAK,AL,1971,564,101,0.321,0.384,0.252,1,1.0,3.0,161,,,between 652.0 and 711.0
MIN,AL,1997,861,68,0.3329999999999999,0.409,0.27,0,,,162,,,between 711.0 and 775.0
ATL,NL,1975,739,67,0.313,0.346,0.244,0,,,161,,,less than 652.0
NYM,NL,1997,709,88,0.332,0.405,0.262,0,,,162,,,greater than 775.0
OAK,AL,2004,742,91,0.3429999999999999,0.433,0.27,0,,,162,0.332,0.409,greater than 775.0
PHI,NL,1982,654,89,0.3229999999999999,0.376,0.26,0,,,162,,,between 652.0 and 711.0
MIL,AL,1991,744,83,0.336,0.396,0.271,0,,,162,,,greater than 775.0
BOS,AL,1976,660,83,0.324,0.402,0.263,0,,,162,,,between 711.0 and 775.0
TEX,AL,1991,814,85,0.341,0.424,0.27,0,,,162,,,greater than 775.0
NYY,AL,2008,727,89,0.342,0.427,0.271,0,,,162,0.3289999999999999,0.405,greater than 775.0
BOS,AL,1974,661,84,0.3329999999999999,0.377,0.264,0,,,162,,,between 652.0 and 711.0
PIT,NL,2008,884,67,0.32,0.4029999999999999,0.258,0,,,162,0.362,0.4539999999999999,between 711.0 and 775.0
SFG,NL,1979,751,71,0.319,0.365,0.246,0,,,162,,,between 652.0 and 711.0
KCA,AL,1966,648,74,0.294,0.337,0.236,0,,,160,,,less than 652.0
MIL,NL,1999,886,74,0.353,0.426,0.273,0,,,161,0.356,0.457,greater than 775.0
OAK,AL,2008,690,75,0.318,0.369,0.242,0,,,161,0.3279999999999999,0.392,less than 652.0
ANA,AL,1999,826,70,0.322,0.395,0.256,0,,,162,0.346,0.427,between 711.0 and 775.0
MIN,AL,1978,678,73,0.3389999999999999,0.375,0.267,0,,,162,,,between 652.0 and 711.0
