CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
5.926,0.134,1.671,0,0,6.203,between 3.9875 and 4.9075
2.405,0.134,0.843,0,0,1.769,between 3.15175 and 3.9875
3.052,0.638,0.903,0,0,3.237,between 3.9875 and 4.9075
3.629,0.331,1.478,0,1,2.821,between 3.15175 and 3.9875
2.824,0.223,1.0,0,1,2.102,less than 3.15175
1.126,1.079,1.44,1,1,2.081,between 3.15175 and 3.9875
3.023,0.56,1.349,1,0,1.239,between 3.15175 and 3.9875
1.961,0.134,1.215,1,0,0.548,less than 3.15175
2.834,0.134,1.009,0,0,2.066,between 3.15175 and 3.9875
3.402,0.496,1.45,1,0,2.345,between 3.9875 and 4.9075
2.479,0.887,0.954,0,0,1.748,between 3.9875 and 4.9075
2.62,0.499,0.99,0,0,3.21,between 3.9875 and 4.9075
4.311,1.496,0.964,0,0,3.522,greater than 4.9075
4.029,0.965,1.729,0,0,4.038,between 3.9875 and 4.9075
2.781,0.711,1.147,0,0,1.515,between 3.15175 and 3.9875
0.667,1.03,0.906,0,0,1.064,greater than 4.9075
2.359,0.405,0.814,0,0,0.893,between 3.9875 and 4.9075
2.508,0.58,0.941,0,0,1.701,between 3.15175 and 3.9875
3.74,0.134,1.581,0,0,2.274,between 3.15175 and 3.9875
2.08,0.764,0.788,0,0,1.514,greater than 4.9075
3.323,0.405,1.17,0,2,2.592,between 3.9875 and 4.9075
1.925,1.16,0.801,0,0,3.314,greater than 4.9075
3.316,0.223,1.571,1,0,1.795,between 3.15175 and 3.9875
2.982,0.496,1.151,0,1,1.783,between 3.15175 and 3.9875
3.103,0.134,1.521,0,0,2.193,between 3.15175 and 3.9875
2.479,0.887,0.954,0,0,1.748,between 3.9875 and 4.9075
1.634,0.713,1.19,0,0,0.501,less than 3.15175
3.645,0.223,1.155,0,0,3.105,greater than 4.9075
3.315,0.223,0.799,0,0,3.127,between 3.9875 and 4.9075
2.479,0.887,0.954,0,0,1.748,greater than 4.9075
4.535,0.56,1.137,1,2,4.332,greater than 4.9075
3.557,0.331,1.301,2,1,2.209,between 3.9875 and 4.9075
3.111,0.405,1.05,0,2,1.756,greater than 4.9075
2.465,1.586,1.0,0,4,3.558,greater than 4.9075
2.822,0.811,1.524,0,0,-2.089,less than 3.15175
3.18,1.281,1.246,0,0,2.492,greater than 4.9075
3.25,0.0,0.95,0,0,3.259,between 3.15175 and 3.9875
2.685,0.405,1.145,0,0,1.246,between 3.15175 and 3.9875
2.726,0.496,1.108,0,1,1.06,less than 3.15175
4.443,0.251,1.287,4,3,4.453,greater than 4.9075
2.462,0.223,1.625,0,1,0.655,less than 3.15175
2.126,1.278,0.896,0,0,4.634,greater than 4.9075
3.0,0.0,0.938,1,0,2.851,between 3.15175 and 3.9875
3.739,0.0,1.204,1,1,3.374,greater than 4.9075
3.485,0.223,1.614,0,0,1.94,between 3.15175 and 3.9875
3.609,0.811,1.208,0,0,3.291,between 3.9875 and 4.9075
3.423,1.19,1.993,0,4,-1.358,between 3.15175 and 3.9875
2.91,0.0,1.0,0,0,2.608,between 3.15175 and 3.9875
3.041,0.947,1.298,0,1,1.976,greater than 4.9075
1.126,0.134,1.431,0,0,-0.317,less than 3.15175
2.428,0.956,2.609,0,0,0.113,less than 3.15175
3.867,0.0,1.4,2,0,3.659,greater than 4.9075
2.926,0.582,1.939,0,0,1.548,less than 3.15175
1.0,0.83,1.432,0,1,1.672,less than 3.15175
2.748,0.223,1.705,0,0,0.8,less than 3.15175
3.645,0.223,1.155,0,0,3.105,between 3.9875 and 4.9075
3.567,0.711,1.501,1,3,1.759,between 3.9875 and 4.9075
2.125,0.638,0.831,0,0,1.348,between 3.15175 and 3.9875
2.375,1.026,1.09,0,1,2.553,between 3.15175 and 3.9875
2.024,0.405,2.065,0,1,0.133,less than 3.15175
2.086,0.331,1.221,1,0,0.143,between 3.15175 and 3.9875
2.086,1.501,0.766,0,0,3.909,greater than 4.9075
3.74,0.134,1.581,0,0,3.186,between 3.9875 and 4.9075
2.33,0.932,0.931,0,1,2.529,between 3.9875 and 4.9075
2.477,0.83,0.983,0,0,3.795,between 3.9875 and 4.9075
3.402,0.604,1.517,0,0,3.451,greater than 4.9075
2.439,0.93,0.924,0,0,1.748,between 3.9875 and 4.9075
2.297,0.762,0.798,0,0,2.841,between 3.15175 and 3.9875
3.315,0.916,1.753,0,2,-0.439,less than 3.15175
2.216,0.389,0.796,0,0,1.953,between 3.15175 and 3.9875
2.719,0.891,2.292,0,0,1.94,between 3.15175 and 3.9875
2.555,1.11,1.686,0,0,0.289,less than 3.15175
3.63,0.134,1.476,0,0,3.358,between 3.9875 and 4.9075
2.198,0.798,0.79,0,1,2.056,between 3.15175 and 3.9875
3.08,0.223,1.583,0,1,1.442,less than 3.15175
3.528,1.74,1.288,0,0,0.626,greater than 4.9075
3.029,0.331,2.13,0,1,0.967,less than 3.15175
3.378,0.134,0.988,0,0,3.395,between 3.9875 and 4.9075
1.512,0.331,1.627,1,0,-0.386,less than 3.15175
2.507,0.405,1.5,2,0,0.076,between 3.15175 and 3.9875
1.983,1.714,2.105,0,0,2.358,greater than 4.9075
2.647,1.286,1.278,0,0,1.602,between 3.9875 and 4.9075
3.046,0.0,1.333,0,2,2.352,between 3.9875 and 4.9075
2.634,0.223,0.939,0,0,1.834,between 3.15175 and 3.9875
2.08,0.891,0.816,0,0,2.729,greater than 4.9075
2.429,0.83,1.696,0,0,2.604,between 3.15175 and 3.9875
3.734,0.223,1.426,0,0,2.502,between 3.15175 and 3.9875
3.526,0.711,1.586,0,3,1.569,between 3.15175 and 3.9875
3.177,0.918,1.919,0,0,2.031,between 3.9875 and 4.9075
2.377,0.827,0.938,0,0,2.239,between 3.9875 and 4.9075
3.252,0.223,1.077,0,0,2.51,between 3.9875 and 4.9075
2.526,0.713,1.201,1,0,2.213,between 3.15175 and 3.9875
4.086,0.452,1.843,0,0,0.37,between 3.15175 and 3.9875
3.407,1.548,1.653,0,0,1.145,greater than 4.9075
3.501,0.405,1.585,1,1,2.27,greater than 4.9075
3.314,0.331,1.173,1,0,3.112,between 3.15175 and 3.9875
3.461,0.223,1.281,0,0,2.813,between 3.9875 and 4.9075
1.634,0.713,1.19,0,0,1.313,less than 3.15175
3.979,1.306,1.404,0,1,5.176,between 3.9875 and 4.9075
2.019,1.317,0.77,0,0,3.617,greater than 4.9075
1.855,1.179,1.44,0,0,1.587,less than 3.15175
