sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,between 9.0 and 11.0
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,greater than 11.0
M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,between 9.0 and 11.0
M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,between 9.0 and 11.0
M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,between 9.0 and 11.0
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,less than 8.0
F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,greater than 11.0
F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,less than 8.0
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,greater than 11.0
F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,greater than 11.0
F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,greater than 11.0
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,between 9.0 and 11.0
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,between 8.0 and 9.0
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,greater than 11.0
I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,between 9.0 and 11.0
I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,between 8.0 and 9.0
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,greater than 11.0
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,between 8.0 and 9.0
I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,less than 8.0
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,between 8.0 and 9.0
F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,greater than 11.0
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,less than 8.0
M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,greater than 11.0
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,greater than 11.0
M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,greater than 11.0
F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,between 8.0 and 9.0
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,between 9.0 and 11.0
F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,greater than 11.0
I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,between 8.0 and 9.0
M,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,between 9.0 and 11.0
I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,less than 8.0
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,between 9.0 and 11.0
I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,between 8.0 and 9.0
F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,between 9.0 and 11.0
M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,less than 8.0
M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,between 9.0 and 11.0
M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,greater than 11.0
M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,greater than 11.0
F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,between 9.0 and 11.0
F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,greater than 11.0
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,between 9.0 and 11.0
F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,greater than 11.0
F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,greater than 11.0
I,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,greater than 11.0
I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,less than 8.0
M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,greater than 11.0
I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,less than 8.0
F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,between 9.0 and 11.0
M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,between 9.0 and 11.0
M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,between 9.0 and 11.0
F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,between 9.0 and 11.0
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,between 9.0 and 11.0
F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,greater than 11.0
M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,greater than 11.0
I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,less than 8.0
M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,greater than 11.0
I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,between 8.0 and 9.0
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,between 9.0 and 11.0
F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,greater than 11.0
I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,greater than 11.0
M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,between 8.0 and 9.0
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,greater than 11.0
M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,between 9.0 and 11.0
I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,greater than 11.0
I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,less than 8.0
F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,between 8.0 and 9.0
F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,between 8.0 and 9.0
M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,greater than 11.0
I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,between 9.0 and 11.0
M,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,between 9.0 and 11.0
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,greater than 11.0
F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,between 9.0 and 11.0
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,greater than 11.0
F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,greater than 11.0
F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,between 9.0 and 11.0
M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,between 8.0 and 9.0
F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,between 9.0 and 11.0
I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,between 8.0 and 9.0
F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,between 8.0 and 9.0
M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,between 9.0 and 11.0
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,greater than 11.0
M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,greater than 11.0
I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,greater than 11.0
I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,less than 8.0
I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,less than 8.0
F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,greater than 11.0
F,0.65,0.515,0.215,1.498,0.564,0.323,0.425,greater than 11.0
M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,greater than 11.0
M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,between 9.0 and 11.0
M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,between 9.0 and 11.0
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,greater than 11.0
M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,between 9.0 and 11.0
I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,less than 8.0
