frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
2500.0,8.4,0.0508,55.5,0.00544854,greater than 129.9955
4000.0,0.0,0.0508,31.7,0.000812164,greater than 129.9955
8000.0,7.2,0.1524,71.3,0.00752039,less than 120.191
3150.0,0.0,0.2286,39.6,0.00253511,between 120.191 and 125.721
2500.0,8.9,0.1016,39.6,0.0124596,less than 120.191
630.0,11.2,0.0508,39.6,0.0150478,greater than 129.9955
1600.0,0.0,0.3048,39.6,0.00310138,between 120.191 and 125.721
8000.0,0.0,0.0508,39.6,0.000791822,between 125.721 and 129.9955
1250.0,6.7,0.1016,71.3,0.00478288,greater than 129.9955
315.0,0.0,0.2286,31.7,0.0027238,between 120.191 and 125.721
1000.0,7.3,0.2286,55.5,0.0111706,between 120.191 and 125.721
5000.0,3.0,0.3048,39.6,0.00495741,less than 120.191
2000.0,12.7,0.0254,39.6,0.0130253,between 125.721 and 129.9955
250.0,12.3,0.1016,39.6,0.0408268,between 125.721 and 129.9955
1600.0,2.7,0.1524,71.3,0.00243851,greater than 129.9955
2500.0,5.4,0.1524,71.3,0.00401199,between 125.721 and 129.9955
