process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
2,1,2,1,80,3,0,less than 546.8189102564105
0,0,2,1,60,2,3,less than 546.8189102564105
0,3,2,1,80,2,3,less than 546.8189102564105
2,2,2,1,90,5,0,less than 546.8189102564105
0,2,1,1,70,3,0,less than 546.8189102564105
1,2,2,0,67,4,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,80,2,2,greater than 10876.6388888889
2,1,2,1,61,2,0,greater than 10876.6388888889
1,2,2,0,61,6,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,66,4,0,between 546.8189102564105 and 1316.98333333333
0,2,1,1,62,4,0,between 546.8189102564105 and 1316.98333333333
0,2,2,1,63,4,0,between 546.8189102564105 and 1316.98333333333
2,2,2,0,83,1,0,greater than 10876.6388888889
0,3,2,1,60,6,4,less than 546.8189102564105
0,2,2,1,62,2,0,between 1316.98333333333 and 10876.6388888889
1,1,2,0,80,3,0,less than 546.8189102564105
1,2,2,1,63,1,0,greater than 10876.6388888889
1,2,2,0,77,3,0,less than 546.8189102564105
2,2,2,0,87,1,0,greater than 10876.6388888889
2,3,2,1,86,1,0,greater than 10876.6388888889
2,3,2,1,59,2,0,greater than 10876.6388888889
0,1,2,0,70,4,3,less than 546.8189102564105
2,1,2,1,74,2,0,greater than 10876.6388888889
2,1,2,0,79,3,0,less than 546.8189102564105
2,3,2,1,59,1,0,greater than 10876.6388888889
0,1,1,1,70,1,3,between 546.8189102564105 and 1316.98333333333
1,2,2,1,67,2,0,greater than 10876.6388888889
2,2,2,1,59,1,0,greater than 10876.6388888889
1,2,2,0,67,1,0,greater than 10876.6388888889
2,3,2,1,61,4,0,between 546.8189102564105 and 1316.98333333333
2,1,2,1,60,2,0,greater than 10876.6388888889
1,3,2,0,61,4,0,between 546.8189102564105 and 1316.98333333333
