process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
2,3,2,0,74,6,0,between 546.8189102564105 and 1316.98333333333
2,2,2,0,76,3,0,less than 546.8189102564105
2,2,2,0,69,2,0,greater than 10876.6388888889
2,2,2,0,80,2,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,71,2,0,greater than 10876.6388888889
0,3,1,0,70,1,3,less than 546.8189102564105
1,2,2,0,64,4,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,66,1,0,greater than 10876.6388888889
2,2,2,0,61,6,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,70,1,0,greater than 10876.6388888889
2,3,2,0,74,3,0,less than 546.8189102564105
0,2,1,1,60,6,2,less than 546.8189102564105
1,3,2,0,63,1,0,greater than 10876.6388888889
1,2,2,1,70,4,0,less than 546.8189102564105
0,2,1,0,67,4,0,less than 546.8189102564105
1,2,2,1,80,2,1,between 1316.98333333333 and 10876.6388888889
2,1,2,1,72,3,0,between 1316.98333333333 and 10876.6388888889
2,2,2,0,71,2,0,greater than 10876.6388888889
2,2,2,0,62,6,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,80,1,0,greater than 10876.6388888889
0,3,2,0,67,2,0,between 546.8189102564105 and 1316.98333333333
0,2,2,0,78,2,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,90,1,2,less than 546.8189102564105
1,3,2,1,70,4,0,less than 546.8189102564105
2,3,2,1,90,5,0,less than 546.8189102564105
2,1,2,1,70,3,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,89,1,0,greater than 10876.6388888889
1,3,2,1,60,6,0,between 1316.98333333333 and 10876.6388888889
0,1,1,1,76,5,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,78,1,0,greater than 10876.6388888889
0,2,1,1,60,4,0,less than 546.8189102564105
0,1,1,1,69,4,0,less than 546.8189102564105
0,1,2,1,73,5,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,61,6,0,between 1316.98333333333 and 10876.6388888889
1,3,2,0,80,1,0,between 1316.98333333333 and 10876.6388888889
0,2,2,0,65,1,0,less than 546.8189102564105
2,1,2,0,70,3,0,less than 546.8189102564105
0,3,2,1,61,4,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,86,5,0,between 1316.98333333333 and 10876.6388888889
