city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,200.0,3,4,3,19,accept,furnished,2247.0,greater than 6768.0
Sao Paulo,225.0,3,2,2,0,accept,not furnished,0.0,between 2061.75 and 3581.5
Campinas,53.0,1,1,0,6,accept,not furnished,403.0,less than 2061.75
Porto Alegre,42.0,1,1,1,1,accept,furnished,650.0,between 2061.75 and 3581.5
Sao Paulo,101.0,2,2,1,12,accept,not furnished,582.0,between 2061.75 and 3581.5
Sao Paulo,136.0,3,4,3,2,accept,not furnished,1490.0,between 3581.5 and 6768.0
Belo Horizonte,70.0,2,2,1,3,accept,not furnished,523.0,less than 2061.75
Sao Paulo,94.0,3,2,2,12,not accept,not furnished,1046.0,greater than 6768.0
Rio de Janeiro,120.0,2,2,0,8,accept,furnished,990.0,greater than 6768.0
Rio de Janeiro,55.0,1,1,0,0,accept,furnished,0.0,less than 2061.75
Sao Paulo,126.0,4,2,2,4,accept,not furnished,870.0,between 3581.5 and 6768.0
Sao Paulo,65.0,1,1,0,1,not accept,furnished,550.0,between 3581.5 and 6768.0
Sao Paulo,130.0,3,3,3,23,accept,not furnished,1290.0,between 3581.5 and 6768.0
Campinas,80.0,3,2,1,3,accept,not furnished,430.0,less than 2061.75
Sao Paulo,600.0,5,5,6,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,227.0,4,4,3,5,accept,not furnished,4200.0,greater than 6768.0
Porto Alegre,50.0,2,1,1,3,accept,not furnished,268.0,less than 2061.75
Belo Horizonte,52.0,2,1,1,6,accept,not furnished,370.0,less than 2061.75
Belo Horizonte,243.0,4,4,4,7,not accept,not furnished,2800.0,greater than 6768.0
Porto Alegre,60.0,1,1,0,6,accept,furnished,300.0,less than 2061.75
Sao Paulo,224.0,4,5,3,12,accept,not furnished,9500.0,greater than 6768.0
Campinas,85.0,2,2,1,4,accept,not furnished,675.0,between 2061.75 and 3581.5
Sao Paulo,60.0,2,2,0,0,accept,not furnished,518.0,less than 2061.75
Sao Paulo,103.0,3,2,2,3,accept,not furnished,1224.0,between 2061.75 and 3581.5
Sao Paulo,35.0,2,1,0,1,accept,not furnished,190.0,less than 2061.75
Rio de Janeiro,300.0,4,3,2,1,accept,not furnished,2500.0,greater than 6768.0
Porto Alegre,63.0,2,2,1,8,accept,not furnished,500.0,between 2061.75 and 3581.5
Sao Paulo,73.0,2,1,1,12,accept,not furnished,450.0,less than 2061.75
Sao Paulo,92.0,3,1,1,3,accept,not furnished,340.0,less than 2061.75
Porto Alegre,148.0,3,2,2,3,accept,furnished,2200.0,between 3581.5 and 6768.0
Sao Paulo,330.0,4,3,0,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,35.0,1,1,0,0,not accept,not furnished,0.0,less than 2061.75
Rio de Janeiro,125.0,3,1,2,11,accept,not furnished,1317.0,between 3581.5 and 6768.0
Sao Paulo,400.0,3,5,5,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,198.0,3,4,2,0,accept,furnished,0.0,between 2061.75 and 3581.5
Sao Paulo,84.0,3,1,1,17,accept,not furnished,710.0,between 3581.5 and 6768.0
Sao Paulo,71.0,2,2,1,3,accept,not furnished,730.0,between 3581.5 and 6768.0
Sao Paulo,68.0,1,2,1,5,accept,not furnished,1040.0,greater than 6768.0
Porto Alegre,60.0,1,1,1,1,accept,not furnished,316.0,less than 2061.75
Belo Horizonte,110.0,3,3,2,3,accept,furnished,350.0,between 2061.75 and 3581.5
Porto Alegre,75.0,2,1,0,2,accept,not furnished,180.0,less than 2061.75
Belo Horizonte,502.0,4,3,4,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,140.0,3,3,2,0,accept,not furnished,0.0,between 3581.5 and 6768.0
Sao Paulo,50.0,2,2,1,6,accept,furnished,560.0,between 2061.75 and 3581.5
Rio de Janeiro,78.0,3,3,1,2,accept,not furnished,930.0,between 3581.5 and 6768.0
Rio de Janeiro,168.0,3,2,0,1,accept,not furnished,1000.0,between 3581.5 and 6768.0
Sao Paulo,220.0,3,3,3,0,accept,furnished,0.0,between 2061.75 and 3581.5
Porto Alegre,77.0,2,1,0,1,not accept,not furnished,0.0,less than 2061.75
Campinas,76.0,3,2,1,4,accept,not furnished,547.0,less than 2061.75
Sao Paulo,140.0,3,3,5,8,not accept,furnished,2000.0,greater than 6768.0
Sao Paulo,60.0,1,1,0,0,accept,not furnished,0.0,less than 2061.75
Campinas,650.0,4,6,4,0,accept,not furnished,760.0,greater than 6768.0
Sao Paulo,100.0,3,2,1,5,accept,not furnished,1221.0,between 2061.75 and 3581.5
Sao Paulo,470.0,4,6,3,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,115.0,3,2,1,9,accept,furnished,1082.0,greater than 6768.0
Sao Paulo,95.0,2,2,0,1,accept,furnished,621.0,between 2061.75 and 3581.5
Sao Paulo,253.0,4,5,3,16,accept,not furnished,2100.0,between 3581.5 and 6768.0
Sao Paulo,267.0,3,6,6,0,accept,not furnished,0.0,between 3581.5 and 6768.0
Porto Alegre,350.0,3,2,4,0,accept,furnished,0.0,greater than 6768.0
Belo Horizonte,45.0,1,1,1,4,accept,not furnished,507.0,between 2061.75 and 3581.5
Sao Paulo,400.0,3,3,4,0,accept,not furnished,0.0,between 3581.5 and 6768.0
Sao Paulo,144.0,2,4,6,0,accept,not furnished,0.0,between 2061.75 and 3581.5
Sao Paulo,50.0,2,1,0,2,not accept,not furnished,1000.0,less than 2061.75
Sao Paulo,90.0,2,1,0,2,accept,not furnished,622.0,between 2061.75 and 3581.5
Rio de Janeiro,135.0,4,2,2,13,accept,furnished,1300.0,greater than 6768.0
Rio de Janeiro,214.0,3,3,3,4,accept,not furnished,3575.0,greater than 6768.0
Sao Paulo,120.0,3,2,1,18,accept,not furnished,1150.0,between 3581.5 and 6768.0
Belo Horizonte,30.0,1,1,0,1,not accept,not furnished,0.0,less than 2061.75
Porto Alegre,600.0,5,7,5,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,299.0,4,5,4,8,accept,not furnished,3103.0,greater than 6768.0
Campinas,75.0,2,2,1,3,accept,not furnished,706.0,between 2061.75 and 3581.5
Sao Paulo,240.0,2,3,1,3,accept,furnished,2300.0,greater than 6768.0
Sao Paulo,120.0,2,1,0,0,accept,not furnished,0.0,less than 2061.75
Sao Paulo,32.0,1,1,1,11,accept,furnished,652.0,between 3581.5 and 6768.0
Rio de Janeiro,180.0,3,2,1,2,accept,not furnished,2000.0,greater than 6768.0
Sao Paulo,80.0,2,1,1,18,not accept,not furnished,550.0,between 2061.75 and 3581.5
Sao Paulo,65.0,3,2,1,8,accept,not furnished,650.0,between 2061.75 and 3581.5
Campinas,45.0,2,1,0,2,not accept,not furnished,250.0,less than 2061.75
Sao Paulo,89.0,3,3,0,9,accept,furnished,990.0,between 3581.5 and 6768.0
Belo Horizonte,32.0,1,1,1,1,accept,not furnished,60.0,less than 2061.75
Sao Paulo,25.0,1,1,0,0,not accept,furnished,53.0,less than 2061.75
Rio de Janeiro,85.0,3,2,1,17,accept,not furnished,1100.0,between 3581.5 and 6768.0
Sao Paulo,58.0,2,1,2,10,accept,not furnished,383.0,less than 2061.75
Sao Paulo,90.0,1,1,1,1,accept,not furnished,200.0,less than 2061.75
Sao Paulo,140.0,2,1,0,0,accept,not furnished,0.0,less than 2061.75
Rio de Janeiro,140.0,2,3,2,7,accept,not furnished,2400.0,greater than 6768.0
Belo Horizonte,200.0,4,2,2,2,accept,not furnished,1280.0,between 3581.5 and 6768.0
Rio de Janeiro,45.0,2,1,0,15,accept,not furnished,525.0,less than 2061.75
Sao Paulo,50.0,1,1,1,20,not accept,furnished,781.0,between 3581.5 and 6768.0
Sao Paulo,182.0,4,4,2,10,accept,not furnished,2965.0,greater than 6768.0
Sao Paulo,110.0,3,2,0,0,not accept,not furnished,0.0,between 2061.75 and 3581.5
Sao Paulo,34.0,1,1,0,12,accept,furnished,370.0,between 2061.75 and 3581.5
Sao Paulo,186.0,3,2,2,5,accept,not furnished,1473.0,between 3581.5 and 6768.0
Sao Paulo,42.0,1,1,1,27,accept,not furnished,560.0,between 3581.5 and 6768.0
Belo Horizonte,160.0,3,3,2,2,accept,not furnished,150.0,less than 2061.75
Belo Horizonte,68.0,2,1,1,11,accept,not furnished,400.0,less than 2061.75
Sao Paulo,60.0,2,2,1,1,accept,not furnished,862.0,between 2061.75 and 3581.5
Rio de Janeiro,98.0,2,2,0,10,accept,not furnished,950.0,between 3581.5 and 6768.0
Porto Alegre,37.0,1,1,1,2,accept,not furnished,500.0,between 2061.75 and 3581.5
Sao Paulo,95.0,2,2,1,0,accept,not furnished,0.0,between 2061.75 and 3581.5
Campinas,150.0,3,2,1,0,accept,not furnished,0.0,less than 2061.75
Sao Paulo,200.0,3,3,1,5,accept,not furnished,1750.0,between 3581.5 and 6768.0
Rio de Janeiro,85.0,3,2,1,4,accept,not furnished,1250.0,between 2061.75 and 3581.5
Sao Paulo,50.0,1,1,1,4,accept,furnished,500.0,between 3581.5 and 6768.0
Sao Paulo,300.0,3,4,1,0,accept,not furnished,0.0,between 3581.5 and 6768.0
Rio de Janeiro,207.0,4,3,1,5,accept,not furnished,1500.0,between 3581.5 and 6768.0
Sao Paulo,220.0,4,4,5,3,not accept,furnished,1700.0,between 3581.5 and 6768.0
Sao Paulo,40.0,1,1,1,1,not accept,furnished,1100.0,between 2061.75 and 3581.5
Rio de Janeiro,180.0,3,3,1,4,accept,furnished,2300.0,greater than 6768.0
Belo Horizonte,400.0,3,2,1,0,accept,not furnished,0.0,less than 2061.75
Sao Paulo,67.0,2,1,1,3,not accept,not furnished,722.0,between 2061.75 and 3581.5
Campinas,33.0,1,1,0,11,not accept,not furnished,290.0,less than 2061.75
Campinas,35.0,1,1,1,7,accept,not furnished,392.0,less than 2061.75
Sao Paulo,113.0,2,2,1,4,accept,not furnished,1000.0,between 3581.5 and 6768.0
Rio de Janeiro,126.0,3,2,1,11,accept,not furnished,1658.0,between 3581.5 and 6768.0
Sao Paulo,35.0,1,1,0,6,accept,not furnished,285.0,less than 2061.75
Sao Paulo,28.0,1,1,1,4,not accept,furnished,537.0,between 3581.5 and 6768.0
Sao Paulo,51.0,1,1,0,11,accept,furnished,900.0,between 3581.5 and 6768.0
Belo Horizonte,70.0,2,1,2,1,accept,not furnished,222.0,less than 2061.75
Porto Alegre,42.0,1,1,0,6,not accept,not furnished,320.0,less than 2061.75
Belo Horizonte,85.0,3,2,2,3,not accept,not furnished,686.0,between 2061.75 and 3581.5
Rio de Janeiro,150.0,3,3,0,6,not accept,not furnished,1100.0,between 3581.5 and 6768.0
Sao Paulo,33.0,1,1,1,18,not accept,furnished,1500.0,between 3581.5 and 6768.0
Sao Paulo,300.0,3,3,2,11,accept,furnished,2600.0,greater than 6768.0
Sao Paulo,52.0,1,1,1,15,not accept,furnished,1218.0,between 3581.5 and 6768.0
Belo Horizonte,30.0,1,1,1,1,accept,furnished,800.0,less than 2061.75
Sao Paulo,47.0,1,1,0,4,not accept,not furnished,100.0,less than 2061.75
Sao Paulo,147.0,3,2,2,4,accept,furnished,1313.0,between 3581.5 and 6768.0
Sao Paulo,58.0,2,3,2,0,not accept,not furnished,50.0,between 2061.75 and 3581.5
Sao Paulo,35.0,1,1,0,0,accept,not furnished,0.0,less than 2061.75
Sao Paulo,265.0,4,6,3,6,not accept,not furnished,2400.0,between 3581.5 and 6768.0
Rio de Janeiro,35.0,1,1,0,7,not accept,not furnished,450.0,less than 2061.75
Sao Paulo,51.0,2,1,1,7,accept,not furnished,427.0,between 2061.75 and 3581.5
Sao Paulo,130.0,3,3,2,0,accept,not furnished,0.0,between 2061.75 and 3581.5
Sao Paulo,300.0,3,2,2,0,accept,not furnished,0.0,between 3581.5 and 6768.0
Sao Paulo,550.0,3,5,8,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,105.0,3,2,2,1,accept,furnished,1544.0,greater than 6768.0
Sao Paulo,142.0,3,4,3,2,accept,not furnished,1200.0,greater than 6768.0
Rio de Janeiro,172.0,3,3,3,3,accept,not furnished,2000.0,greater than 6768.0
Campinas,45.0,2,1,1,3,accept,not furnished,312.0,less than 2061.75
Sao Paulo,30.0,1,1,1,10,not accept,furnished,1700.0,between 3581.5 and 6768.0
Sao Paulo,30.0,1,1,0,3,accept,not furnished,380.0,between 2061.75 and 3581.5
