longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-117.11,32.79,16,1791.0,518.0,1006.0,491.0,3.5179,between 119600.0 and 179700.0
-117.83,34.14,26,8254.0,1153.0,3460.0,1131.0,6.5253,greater than 264725.0
-121.08,38.67,10,2499.0,331.0,1040.0,333.0,6.844,between 179700.0 and 264725.0
-122.29,37.81,26,768.0,152.0,392.0,127.0,1.7719,less than 119600.0
-117.61,33.45,6,950.0,184.0,426.0,186.0,4.7237,between 179700.0 and 264725.0
-117.19,34.06,21,6107.0,1559.0,2805.0,1444.0,2.5643,less than 119600.0
-117.65,33.49,16,2223.0,454.0,628.0,382.0,4.3603,between 179700.0 and 264725.0
-118.26,33.96,39,1255.0,323.0,902.0,327.0,1.5812,less than 119600.0
-122.22,37.78,44,2968.0,710.0,2269.0,610.0,2.3906,less than 119600.0
-122.18,37.75,45,990.0,261.0,901.0,260.0,2.1731,less than 119600.0
-117.27,34.45,8,6463.0,1095.0,3213.0,1031.0,3.2215,less than 119600.0
-122.65,38.23,52,1923.0,393.0,910.0,345.0,3.45,between 179700.0 and 264725.0
-122.08,37.61,26,2261.0,443.0,1039.0,395.0,3.7931,between 179700.0 and 264725.0
-122.18,37.78,50,1642.0,322.0,713.0,284.0,3.2984,between 119600.0 and 179700.0
-115.56,32.79,20,2372.0,835.0,2283.0,767.0,1.1707,less than 119600.0
-118.21,34.64,16,2573.0,427.0,1273.0,426.0,5.9508,between 179700.0 and 264725.0
