cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3.0,less than 23.707115153
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28.0,between 34.44277358 and 46.13628654
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,between 34.44277358 and 46.13628654
516.0,0.0,0.0,162.0,8.26,801.0,802.0,28.0,between 34.44277358 and 46.13628654
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14.0,between 34.44277358 and 46.13628654
250.0,0.0,95.69,191.84,5.33,948.9,857.2,56.0,between 34.44277358 and 46.13628654
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,between 34.44277358 and 46.13628654
387.0,20.0,94.0,157.0,13.93,938.0,845.0,28.0,greater than 46.13628654
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0,between 34.44277358 and 46.13628654
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7.0,less than 23.707115153
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28.0,between 34.44277358 and 46.13628654
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,less than 23.707115153
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7.0,less than 23.707115153
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,greater than 46.13628654
491.0,26.0,123.0,210.0,3.93,882.0,699.0,3.0,between 23.707115153 and 34.44277358
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,greater than 46.13628654
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0,between 23.707115153 and 34.44277358
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,greater than 46.13628654
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3.0,between 34.44277358 and 46.13628654
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,between 23.707115153 and 34.44277358
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,14.0,less than 23.707115153
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0,between 23.707115153 and 34.44277358
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28.0,less than 23.707115153
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28.0,between 23.707115153 and 34.44277358
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,greater than 46.13628654
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56.0,greater than 46.13628654
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,greater than 46.13628654
387.0,20.0,94.0,157.0,11.61,938.0,845.0,56.0,greater than 46.13628654
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7.0,less than 23.707115153
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,between 34.44277358 and 46.13628654
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,greater than 46.13628654
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28.0,greater than 46.13628654
