education,experience,ethnicity,smsa,region,parttime,wage
12,14.0,cauc,no,northeast,no,between 308.64 and 522.32
12,1.0,cauc,yes,south,no,less than 308.64
12,10.0,cauc,no,south,no,between 308.64 and 522.32
17,23.0,cauc,yes,midwest,no,greater than 783.48
14,12.0,cauc,yes,west,no,between 522.32 and 783.48
12,25.0,cauc,no,west,no,between 308.64 and 522.32
13,21.0,cauc,yes,south,no,between 308.64 and 522.32
9,18.0,cauc,no,south,no,between 308.64 and 522.32
12,8.0,cauc,yes,midwest,yes,less than 308.64
15,18.0,cauc,yes,west,no,greater than 783.48
12,9.0,cauc,yes,west,no,greater than 783.48
16,9.0,cauc,yes,south,no,greater than 783.48
16,5.0,cauc,yes,south,no,between 522.32 and 783.48
12,4.0,cauc,yes,midwest,no,between 308.64 and 522.32
16,40.0,cauc,yes,west,yes,less than 308.64
7,29.0,cauc,yes,south,no,between 308.64 and 522.32
12,11.0,cauc,yes,west,yes,less than 308.64
12,19.0,cauc,no,midwest,no,less than 308.64
12,11.0,cauc,no,midwest,no,between 308.64 and 522.32
16,8.0,cauc,yes,west,no,greater than 783.48
12,11.0,cauc,yes,northeast,no,greater than 783.48
12,40.0,afam,yes,south,no,between 522.32 and 783.48
13,4.0,cauc,yes,south,no,between 308.64 and 522.32
12,26.0,cauc,yes,south,no,greater than 783.48
12,10.0,cauc,yes,midwest,no,between 522.32 and 783.48
13,10.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,3.0,cauc,no,midwest,no,less than 308.64
3,29.0,cauc,yes,west,no,between 308.64 and 522.32
12,2.0,cauc,no,west,no,between 308.64 and 522.32
14,0.0,cauc,yes,northeast,no,less than 308.64
12,13.0,cauc,no,midwest,no,between 308.64 and 522.32
8,54.0,cauc,no,midwest,no,greater than 783.48
