lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
5.0,0.0,3901.0,222.0,134.0,3.59,3.39,441690.0,89857.0,5.39,8.38,8.38,0.0,2.79,9.38,10.98,162.48,308.38,1.7,216.0,1115104.0,between 81.0 and 89.0
104.0,118.0,5679.0,569.0,448.0,7.2,5.0,407867.0,26012.0,0.0,0.0,0.0,0.0,0.2,19.6,20.0,362.2,621.0,6.6,905.0,1295725.0,less than 81.0
2.0,1.0,420.0,93.0,30.0,0.8,1.0,206743.0,111335.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,45.4,65.6,3.4,1761.0,1758696.0,greater than 94.0
0.0,0.0,906.0,187.0,50.0,0.2,0.2,194669.0,144179.0,0.0,0.0,0.0,0.0,0.0,2.2,4.4,15.6,17.4,4.0,1082.0,1753923.0,greater than 94.0
8.0,1.0,1594.0,220.0,208.0,5.6,1.6,130662.0,12888.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,263.8,379.8,1.0,589.0,1759709.0,less than 81.0
3.0,2.0,4103.0,272.0,245.0,0.6,1.0,63344.0,456656.0,0.0,0.0,0.0,0.0,0.0,7.19,7.19,64.27,150.7,2.0,436.0,1002681.0,less than 81.0
94.0,57.0,2937.0,259.0,214.0,4.0,6.2,180958.0,92968.0,0.0,0.0,0.0,0.0,0.6,2.4,2.4,217.0,362.4,2.4,541.0,1318082.0,between 81.0 and 89.0
19.0,5.0,3533.0,200.0,170.0,0.8,0.8,48462.0,62104.0,0.0,0.0,0.0,0.0,0.0,3.99,7.19,59.08,90.22,1.8,387.0,1065178.0,between 89.0 and 94.0
1.0,1.0,194.0,15.0,23.0,0.2,0.2,585.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,16.8,3.0,579.0,1710640.0,greater than 94.0
31.0,17.0,1373.0,130.0,81.0,2.8,5.0,152019.0,94826.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,184.0,277.6,2.8,1606.0,1537723.0,between 89.0 and 94.0
10.0,1.0,1612.0,410.0,68.0,2.8,2.6,137882.0,42400.0,0.0,0.0,0.0,0.0,0.0,5.0,6.6,210.0,218.0,1.6,2281.0,1805726.0,less than 81.0
2.0,0.0,2745.0,500.0,473.0,1.6,2.61,475622.0,350382.0,0.0,0.0,0.0,0.0,0.0,9.02,9.02,80.76,124.85,1.0,849.0,1131040.0,between 89.0 and 94.0
0.0,0.0,2287.0,69.0,72.0,0.2,0.2,4922.0,12462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,16.8,1.0,8353.0,1864864.0,between 89.0 and 94.0
50.0,68.0,964.0,96.0,66.0,0.6,0.6,5346.0,14303.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,240.8,78.2,3.2,896.0,975246.0,greater than 94.0
5.0,2.0,385.0,41.0,23.0,1.8,1.8,132680.0,9449.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,164.6,149.6,2.0,4657.0,1847570.0,between 89.0 and 94.0
19.0,28.0,586.0,76.0,51.0,0.2,0.2,1609.0,13494.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,15.6,16.8,2.0,1258.0,1713042.0,greater than 94.0
2.0,0.0,3584.0,137.0,89.0,0.6,0.8,113087.0,83996.0,0.0,0.0,0.0,0.0,0.0,4.79,6.19,49.3,97.6,3.2,703.0,1015262.0,between 81.0 and 89.0
16.0,2.0,7472.0,815.0,570.0,12.77,9.98,428576.0,117636.0,7.98,12.57,26.75,29.34,1.6,4.39,5.59,629.74,967.27,1.0,274.0,996176.0,less than 81.0
37.0,55.0,956.0,81.0,40.0,0.4,0.8,296870.0,22289.0,0.0,0.0,0.0,0.0,0.0,4.2,4.4,33.8,75.4,1.5,1729.0,1009814.0,greater than 94.0
0.0,0.0,403.0,63.0,56.0,0.2,0.2,251165.0,35837.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,15.57,16.97,1.6,1980.0,1763633.0,between 89.0 and 94.0
1.0,0.0,362.0,37.0,82.0,0.2,0.2,90723.0,86835.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,22.4,20.8,3.2,990.0,1716496.0,greater than 94.0
0.0,0.0,4129.0,274.0,136.0,0.8,0.8,295888.0,114089.0,1.4,1.8,1.6,0.0,0.2,11.58,11.78,52.69,106.39,2.2,515.0,1011946.0,between 81.0 and 89.0
23.0,7.0,1277.0,149.0,121.0,1.2,1.8,22772.0,19460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,131.4,2.8,670.0,977107.0,between 89.0 and 94.0
6.0,0.0,5077.0,462.0,404.0,5.4,1.8,180837.0,225321.0,5.0,11.8,31.0,55.8,1.0,8.4,8.8,257.0,508.4,1.2,157.0,1006085.0,less than 81.0
3.0,0.0,437.0,38.0,29.0,2.0,2.0,59422.0,19164.0,6.2,6.2,6.2,0.0,0.0,1.6,1.6,167.0,151.4,3.0,152.0,1783864.0,between 81.0 and 89.0
4.0,1.0,2123.0,352.0,198.0,0.4,0.6,22142.0,32892.0,4.0,5.6,14.4,13.8,0.8,2.2,2.4,34.2,59.8,1.4,252.0,1750914.0,between 89.0 and 94.0
0.0,0.0,159.0,9.0,10.0,0.2,0.2,682.0,7433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57,16.77,1.0,1849.0,1777844.0,greater than 94.0
11.0,8.0,1466.0,184.0,138.0,1.0,1.2,113794.0,81996.0,8.58,16.77,16.57,0.0,0.2,2.59,2.99,85.43,187.03,1.2,291.0,971772.0,between 89.0 and 94.0
34.0,44.0,698.0,69.0,72.0,0.4,0.4,94947.0,66105.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2,38.2,60.4,1.4,630.0,1060845.0,greater than 94.0
99.0,46.0,5467.0,904.0,164.0,3.39,4.39,2204636.0,77915.0,3.39,11.38,18.56,41.92,12.57,4.79,6.99,272.26,420.76,452.0,77.0,23.0,less than 81.0
13.0,9.0,2548.0,188.0,118.0,0.6,1.0,136256.0,21993.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,52.4,136.4,1.8,1053.0,973027.0,between 89.0 and 94.0
24.0,0.0,4730.0,665.0,542.0,9.6,6.6,433275.0,28268.0,1.4,2.4,7.6,14.4,2.0,11.0,11.0,500.0,827.2,3.0,293.0,1013954.0,less than 81.0
