carat,cut,color,clarity,depth,table,x,y,z,price
0.51,Premium,E,SI2,61.8,58.0,5.08,5.11,3.15,between 950.0 and 2401.0
0.61,Ideal,G,VS1,62.1,56.0,5.42,5.44,3.37,between 950.0 and 2401.0
2.02,Premium,I,VS2,62.9,59.0,8.03,7.93,5.02,greater than 5324.25
0.38,Ideal,F,VVS1,62.3,54.1,4.63,4.66,2.9,between 950.0 and 2401.0
0.41,Ideal,H,IF,62.1,56.0,4.76,4.74,2.95,between 950.0 and 2401.0
1.51,Very Good,I,SI1,62.8,59.0,7.17,7.26,4.53,greater than 5324.25
0.3,Good,E,SI1,63.8,55.0,4.28,4.25,2.72,less than 950.0
2.02,Premium,G,SI1,62.3,61.0,8.07,7.96,4.99,greater than 5324.25
0.27,Very Good,F,VVS2,62.5,59.0,4.11,4.15,2.58,less than 950.0
0.9,Good,E,SI1,63.8,61.0,6.05,6.08,3.87,between 2401.0 and 5324.25
0.7,Good,E,SI2,59.9,57.0,5.75,5.8,3.46,between 950.0 and 2401.0
0.71,Very Good,J,SI1,59.1,61.0,5.82,5.85,3.45,between 950.0 and 2401.0
0.9,Ideal,F,VS2,62.6,56.0,6.16,6.23,3.88,between 2401.0 and 5324.25
0.31,Ideal,G,VS2,61.7,55.0,4.37,4.35,2.69,less than 950.0
1.21,Very Good,H,VS2,62.1,60.0,6.77,6.83,4.22,greater than 5324.25
1.31,Good,H,SI2,64.1,57.0,6.9,6.84,4.41,greater than 5324.25
0.74,Very Good,D,SI2,63.1,58.0,5.69,5.79,3.62,between 2401.0 and 5324.25
0.35,Premium,G,VVS2,62.4,56.0,4.53,4.47,2.81,between 950.0 and 2401.0
0.36,Ideal,E,VS2,61.1,57.0,4.56,4.61,2.8,less than 950.0
0.35,Ideal,H,VS2,61.7,56.0,4.55,4.59,2.82,less than 950.0
0.55,Ideal,J,SI1,61.2,55.0,5.29,5.3,3.24,between 950.0 and 2401.0
1.09,Premium,I,SI1,62.7,60.0,6.57,6.51,4.1,between 2401.0 and 5324.25
1.08,Premium,I,SI2,62.7,57.0,6.57,6.53,4.11,between 2401.0 and 5324.25
0.32,Very Good,F,SI1,62.7,57.0,4.37,4.4,2.75,less than 950.0
0.31,Ideal,E,VS2,61.7,55.0,4.38,4.41,2.71,less than 950.0
0.53,Premium,G,SI1,62.1,62.0,5.15,5.13,3.19,between 950.0 and 2401.0
0.7,Ideal,G,SI2,61.4,57.0,5.69,5.74,3.51,between 950.0 and 2401.0
0.9,Very Good,E,SI1,61.3,57.0,6.24,6.29,3.84,between 2401.0 and 5324.25
