relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.64,784.0,343.0,220.5,3.5,2,0.25,2,between 12.9925 and 18.95
0.82,612.5,318.5,147.0,7.0,2,0.1,2,between 18.95 and 31.6675
0.71,710.5,269.5,220.5,3.5,3,0.1,5,less than 12.9925
0.66,759.5,318.5,220.5,3.5,3,0.1,1,less than 12.9925
0.69,735.0,294.0,220.5,3.5,5,0.25,1,less than 12.9925
0.9,563.5,318.5,122.5,7.0,5,0.1,5,between 18.95 and 31.6675
0.74,686.0,245.0,220.5,3.5,5,0.4,1,between 12.9925 and 18.95
0.82,612.5,318.5,147.0,7.0,2,0.4,2,between 18.95 and 31.6675
0.86,588.0,294.0,147.0,7.0,2,0.4,1,greater than 31.6675
0.62,808.5,367.5,220.5,3.5,4,0.4,1,between 12.9925 and 18.95
0.9,563.5,318.5,122.5,7.0,2,0.4,3,greater than 31.6675
0.76,661.5,416.5,122.5,7.0,4,0.25,3,greater than 31.6675
0.79,637.0,343.0,147.0,7.0,2,0.25,1,greater than 31.6675
0.76,661.5,416.5,122.5,7.0,4,0.4,5,greater than 31.6675
0.86,588.0,294.0,147.0,7.0,5,0.4,4,greater than 31.6675
0.98,514.5,294.0,110.25,7.0,4,0.1,4,between 18.95 and 31.6675
