X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,between 0.0 and 0.52
4,5,sep,sun,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,between 0.0 and 0.52
2,5,jul,sat,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,between 0.0 and 0.52
7,4,jul,sat,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,between 0.0 and 0.52
4,5,feb,sat,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,between 0.0 and 0.52
8,4,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,greater than 6.57
4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,between 0.0 and 0.52
3,4,mar,sat,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,between 0.0 and 0.52
8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,between 0.0 and 0.52
4,4,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,greater than 6.57
2,5,jul,sat,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,between 0.0 and 0.52
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,between 0.52 and 6.57
6,3,aug,fri,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,between 0.52 and 6.57
7,4,aug,sun,91.6,181.3,613.0,7.6,19.3,61,4.9,0.0,between 0.0 and 0.52
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,between 0.52 and 6.57
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,between 0.52 and 6.57
