bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
4,2.25,1780.0,8820.0,1.0,0,0,4,8,1480.0,300.0,1966.0,0.0,98032,47.3618,-122.289,1780.0,8625.0,2015,5,7,less than 321950.0
2,1.0,1130.0,2640.0,1.0,0,0,4,8,1130.0,0.0,1927.0,0.0,98109,47.6438,-122.357,1680.0,3200.0,2014,6,24,between 450000.0 and 645000.0
3,1.75,1410.0,1899.0,2.0,0,0,3,8,1410.0,0.0,2014.0,0.0,98106,47.5171,-122.347,1410.0,1811.0,2014,12,2,less than 321950.0
2,1.0,880.0,6171.0,1.0,0,0,4,7,880.0,0.0,1949.0,0.0,98125,47.7262,-122.285,2260.0,12769.0,2014,8,19,between 321950.0 and 450000.0
4,2.0,1810.0,8750.0,1.0,0,0,2,7,1110.0,700.0,1967.0,0.0,98058,47.4307,-122.17,1810.0,8750.0,2014,6,16,less than 321950.0
3,2.25,1700.0,9008.0,1.0,0,0,3,8,1340.0,360.0,1985.0,0.0,98125,47.7161,-122.317,2340.0,8003.0,2015,4,2,between 450000.0 and 645000.0
3,2.75,3910.0,7080.0,1.0,0,0,5,9,1970.0,1940.0,1949.0,0.0,98112,47.6324,-122.289,3480.0,7370.0,2015,2,18,greater than 645000.0
4,2.25,1720.0,2300.0,1.0,0,0,3,7,860.0,860.0,1940.0,2014.0,98116,47.5762,-122.412,1720.0,4680.0,2014,12,1,between 450000.0 and 645000.0
3,2.25,1860.0,5028.0,2.0,0,0,3,8,1860.0,0.0,2012.0,0.0,98019,47.7318,-121.982,2320.0,5465.0,2014,12,23,between 321950.0 and 450000.0
3,2.5,1850.0,4600.0,2.0,0,0,3,7,1850.0,0.0,2005.0,0.0,98058,47.4661,-122.145,2160.0,4751.0,2014,11,19,less than 321950.0
3,2.25,1660.0,7003.0,2.0,0,0,3,7,1660.0,0.0,1996.0,0.0,98030,47.3599,-122.188,1840.0,6680.0,2014,8,22,less than 321950.0
4,2.5,3070.0,7200.0,2.0,0,0,3,8,3070.0,0.0,2005.0,0.0,98059,47.4899,-122.138,2590.0,7200.0,2015,5,5,between 450000.0 and 645000.0
2,1.0,1180.0,2160.0,1.0,0,1,3,7,940.0,240.0,1909.0,0.0,98119,47.6313,-122.368,2700.0,5400.0,2014,7,15,between 450000.0 and 645000.0
2,1.75,1460.0,426450.0,1.0,0,0,5,7,960.0,500.0,1966.0,0.0,98022,47.2079,-121.967,1810.0,17350.0,2014,9,11,between 321950.0 and 450000.0
5,1.75,2330.0,6450.0,1.0,0,1,3,8,1330.0,1000.0,1958.0,0.0,98146,47.4959,-122.367,2330.0,8258.0,2015,5,8,between 450000.0 and 645000.0
6,4.5,3900.0,9100.0,2.0,0,0,3,8,2870.0,1030.0,1979.0,0.0,98052,47.6612,-122.137,2080.0,9216.0,2014,10,7,greater than 645000.0
4,2.5,4090.0,215186.0,2.0,0,0,4,8,3670.0,420.0,1979.0,0.0,98092,47.2964,-122.116,2430.0,142005.0,2015,5,11,between 450000.0 and 645000.0
3,1.0,850.0,6906.0,1.0,0,0,3,6,850.0,0.0,1948.0,0.0,98155,47.7441,-122.314,1150.0,6907.0,2014,6,24,between 321950.0 and 450000.0
4,1.75,1730.0,6500.0,1.0,0,0,3,7,1250.0,480.0,1945.0,0.0,98115,47.6982,-122.282,1910.0,8100.0,2014,11,25,greater than 645000.0
4,2.0,2390.0,23972.0,2.0,0,0,3,7,1720.0,670.0,1949.0,0.0,98023,47.3197,-122.343,1950.0,22750.0,2015,4,30,less than 321950.0
3,1.0,1000.0,9170.0,1.0,0,0,3,7,1000.0,0.0,1980.0,0.0,98058,47.4405,-122.134,1610.0,9170.0,2015,4,15,between 321950.0 and 450000.0
3,1.0,960.0,9624.0,1.0,0,0,3,7,960.0,0.0,1953.0,0.0,98155,47.7758,-122.301,1540.0,9624.0,2015,4,29,less than 321950.0
4,3.0,2520.0,4104.0,2.0,0,0,3,7,2520.0,0.0,2002.0,0.0,98065,47.5352,-121.88,2510.0,5015.0,2015,3,25,between 450000.0 and 645000.0
3,2.5,3510.0,9824.0,2.0,0,0,3,9,3510.0,0.0,2002.0,0.0,98075,47.5635,-122.032,3510.0,10588.0,2015,4,21,greater than 645000.0
3,2.5,1980.0,4274.0,2.0,0,0,3,7,1980.0,0.0,2003.0,0.0,98028,47.7767,-122.239,2000.0,4394.0,2014,12,30,between 321950.0 and 450000.0
3,1.0,1310.0,9554.0,1.0,0,0,3,7,960.0,350.0,1962.0,0.0,98001,47.2949,-122.285,1310.0,9845.0,2015,4,8,less than 321950.0
3,2.5,2940.0,4799.0,1.0,0,0,3,9,1710.0,1230.0,1996.0,0.0,98033,47.6681,-122.184,2540.0,4616.0,2014,9,3,between 450000.0 and 645000.0
4,3.0,1820.0,8261.0,1.0,0,0,3,7,1420.0,400.0,1969.0,0.0,98034,47.7197,-122.219,1920.0,7961.0,2014,10,14,between 450000.0 and 645000.0
3,1.75,2180.0,10230.0,1.0,0,0,4,7,1090.0,1090.0,1961.0,0.0,98118,47.5158,-122.281,2130.0,7200.0,2014,5,30,between 321950.0 and 450000.0
3,3.5,3500.0,9473.0,2.0,0,0,3,10,3500.0,0.0,2008.0,0.0,98075,47.5807,-121.972,3510.0,7833.0,2015,2,12,greater than 645000.0
5,2.75,2500.0,7140.0,1.0,0,0,4,7,1250.0,1250.0,1968.0,0.0,98008,47.6225,-122.108,2230.0,8400.0,2014,10,18,between 450000.0 and 645000.0
2,1.0,1430.0,365904.0,1.0,0,0,3,7,1010.0,420.0,1991.0,0.0,98065,47.513,-121.857,2300.0,253519.0,2014,11,24,between 321950.0 and 450000.0
4,2.75,2630.0,15000.0,1.0,0,0,4,7,1690.0,940.0,1976.0,0.0,98072,47.7425,-122.089,1800.0,16500.0,2014,10,3,between 450000.0 and 645000.0
2,1.0,910.0,2002.0,1.5,0,0,3,6,910.0,0.0,1900.0,0.0,98112,47.6188,-122.306,1190.0,1208.0,2014,7,1,between 450000.0 and 645000.0
4,2.25,2660.0,7957.0,1.0,0,0,4,8,1750.0,910.0,1977.0,0.0,98011,47.7351,-122.199,1890.0,8250.0,2015,4,14,between 450000.0 and 645000.0
4,2.5,2520.0,4831.0,2.0,0,0,3,8,2520.0,0.0,2009.0,0.0,98072,47.7711,-122.168,2430.0,3937.0,2014,12,1,between 450000.0 and 645000.0
3,2.25,1760.0,11946.0,2.0,0,0,3,8,1760.0,0.0,1978.0,0.0,98074,47.624,-122.05,2080.0,12068.0,2014,7,17,between 450000.0 and 645000.0
3,2.5,2410.0,9916.0,2.0,0,0,4,10,2410.0,0.0,1989.0,0.0,98052,47.6911,-122.103,2310.0,8212.0,2014,9,5,greater than 645000.0
3,2.5,3150.0,21893.0,2.0,0,0,3,9,3150.0,0.0,2006.0,0.0,98014,47.6455,-121.901,2280.0,21886.0,2014,8,14,between 450000.0 and 645000.0
2,1.0,1040.0,20524.0,1.0,0,3,3,6,1040.0,0.0,1949.0,1989.0,98014,47.6981,-121.875,1880.0,38996.0,2014,9,9,less than 321950.0
2,2.5,1480.0,1369.0,3.0,0,0,3,7,1480.0,0.0,2009.0,0.0,98052,47.676,-122.121,1390.0,1337.0,2014,5,12,between 321950.0 and 450000.0
