lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
3.144,9,8375.919,1386.738,7063.762,60.317,60.317,570.222,575.199,1.391,7.449,1.021,11.68,0.231,greater than 0.988
2.088,6,3924.507,1344.995,6789.711,22.439,22.439,550.166,565.648,1.231,6.69,1.019,22.389,0.196,between 0.962 and 0.975
2.088,6,5538.35,1394.62,6757.882,31.573,31.573,568.251,567.428,1.298,7.042,1.02,0.0,0.208,greater than 0.988
7.148,21,38996.456,2678.063,9123.283,332.315,332.315,823.135,688.686,2.977,15.589,1.036,43.913,0.869,between 0.975 and 0.988
6.175,18,29761.32,2306.81,8805.797,245.913,245.913,788.023,670.955,2.508,13.377,1.03,35.121,0.695,between 0.962 and 0.975
9.3,27,72773.156,3560.4,9754.329,644.949,644.949,1061.377,774.173,4.519,22.545,1.051,88.0,1.742,between 0.975 and 0.988
6.175,18,29760.929,2306.777,8802.617,245.918,245.918,786.469,670.234,2.509,13.383,1.03,35.045,0.694,between 0.962 and 0.975
7.148,21,39011.844,2677.984,9113.784,332.49,332.49,815.223,684.119,2.99,15.697,1.036,43.566,0.863,greater than 0.988
9.3,27,72777.603,3560.423,9777.127,644.98,644.98,1082.73,781.231,4.492,22.387,1.05,89.454,1.771,between 0.962 and 0.975
4.161,12,14721.667,1547.458,7762.378,113.769,113.769,643.688,607.766,1.66,8.945,1.022,17.338,0.343,between 0.962 and 0.975
8.206,24,50993.393,3087.461,9299.759,438.067,438.067,913.819,727.352,3.597,18.541,1.042,59.799,1.184,greater than 0.988
2.088,6,6361.226,1389.387,6785.292,30.608,30.608,586.284,569.847,1.32,7.117,1.02,1.04,0.235,greater than 0.988
1.138,3,1987.954,1402.848,6686.351,10.644,10.644,507.431,558.05,1.17,6.352,1.019,0.0,0.128,between 0.962 and 0.975
2.088,6,2824.391,1366.648,6788.079,26.301,26.301,503.647,559.166,1.199,6.482,1.019,8.353,0.132,between 0.962 and 0.975
2.088,6,6049.323,1351.3,6838.892,23.644,23.644,607.996,575.992,1.297,7.028,1.019,21.871,0.265,less than 0.962
9.3,27,72774.566,3560.402,9751.158,644.786,644.786,1051.513,771.488,4.522,22.478,1.051,87.129,1.725,greater than 0.988
2.088,6,3619.304,1346.892,6812.869,22.774,22.774,537.12,564.077,1.221,6.594,1.019,20.747,0.181,less than 0.962
6.175,18,29764.919,2306.963,8810.114,246.015,246.015,786.824,670.994,2.507,13.346,1.03,35.026,0.693,between 0.962 and 0.975
5.14,15,21633.958,1924.335,8493.751,175.269,175.269,705.823,638.289,2.079,11.029,1.026,25.013,0.495,between 0.962 and 0.975
5.14,15,21631.726,1924.343,8489.626,175.307,175.307,695.015,634.781,2.081,10.978,1.027,24.448,0.484,between 0.975 and 0.988
6.175,18,29797.301,2307.235,8843.331,246.303,246.303,770.926,669.348,2.497,13.058,1.03,33.9,0.671,less than 0.962
3.144,9,8380.092,1386.763,7143.653,60.372,60.372,580.626,581.172,1.388,7.406,1.02,12.059,0.239,between 0.962 and 0.975
