fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Professional_Self-Employed,Professional_Self-Employed,intact,white,22.9,greater than 14.6
Clerk,Salesman-Nonretail,nonintact,black,0.0,less than 0.6
Professional_Self-Employed,Professional-Salaried,nonintact,black,0.4,less than 0.6
Clerk,Farmer/Farm_Manager,nonintact,white,0.8,between 0.6 and 3.3
Service_Worker,Professional-Salaried,nonintact,black,6.3,between 3.3 and 14.6
Craftsman-Construction,Farm_Laborer,intact,black,1.4,less than 0.6
Proprietor,Laborer-Nonmanufacturing,intact,black,0.4,between 0.6 and 3.3
Salesman-Nonretail,Operative-Nonmanufacturing,intact,white,26.7,greater than 14.6
Professional_Self-Employed,Clerk,intact,white,22.4,between 3.3 and 14.6
Salesman-Retail,Proprietor,intact,white,2.3,greater than 14.6
Service_Worker,Salesman-Retail,intact,white,28.2,greater than 14.6
Professional_Self-Employed,Clerk,nonintact,white,2.1,between 0.6 and 3.3
Clerk,Operative-Nonmanufacturing,intact,black,2.9,between 0.6 and 3.3
Professional-Salaried,Service_Worker,intact,white,24.8,greater than 14.6
Operative-Manufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Service_Worker,nonintact,black,1.0,between 0.6 and 3.3
Operative-Nonmanufacturing,Operative-Nonmanufacturing,intact,black,20.4,greater than 14.6
Manager,Professional-Salaried,nonintact,white,14.0,greater than 14.6
Service_Worker,Craftsman-Construction,nonintact,white,13.1,greater than 14.6
Clerk,Laborer-Manufacturing,nonintact,black,0.5,between 0.6 and 3.3
Manager,Craftsman-Manufacturing,intact,black,0.0,between 0.6 and 3.3
Salesman-Nonretail,Salesman-Nonretail,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.8,between 3.3 and 14.6
Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,white,7.0,between 3.3 and 14.6
Farmer/Farm_Manager,Craftsmen-Other,intact,white,118.1,greater than 14.6
Service_Worker,Service_Worker,nonintact,white,21.5,greater than 14.6
Professional-Salaried,Craftsman-Construction,nonintact,white,1.5,between 3.3 and 14.6
Operative-Nonmanufacturing,Manager,nonintact,white,6.0,greater than 14.6
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,71.4,greater than 14.6
Farm_Laborer,Salesman-Retail,intact,white,16.5,between 3.3 and 14.6
Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7,greater than 14.6
Craftsman-Construction,Craftsman-Construction,intact,white,154.3,greater than 14.6
Operative-Manufacturing,Farmer/Farm_Manager,intact,white,6.8,between 3.3 and 14.6
Proprietor,Farm_Laborer,intact,black,0.0,less than 0.6
Professional_Self-Employed,Craftsmen-Other,intact,black,0.0,less than 0.6
Professional-Salaried,Farmer/Farm_Manager,intact,white,3.3,between 3.3 and 14.6
Farmer/Farm_Manager,Clerk,nonintact,black,0.8,between 3.3 and 14.6
Manager,Farm_Laborer,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Craftsmen-Other,intact,white,34.9,greater than 14.6
Professional-Salaried,Craftsmen-Other,intact,white,54.7,greater than 14.6
Operative-Nonmanufacturing,Proprietor,intact,white,5.4,greater than 14.6
Service_Worker,Farm_Laborer,intact,black,2.0,between 0.6 and 3.3
Craftsman-Construction,Service_Worker,intact,white,33.5,greater than 14.6
Craftsman-Manufacturing,Salesman-Nonretail,intact,white,31.4,greater than 14.6
Professional_Self-Employed,Farmer/Farm_Manager,intact,white,1.4,between 0.6 and 3.3
Craftsman-Construction,Craftsmen-Other,nonintact,white,5.8,between 3.3 and 14.6
Farmer/Farm_Manager,Laborer-Manufacturing,intact,black,31.8,greater than 14.6
Salesman-Nonretail,Operative-Nonmanufacturing,intact,black,0.6,less than 0.6
Professional_Self-Employed,Proprietor,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Craftsman-Construction,intact,white,10.0,greater than 14.6
Operative-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,13.0,between 3.3 and 14.6
Professional_Self-Employed,Laborer-Manufacturing,nonintact,white,1.6,less than 0.6
Craftsmen-Other,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Farm_Laborer,nonintact,black,0.8,less than 0.6
Salesman-Nonretail,Farm_Laborer,nonintact,black,0.0,less than 0.6
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7,greater than 14.6
Salesman-Retail,Clerk,nonintact,white,11.4,between 3.3 and 14.6
Professional-Salaried,Proprietor,nonintact,white,0.8,between 0.6 and 3.3
Craftsman-Manufacturing,Farm_Laborer,nonintact,white,3.1,less than 0.6
Proprietor,Clerk,intact,black,1.1,between 0.6 and 3.3
Service_Worker,Service_Worker,intact,black,13.7,between 3.3 and 14.6
Farmer/Farm_Manager,Laborer-Manufacturing,nonintact,black,9.5,between 3.3 and 14.6
Professional_Self-Employed,Farm_Laborer,intact,white,0.0,between 0.6 and 3.3
Proprietor,Craftsman-Construction,intact,white,30.8,greater than 14.6
Laborer-Nonmanufacturing,Craftsmen-Other,nonintact,white,0.8,between 3.3 and 14.6
Salesman-Retail,Proprietor,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Farm_Laborer,nonintact,white,3.4,between 0.6 and 3.3
Farm_Laborer,Craftsman-Construction,intact,black,3.0,between 3.3 and 14.6
Craftsman-Manufacturing,Laborer-Manufacturing,nonintact,white,3.2,between 0.6 and 3.3
Craftsmen-Other,Manager,intact,black,2.2,between 0.6 and 3.3
Laborer-Nonmanufacturing,Professional_Self-Employed,intact,black,0.0,less than 0.6
Operative-Manufacturing,Manager,nonintact,black,0.6,between 0.6 and 3.3
Salesman-Nonretail,Operative-Nonmanufacturing,nonintact,black,0.0,less than 0.6
Clerk,Professional-Salaried,nonintact,white,40.5,greater than 14.6
Salesman-Nonretail,Proprietor,intact,black,0.0,less than 0.6
Salesman-Nonretail,Professional-Salaried,intact,white,114.0,greater than 14.6
Laborer-Manufacturing,Professional_Self-Employed,nonintact,white,0.0,less than 0.6
Salesman-Nonretail,Craftsman-Construction,nonintact,white,0.4,between 0.6 and 3.3
Professional_Self-Employed,Craftsmen-Other,nonintact,white,0.0,between 0.6 and 3.3
Proprietor,Manager,nonintact,black,0.0,less than 0.6
Service_Worker,Manager,intact,white,30.0,greater than 14.6
Craftsman-Manufacturing,Service_Worker,intact,black,2.7,between 3.3 and 14.6
Professional-Salaried,Professional-Salaried,nonintact,black,3.1,between 3.3 and 14.6
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,black,6.2,between 0.6 and 3.3
Craftsman-Manufacturing,Service_Worker,intact,white,50.7,greater than 14.6
Craftsman-Construction,Professional_Self-Employed,nonintact,white,0.0,less than 0.6
Operative-Nonmanufacturing,Laborer-Nonmanufacturing,intact,white,117.2,greater than 14.6
Proprietor,Professional_Self-Employed,intact,black,0.0,less than 0.6
Farm_Laborer,Proprietor,intact,white,1.5,greater than 14.6
Service_Worker,Laborer-Manufacturing,intact,black,3.7,between 3.3 and 14.6
Proprietor,Professional-Salaried,nonintact,white,13.3,between 3.3 and 14.6
Clerk,Operative-Nonmanufacturing,nonintact,white,16.3,between 3.3 and 14.6
Salesman-Nonretail,Service_Worker,intact,white,9.5,greater than 14.6
Salesman-Nonretail,Laborer-Nonmanufacturing,intact,white,18.9,between 3.3 and 14.6
Laborer-Nonmanufacturing,Clerk,intact,black,11.4,greater than 14.6
Farm_Laborer,Salesman-Retail,intact,black,3.8,less than 0.6
Laborer-Manufacturing,Clerk,nonintact,white,2.3,between 0.6 and 3.3
Professional-Salaried,Clerk,intact,white,96.6,greater than 14.6
Professional_Self-Employed,Operative-Manufacturing,nonintact,white,1.9,less than 0.6
Salesman-Retail,Salesman-Nonretail,nonintact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Laborer-Manufacturing,nonintact,black,0.9,between 0.6 and 3.3
Service_Worker,Salesman-Nonretail,nonintact,black,1.4,less than 0.6
Professional-Salaried,Operative-Manufacturing,intact,black,1.8,between 0.6 and 3.3
Craftsman-Construction,Laborer-Nonmanufacturing,nonintact,white,14.0,between 0.6 and 3.3
Proprietor,Laborer-Manufacturing,intact,white,19.1,between 3.3 and 14.6
Clerk,Service_Worker,nonintact,white,12.6,between 3.3 and 14.6
Salesman-Nonretail,Salesman-Retail,intact,white,26.3,greater than 14.6
Craftsman-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,3.1,between 0.6 and 3.3
Craftsman-Manufacturing,Clerk,nonintact,black,0.5,less than 0.6
Salesman-Retail,Professional-Salaried,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,intact,black,28.9,greater than 14.6
Craftsman-Manufacturing,Craftsmen-Other,intact,white,61.3,greater than 14.6
Salesman-Nonretail,Craftsman-Manufacturing,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Clerk,nonintact,white,19.5,between 3.3 and 14.6
Professional-Salaried,Manager,nonintact,black,0.6,between 0.6 and 3.3
Farm_Laborer,Salesman-Retail,nonintact,black,0.0,less than 0.6
Professional-Salaried,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Manager,Salesman-Nonretail,intact,white,82.0,greater than 14.6
Laborer-Nonmanufacturing,Clerk,nonintact,black,3.1,between 0.6 and 3.3
Craftsmen-Other,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Manager,Laborer-Manufacturing,intact,white,13.0,between 3.3 and 14.6
Craftsman-Manufacturing,Clerk,intact,black,6.5,between 3.3 and 14.6
Proprietor,Farm_Laborer,nonintact,black,0.0,less than 0.6
Professional-Salaried,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Clerk,Professional_Self-Employed,intact,white,1.9,between 3.3 and 14.6
Professional-Salaried,Farm_Laborer,intact,black,0.7,less than 0.6
Service_Worker,Operative-Nonmanufacturing,nonintact,black,25.6,greater than 14.6
Operative-Manufacturing,Proprietor,nonintact,white,0.7,between 3.3 and 14.6
