fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Salesman-Nonretail,Craftsman-Manufacturing,intact,white,12.4,greater than 14.6
Manager,Service_Worker,nonintact,white,3.2,between 0.6 and 3.3
Manager,Craftsman-Construction,nonintact,white,1.6,between 3.3 and 14.6
Salesman-Nonretail,Proprietor,nonintact,black,0.0,less than 0.6
Salesman-Nonretail,Operative-Manufacturing,intact,white,30.2,greater than 14.6
Salesman-Nonretail,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Professional_Self-Employed,Craftsman-Manufacturing,nonintact,white,0.0,between 0.6 and 3.3
Craftsman-Manufacturing,Farm_Laborer,nonintact,white,3.1,less than 0.6
Clerk,Farmer/Farm_Manager,intact,white,2.3,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,intact,white,4.2,between 3.3 and 14.6
Professional_Self-Employed,Craftsman-Construction,intact,black,0.0,less than 0.6
Craftsmen-Other,Professional-Salaried,intact,black,5.1,between 3.3 and 14.6
Clerk,Laborer-Nonmanufacturing,nonintact,white,11.0,between 3.3 and 14.6
Operative-Manufacturing,Professional_Self-Employed,nonintact,white,1.6,between 0.6 and 3.3
Farm_Laborer,Operative-Nonmanufacturing,nonintact,white,5.1,between 3.3 and 14.6
Professional_Self-Employed,Clerk,nonintact,white,2.1,between 0.6 and 3.3
Farm_Laborer,Manager,intact,black,0.9,between 0.6 and 3.3
Operative-Manufacturing,Salesman-Nonretail,intact,black,2.6,less than 0.6
Professional-Salaried,Service_Worker,nonintact,black,3.4,between 0.6 and 3.3
Farmer/Farm_Manager,Operative-Manufacturing,nonintact,black,9.5,greater than 14.6
Operative-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.8,between 3.3 and 14.6
Farm_Laborer,Clerk,intact,white,27.3,greater than 14.6
Farmer/Farm_Manager,Craftsman-Manufacturing,nonintact,white,6.2,greater than 14.6
Professional_Self-Employed,Service_Worker,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Craftsman-Construction,nonintact,white,4.1,between 3.3 and 14.6
