class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,R,X,1,1,1,1,2,1,1,greater than 0.0
E,S,O,1,1,1,2,2,1,1,greater than 0.0
H,S,X,1,3,1,1,1,1,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
H,S,X,2,2,1,2,2,1,1,greater than 0.0
D,S,I,1,3,1,1,2,1,1,greater than 0.0
D,R,O,1,2,1,1,2,1,1,greater than 0.0
C,R,O,1,2,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
F,A,I,1,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
E,H,C,2,3,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,1,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
F,A,I,2,2,3,2,2,1,1,greater than 0.0
