duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,utime
49.178333,mpeg4,176.0,144.0,54338.0,7.0,10.0,334.0,0.0,344.0,33046.0,300986.0,334032.0,flv,56000.0,12.0,320.0,240.0,less than 2.096
203.198,flv,320.0,240.0,239336.0,29.0,104.0,5974.0,0.0,6078.0,853613.0,5225468.0,6079081.0,mpeg4,242000.0,25.0,320.0,240.0,less than 2.096
176.901,vp8,480.0,360.0,26968.0,25.113636,38.0,4382.0,0.0,4420.0,393395.0,202954.0,596349.0,mpeg4,539000.0,15.0,1920.0,1080.0,between 4.408 and 10.433
157.891,h264,480.0,360.0,406908.0,29.0,87.0,4646.0,0.0,4733.0,1776729.0,6254165.0,8030894.0,flv,109000.0,15.0,1920.0,1080.0,between 2.096 and 4.408
255.28,flv,320.0,240.0,250276.0,25.0,110.0,6272.0,0.0,6382.0,611474.0,7374864.0,7986338.0,h264,3000000.0,25.0,1920.0,1080.0,greater than 10.433
440.967,h264,320.0,240.0,281642.0,30.0,236.0,12994.0,0.0,13230.0,2444863.0,13079542.0,15524405.0,vp8,242000.0,25.0,320.0,240.0,between 2.096 and 4.408
270.655,vp8,640.0,480.0,652967.0,30.062963,89.0,8028.0,0.0,8117.0,1912240.0,20178890.0,22091130.0,h264,5000000.0,29.97,1920.0,1080.0,greater than 10.433
292.092,h264,480.0,360.0,480125.0,29.0,156.0,8599.0,0.0,8755.0,2375028.0,15155062.0,17530090.0,mpeg4,56000.0,29.97,480.0,360.0,between 4.408 and 10.433
384.451,h264,640.0,480.0,646432.0,29.0,205.0,11318.0,0.0,11523.0,2839955.0,28225248.0,31065203.0,h264,109000.0,25.0,176.0,144.0,between 2.096 and 4.408
476.957,vp8,1280.0,720.0,1387100.0,30.05252,105.0,14200.0,0.0,14305.0,3487520.0,79210885.0,82698405.0,vp8,242000.0,25.0,480.0,360.0,between 4.408 and 10.433
69.93833,mpeg4,176.0,144.0,56717.0,12.0,14.0,825.0,0.0,839.0,47521.0,448322.0,495843.0,flv,539000.0,24.0,320.0,240.0,less than 2.096
273.816,vp8,1920.0,1080.0,1571003.0,25.065933,77.0,6766.0,0.0,6843.0,6190779.0,47579961.0,53770740.0,mpeg4,539000.0,25.0,1920.0,1080.0,greater than 10.433
77.233,h264,480.0,360.0,382461.0,30.0,53.0,2265.0,0.0,2318.0,182297.0,3510033.0,3692330.0,vp8,820000.0,12.0,320.0,240.0,between 2.096 and 4.408
69.933,flv,320.0,240.0,272898.0,15.0,37.0,1013.0,0.0,1050.0,349781.0,2035796.0,2385577.0,flv,5000000.0,25.0,1920.0,1080.0,between 4.408 and 10.433
645.84,vp8,320.0,240.0,95903.0,25.032558,138.0,16008.0,0.0,16146.0,1081321.0,6660941.0,7742262.0,h264,3000000.0,24.0,480.0,360.0,greater than 10.433
256.20834,mpeg4,176.0,144.0,57565.0,12.0,56.0,3018.0,0.0,3074.0,302900.0,1540700.0,1843600.0,h264,5000000.0,29.97,176.0,144.0,between 2.096 and 4.408
67.583336,mpeg4,176.0,144.0,51225.0,12.0,15.0,777.0,0.0,792.0,47585.0,385164.0,432749.0,mpeg4,242000.0,15.0,176.0,144.0,less than 2.096
326.583,vp8,640.0,480.0,1055982.0,25.039877,102.0,8061.0,0.0,8163.0,1868804.0,41239444.0,43108248.0,flv,820000.0,29.97,480.0,360.0,less than 2.096
225.08,h264,480.0,360.0,538452.0,25.0,113.0,5515.0,0.0,5628.0,1873408.0,13275961.0,15149369.0,vp8,242000.0,15.0,640.0,480.0,between 4.408 and 10.433
43.827,flv,320.0,240.0,272273.0,25.0,23.0,1081.0,0.0,1104.0,137210.0,1354404.0,1491614.0,mpeg4,539000.0,25.0,1920.0,1080.0,greater than 10.433
43.827,flv,320.0,240.0,272273.0,25.0,23.0,1081.0,0.0,1104.0,137210.0,1354404.0,1491614.0,mpeg4,56000.0,29.97,320.0,240.0,between 2.096 and 4.408
