Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
DET,AL,1994,752,84,0.3299999999999999,0.409,0.266,0,,,162,0.324,0.424,between 711.0 and 775.0
STL,NL,1979,693,82,0.328,0.384,0.258,0,,,162,0.335,0.414,between 652.0 and 711.0
MIN,AL,1980,750,77,0.318,0.394,0.256,0,,,161,0.322,0.411,between 711.0 and 775.0
SEA,AL,2009,737,85,0.332,0.4059999999999999,0.262,0,,,162,0.328,0.407,between 711.0 and 775.0
CLE,AL,2001,821,91,0.349,0.464,0.284,1,2.0,3.0,162,0.341,0.446,greater than 775.0
KCR,AL,1978,712,92,0.326,0.406,0.259,0,,,162,0.329,0.405,between 711.0 and 775.0
CHC,NL,1995,738,84,0.324,0.4039999999999999,0.2589999999999999,0,,,163,0.329,0.409,between 711.0 and 775.0
CIN,NL,1984,755,70,0.313,0.384,0.2539999999999999,0,,,162,0.316,0.395,between 652.0 and 711.0
PIT,NL,1989,684,74,0.3089999999999999,0.3779999999999999,0.246,0,,,162,0.322,0.394,between 652.0 and 711.0
MIL,NL,2002,794,56,0.3199999999999999,0.3999999999999999,0.2589999999999999,0,,,161,0.3299999999999999,0.419,between 711.0 and 775.0
BAL,AL,1996,781,88,0.3429999999999999,0.4499999999999999,0.279,0,,,162,0.3389999999999999,0.431,greater than 775.0
ATL,NL,1990,689,65,0.299,0.355,0.236,0,,,162,0.308,0.381,less than 652.0
MIN,AL,2008,743,88,0.3359999999999999,0.421,0.274,0,,,162,0.329,0.414,between 711.0 and 775.0
COL,NL,2005,844,67,0.328,0.4039999999999999,0.258,0,,,162,0.34,0.429,between 711.0 and 775.0
TBR,AL,2007,735,66,0.3189999999999999,0.39,0.249,0,,,162,0.325,0.407,less than 652.0
LAA,AL,2013,715,78,0.329,0.404,0.256,0,,,162,0.326,0.411,between 652.0 and 711.0
HOU,NL,2006,742,82,0.319,0.3849999999999999,0.252,0,,,162,0.323,0.402,between 652.0 and 711.0
STL,NL,1992,692,83,0.327,0.398,0.2599999999999999,0,,,162,0.3299999999999999,0.411,between 711.0 and 775.0
FLA,NL,2000,735,79,0.324,0.394,0.255,0,,,162,0.328,0.408,between 652.0 and 711.0
PHI,NL,1985,693,77,0.306,0.361,0.244,0,,,163,0.313,0.384,less than 652.0
ARI,NL,2003,769,84,0.3299999999999999,0.412,0.261,0,,,162,0.3329999999999999,0.423,between 711.0 and 775.0
BOS,AL,1997,764,78,0.333,0.4219999999999999,0.265,0,,,162,0.335,0.428,greater than 775.0
DET,AL,1986,777,87,0.3269999999999999,0.401,0.259,0,,,162,0.329,0.412,between 711.0 and 775.0
TEX,AL,2004,869,89,0.338,0.4399999999999999,0.268,0,,,162,0.341,0.447,greater than 775.0
WSA,AL,1969,664,75,0.292,0.348,0.231,0,,,159,0.305,0.373,less than 652.0
CHW,AL,1987,760,77,0.3179999999999999,0.395,0.2559999999999999,0,,,162,0.3229999999999999,0.409,between 652.0 and 711.0
MIL,AL,1993,819,69,0.323,0.402,0.258,0,,,162,0.3299999999999999,0.414,between 711.0 and 775.0
KCR,AL,1976,734,90,0.329,0.407,0.262,0,,,162,0.323,0.413,between 711.0 and 775.0
SFG,NL,1973,632,88,0.3139999999999999,0.384,0.2549999999999999,0,,,162,0.3179999999999999,0.399,between 652.0 and 711.0
MON,NL,1981,697,74,0.309,0.362,0.247,0,,,162,0.315,0.386,less than 652.0
CIN,NL,1996,835,81,0.3349999999999999,0.4279999999999999,0.265,0,,,162,0.3379999999999999,0.431,greater than 775.0
TOR,AL,1995,752,56,0.316,0.3849999999999999,0.2529999999999999,0,,,162,0.321,0.401,between 652.0 and 711.0
STL,NL,2009,751,91,0.3369999999999999,0.43,0.269,1,2.0,3.0,162,0.329,0.428,greater than 775.0
CLE,AL,2003,794,68,0.3259999999999999,0.4099999999999999,0.2589999999999999,0,,,162,0.329,0.414,between 711.0 and 775.0
ATL,NL,1993,700,76,0.312,0.3689999999999999,0.251,0,,,162,0.318,0.393,between 652.0 and 711.0
SDP,NL,1994,669,73,0.313,0.369,0.2489999999999999,0,,,162,0.3189999999999999,0.395,less than 652.0
DET,AL,2006,785,95,0.3529999999999999,0.456,0.281,0,,,162,0.34,0.444,greater than 775.0
MIN,AL,1992,780,87,0.3329999999999999,0.41,0.268,0,,,162,0.3299999999999999,0.409,between 711.0 and 775.0
KCR,AL,1984,726,84,0.313,0.3889999999999999,0.256,0,,,162,0.318,0.403,between 652.0 and 711.0
LAD,NL,1987,589,73,0.303,0.355,0.2389999999999999,0,,,162,0.309,0.384,less than 652.0
ARI,NL,2008,740,82,0.3219999999999999,0.4039999999999999,0.2579999999999999,0,,,162,0.326,0.414,between 711.0 and 775.0
NYY,AL,2005,844,95,0.36,0.468,0.289,1,3.0,2.0,162,0.3429999999999999,0.439,greater than 775.0
BOS,AL,2008,737,95,0.349,0.454,0.28,0,,,162,0.3359999999999999,0.429,greater than 775.0
MIL,AL,1998,783,74,0.3249999999999999,0.408,0.258,0,,,162,0.3299999999999999,0.412,between 711.0 and 775.0
CHC,NL,2005,755,79,0.324,0.402,0.257,0,,,162,0.329,0.411,between 711.0 and 775.0
TOR,AL,1998,780,88,0.3359999999999999,0.425,0.2689999999999999,0,,,162,0.33,0.422,between 711.0 and 775.0
STL,NL,1997,780,69,0.3169999999999999,0.394,0.253,0,,,162,0.321,0.406,between 652.0 and 711.0
PHI,NL,2001,768,86,0.335,0.42,0.265,0,,,162,0.33,0.414,between 711.0 and 775.0
PIT,NL,1986,763,64,0.293,0.354,0.2299999999999999,0,,,162,0.308,0.378,less than 652.0
CHW,AL,2003,794,86,0.3399999999999999,0.4399999999999999,0.273,0,,,162,0.335,0.431,greater than 775.0
MIL,AL,2009,724,80,0.323,0.4,0.2569999999999999,0,,,162,0.3299999999999999,0.413,between 652.0 and 711.0
TEX,AL,2002,692,72,0.317,0.383,0.2539999999999999,0,,,162,0.321,0.402,between 652.0 and 711.0
CLE,AL,1995,746,100,0.364,0.48,0.292,1,2.0,1.0,162,0.344,0.449,greater than 775.0
MIN,AL,1979,779,82,0.326,0.401,0.261,0,,,162,0.3299999999999999,0.412,between 711.0 and 775.0
KCR,AL,1974,734,77,0.3219999999999999,0.398,0.258,0,,,162,0.3249999999999999,0.409,between 652.0 and 711.0
LAD,NL,1982,659,88,0.316,0.391,0.2559999999999999,0,,,163,0.323,0.406,between 652.0 and 711.0
SFG,NL,1978,636,89,0.3089999999999999,0.368,0.246,0,,,162,0.315,0.395,less than 652.0
DET,AL,1991,745,83,0.3249999999999999,0.405,0.263,0,,,162,0.327,0.412,between 711.0 and 775.0
TOR,AL,1989,691,89,0.335,0.4239999999999999,0.2669999999999999,0,,,162,0.329,0.417,between 711.0 and 775.0
CHC,NL,1980,740,64,0.2999999999999999,0.362,0.238,0,,,162,0.307,0.384,less than 652.0
STL,NL,2004,785,105,0.3529999999999999,0.446,0.282,1,1.0,3.0,162,0.3439999999999999,0.442,greater than 775.0
BOS,AL,2004,808,98,0.356,0.46,0.289,1,2.0,3.0,162,0.34,0.441,greater than 775.0
MIL,AL,1994,777,53,0.3099999999999999,0.378,0.2499999999999999,0,,,162,0.3199999999999999,0.406,between 652.0 and 711.0
KCR,AL,1990,696,75,0.3149999999999999,0.3849999999999999,0.252,0,,,162,0.319,0.403,between 652.0 and 711.0
LAA,AL,2012,709,89,0.328,0.405,0.257,0,,,162,0.3239999999999999,0.411,between 711.0 and 775.0
HOU,NL,1996,734,82,0.3249999999999999,0.398,0.2579999999999999,0,,,162,0.3279999999999999,0.412,between 652.0 and 711.0
CLE,AL,2007,738,96,0.35,0.455,0.283,1,2.0,2.0,162,0.3399999999999999,0.445,greater than 775.0
SDP,NL,1983,617,81,0.305,0.364,0.2399999999999999,0,,,162,0.313,0.386,less than 652.0
DET,AL,2005,776,71,0.3199999999999999,0.398,0.254,0,,,162,0.3259999999999999,0.412,between 652.0 and 711.0
MIN,AL,1973,701,81,0.316,0.385,0.2539999999999999,0,,,162,0.321,0.402,between 652.0 and 711.0
ARI,NL,2001,838,92,0.3439999999999999,0.4429999999999999,0.273,1,4.0,2.0,162,0.34,0.437,greater than 775.0
BOS,AL,2003,789,95,0.345,0.458,0.2799999999999999,1,2.0,2.0,162,0.339,0.449,greater than 775.0
LAD,NL,1987,675,83,0.331,0.394,0.26,0,,,162,,,between 652.0 and 711.0
ATL,NL,2003,697,101,0.348,0.438,0.276,1,1.0,3.0,162,0.335,0.412,greater than 775.0
CHW,AL,1992,794,86,0.342,0.423,0.281,0,,,162,0.349,0.442,between 711.0 and 775.0
CIN,NL,1976,654,87,0.313,0.377,0.253,0,,,162,,,less than 652.0
MIN,AL,2007,742,79,0.328,0.395,0.262,0,,,162,0.329,0.408,between 652.0 and 711.0
NYM,NL,1994,683,77,0.315,0.378,0.249,0,,,162,,,less than 652.0
TEX,AL,1984,777,80,0.324,0.401,0.258,0,,,162,,,between 711.0 and 775.0
BOS,AL,1979,702,91,0.335,0.421,0.269,0,,,162,,,between 711.0 and 775.0
CLE,AL,1997,793,86,0.346,0.454,0.285,0,,,162,0.356,0.463,greater than 775.0
OAK,AL,2002,693,78,0.316,0.384,0.251,0,,,162,0.313,0.389,less than 652.0
KCR,AL,1995,751,70,0.319,0.392,0.254,0,,,162,,,less than 652.0
SFG,NL,2008,637,94,0.329,0.401,0.258,0,,,162,0.325,0.395,between 652.0 and 711.0
BAL,AL,1974,692,71,0.308,0.369,0.247,0,,,161,,,less than 652.0
LAA,AL,2009,761,97,0.346,0.443,0.284,1,2.0,4.0,162,0.35,0.441,greater than 775.0
PIT,NL,1989,667,74,0.313,0.373,0.251,0,,,162,,,less than 652.0
TBR,AL,2010,718,96,0.334,0.421,0.265,0,,,162,0.329,0.398,between 711.0 and 775.0
CHC,NL,1972,679,86,0.322,0.394,0.258,0,,,162,,,less than 652.0
SEA,AL,1998,839,76,0.329,0.403,0.263,0,,,162,0.336,0.421,less than 652.0
COL,NL,2006,794,76,0.325,0.408,0.261,0,,,162,0.329,0.413,between 652.0 and 711.0
PHI,NL,1975,697,82,0.318,0.387,0.255,0,,,162,,,less than 652.0
HOU,NL,1999,743,97,0.348,0.446,0.279,1,1.0,2.0,162,0.341,0.431,greater than 775.0
SDP,NL,1982,632,81,0.309,0.363,0.249,0,,,162,,,less than 652.0
TOR,AL,2005,775,80,0.323,0.396,0.258,0,,,162,0.328,0.401,between 711.0 and 775.0
FLA,NL,2002,764,79,0.319,0.391,0.253,0,,,162,0.315,0.388,less than 652.0
STL,NL,2004,688,105,0.352,0.449,0.281,1,1.0,3.0,162,0.347,0.432,greater than 775.0
ANA,AL,2003,779,77,0.327,0.406,0.264,0,,,162,0.332,0.409,less than 652.0
ATL,NL,1992,654,98,0.341,0.429,0.274,1,2.0,2.0,162,,,greater than 775.0
MIN,AL,2001,782,85,0.335,0.423,0.27,0,,,162,0.339,0.428,between 711.0 and 775.0
KCR,AL,1988,729,84,0.329,0.404,0.263,0,,,162,,,between 652.0 and 711.0
NYY,AL,1996,767,92,0.336,0.436,0.275,0,,,162,0.34,0.431,greater than 775.0
TEX,AL,2008,774,79,0.324,0.401,0.261,0,,,162,0.328,0.403,between 652.0 and 711.0
BOS,AL,1986,763,95,0.349,0.451,0.285,1,3.0,2.0,162,,,greater than 775.0
OAK,AL,2006,746,93,0.342,0.439,0.278,1,4.0,3.0,162,0.348,0.447,greater than 775.0
SFG,NL,1996,697,94,0.336,0.436,0.273,0,,,162,0.331,0.416,between 711.0 and 775.0
CHW,AL,2004,724,83,0.325,0.404,0.262,0,,,162,0.329,0.403,less than 652.0
