CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
2.971,0.331,1.342,0,0,2.456,between 3.15175 and 3.9875
3.216,0.693,1.505,0,1,2.135,between 3.9875 and 4.9075
3.462,0.223,1.748,0,0,1.764,between 3.15175 and 3.9875
2.685,0.916,1.318,0,0,2.574,between 3.15175 and 3.9875
4.535,0.134,1.227,1,2,4.129,greater than 4.9075
3.669,0.405,1.881,0,0,2.982,between 3.15175 and 3.9875
4.256,0.693,1.395,0,1,4.456,greater than 4.9075
3.514,0.629,0.987,0,0,3.393,between 3.15175 and 3.9875
4.093,0.223,1.758,0,2,2.799,greater than 4.9075
3.591,0.331,1.932,1,0,1.971,between 3.15175 and 3.9875
3.527,0.58,1.655,0,1,1.851,between 3.9875 and 4.9075
2.978,1.246,1.145,0,1,3.988,greater than 4.9075
3.305,0.251,1.191,0,0,1.567,less than 3.15175
3.234,0.223,1.565,1,0,1.795,between 3.15175 and 3.9875
2.969,1.772,1.341,0,4,3.055,greater than 4.9075
3.588,0.223,1.387,0,0,2.413,between 3.15175 and 3.9875
3.386,0.223,1.596,0,1,1.795,less than 3.15175
3.398,0.405,1.175,0,2,2.587,between 3.9875 and 4.9075
2.533,0.223,1.654,1,0,0.655,between 3.15175 and 3.9875
2.573,0.405,1.699,0,2,0.888,less than 3.15175
2.632,1.028,2.145,0,0,1.468,less than 3.15175
0.778,1.03,0.924,0,0,1.062,greater than 4.9075
3.859,0.887,1.401,0,0,4.055,greater than 4.9075
3.068,0.452,2.657,0,0,1.103,less than 3.15175
3.785,0.0,0.982,0,0,4.225,between 3.9875 and 4.9075
3.298,0.916,1.759,0,2,-0.442,less than 3.15175
3.55,0.223,1.58,0,0,1.883,less than 3.15175
2.117,0.64,0.858,0,0,2.141,between 3.9875 and 4.9075
3.425,0.546,1.478,0,0,2.493,between 3.15175 and 3.9875
3.198,0.693,1.549,0,1,2.142,between 3.9875 and 4.9075
3.488,0.223,1.765,0,0,1.777,between 3.15175 and 3.9875
2.697,0.916,1.316,0,0,2.582,between 3.15175 and 3.9875
