sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.495,0.395,0.14,0.7085,0.282,0.217,0.179,between 9.0 and 11.0
I,0.56,0.435,0.14,0.9555,0.469,0.2035,0.235,greater than 11.0
F,0.575,0.455,0.145,0.808,0.3435,0.192,0.256,between 9.0 and 11.0
M,0.405,0.305,0.095,0.333,0.1415,0.0795,0.104,less than 8.0
I,0.475,0.36,0.125,0.5865,0.2355,0.1235,0.173,between 9.0 and 11.0
I,0.315,0.235,0.08,0.1895,0.0765,0.045,0.061,less than 8.0
M,0.54,0.43,0.14,0.785,0.323,0.185,0.242,between 9.0 and 11.0
F,0.635,0.505,0.165,1.176,0.515,0.279,0.313,between 9.0 and 11.0
F,0.485,0.375,0.125,0.654,0.2755,0.1535,0.193,greater than 11.0
I,0.395,0.295,0.095,0.2865,0.1255,0.069,0.085,less than 8.0
I,0.46,0.35,0.115,0.4485,0.186,0.0925,0.141,between 8.0 and 9.0
F,0.7,0.56,0.185,1.3955,0.634,0.3435,0.354,greater than 11.0
M,0.57,0.44,0.155,0.927,0.3945,0.228,0.289,between 9.0 and 11.0
M,0.49,0.39,0.135,0.7155,0.296,0.2015,0.184,greater than 11.0
F,0.59,0.465,0.155,1.058,0.448,0.2445,0.292,between 9.0 and 11.0
I,0.505,0.4,0.125,0.701,0.2945,0.159,0.213,between 8.0 and 9.0
F,0.66,0.53,0.175,1.3115,0.5735,0.3135,0.325,greater than 11.0
I,0.54,0.415,0.135,0.777,0.333,0.1895,0.224,greater than 11.0
I,0.33,0.255,0.085,0.235,0.0955,0.0545,0.0745,less than 8.0
F,0.56,0.44,0.145,0.885,0.39,0.2235,0.258,greater than 11.0
I,0.44,0.34,0.115,0.4245,0.184,0.0975,0.122,between 8.0 and 9.0
F,0.525,0.41,0.14,0.7565,0.3055,0.1845,0.231,between 9.0 and 11.0
M,0.565,0.445,0.145,0.8875,0.394,0.2025,0.273,between 9.0 and 11.0
I,0.57,0.45,0.155,0.9875,0.44,0.235,0.271,greater than 11.0
M,0.475,0.365,0.124,0.6245,0.269,0.1633,0.172,between 9.0 and 11.0
F,0.685,0.555,0.185,1.4765,0.648,0.3655,0.384,greater than 11.0
F,0.475,0.36,0.125,0.59,0.2445,0.1285,0.173,greater than 11.0
F,0.575,0.45,0.145,0.93,0.405,0.225,0.267,between 9.0 and 11.0
M,0.53,0.415,0.14,0.8155,0.3525,0.2125,0.234,between 9.0 and 11.0
F,0.46,0.36,0.125,0.54,0.229,0.1275,0.151,greater than 11.0
I,0.395,0.305,0.095,0.2895,0.1255,0.065,0.087,less than 8.0
I,0.505,0.395,0.125,0.69,0.2945,0.1625,0.205,between 8.0 and 9.0
M,0.585,0.46,0.155,1.0275,0.446,0.2595,0.301,between 9.0 and 11.0
F,0.66,0.53,0.17,1.245,0.555,0.283,0.315,greater than 11.0
F,0.485,0.375,0.135,0.6455,0.2845,0.1725,0.186,greater than 11.0
M,0.46,0.355,0.125,0.555,0.236,0.1355,0.155,greater than 11.0
I,0.415,0.31,0.1,0.375,0.1615,0.0855,0.113,less than 8.0
I,0.555,0.435,0.14,0.8155,0.357,0.199,0.243,between 8.0 and 9.0
I,0.54,0.42,0.145,0.7845,0.34,0.2015,0.235,between 9.0 and 11.0
F,0.75,0.6,0.205,1.826,0.8145,0.475,0.485,greater than 11.0
M,0.46,0.36,0.14,0.5995,0.2665,0.1735,0.145,greater than 11.0
