sex,length,diameter,height,whole_weight,shucked_weight,shell_weight,cisvera_weight,rings
M,0.64,0.475,0.185,1.4365,0.63,0.368,0.292,greater than 11.0
F,0.505,0.395,0.14,0.629,0.267,0.195,0.128,between 9.0 and 11.0
F,0.665,0.51,0.185,1.395,0.595,0.425,0.313,greater than 11.0
I,0.345,0.255,0.105,0.3225,0.145,0.093,0.069,less than 8.0
M,0.72,0.545,0.205,1.656,0.728,0.443,0.356,greater than 11.0
M,0.575,0.435,0.155,1.033,0.46,0.273,0.208,between 9.0 and 11.0
F,0.695,0.535,0.19,1.555,0.6775,0.448,0.321,greater than 11.0
M,0.635,0.48,0.175,1.296,0.59,0.365,0.282,between 9.0 and 11.0
F,0.46,0.36,0.135,0.52,0.235,0.163,0.114,less than 8.0
F,0.75,0.58,0.215,1.985,0.725,0.492,0.375,greater than 11.0
M,0.54,0.42,0.145,0.815,0.355,0.224,0.169,between 9.0 and 11.0
M,0.72,0.55,0.2,1.59,0.718,0.456,0.343,greater than 11.0
F,0.485,0.38,0.13,0.55,0.2475,0.168,0.122,less than 8.0
F,0.665,0.52,0.185,1.468,0.65,0.428,0.313,greater than 11.0
M,0.685,0.52,0.195,1.59,0.715,0.446,0.346,between 9.0 and 11.0
F,0.69,0.54,0.195,1.63,0.715,0.463,0.342,greater than 11.0
