sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
M,0.51,0.4,0.125,0.701,0.294,0.194,0.191,greater than 11.0
F,0.505,0.395,0.145,0.8215,0.354,0.2215,0.2385,between 9.0 and 11.0
I,0.575,0.44,0.16,0.962,0.433,0.243,0.264,between 9.0 and 11.0
F,0.665,0.51,0.185,1.3945,0.61,0.2945,0.3735,greater than 11.0
M,0.395,0.305,0.115,0.471,0.2135,0.1415,0.1455,between 9.0 and 11.0
M,0.485,0.38,0.14,0.6015,0.2645,0.173,0.204,greater than 11.0
F,0.59,0.455,0.16,0.985,0.429,0.26,0.292,between 9.0 and 11.0
M,0.55,0.425,0.155,0.8535,0.376,0.2285,0.2565,greater than 11.0
I,0.46,0.355,0.135,0.6045,0.2635,0.1825,0.2085,between 9.0 and 11.0
F,0.635,0.485,0.17,1.0635,0.468,0.2625,0.3235,greater than 11.0
F,0.53,0.41,0.14,0.708,0.3135,0.1985,0.2385,between 9.0 and 11.0
M,0.61,0.465,0.175,1.041,0.4555,0.2835,0.3065,greater than 11.0
M,0.49,0.375,0.14,0.623,0.2745,0.192,0.2235,greater than 11.0
F,0.725,0.56,0.205,1.5015,0.653,0.3525,0.4355,greater than 11.0
M,0.56,0.43,0.155,0.854,0.38,0.242,0.276,greater than 11.0
I,0.485,0.375,0.14,0.6595,0.2945,0.2065,0.2345,between 9.0 and 11.0
I,0.365,0.285,0.105,0.3735,0.165,0.109,0.1375,less than 8.0
I,0.505,0.395,0.145,0.6955,0.3065,0.201,0.2355,between 9.0 and 11.0
F,0.56,0.435,0.165,0.9225,0.402,0.2385,0.2945,greater than 11.0
I,0.575,0.445,0.16,0.8845,0.3935,0.238,0.2755,between 9.0 and 11.0
F,0.65,0.505,0.185,1.3415,0.5925,0.3125,0.3795,greater than 11.0
M,0.465,0.355,0.135,0.5435,0.238,0.159,0.1765,greater than 11.0
F,0.655,0.505,0.18,1.208,0.529,0.2835,0.3435,greater than 11.0
I,0.375,0.29,0.11,0.3355,0.149,0.0945,0.1235,between 9.0 and 11.0
I,0.425,0.33,0.125,0.43,0.193,0.127,0.1495,less than 8.0
I,0.49,0.375,0.145,0.6785,0.3025,0.2025,0.2385,between 9.0 and 11.0
F,0.575,0.445,0.165,0.9655,0.4245,0.2585,0.3055,greater than 11.0
F,0.69,0.54,0.2,1.457,0.6365,0.333,0.4145,greater than 11.0
M,0.54,0.415,0.16,0.796,0.3555,0.235,0.274,greater than 11.0
F,0.625,0.485,0.175,1.1535,0.5085,0.287,0.3485,greater than 11.0
M,0.49,0.38,0.145,0.6995,0.313,0.2245,0.2425,between 9.0 and 11.0
I,0.35,0.27,0.095,0.2445,0.1065,0.066,0.0955,less than 8.0
