frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
5000.0,10.9,0.1016,55.5,0.00739553,between 125.721 and 129.9955
10000.0,0.0,0.0254,71.3,0.00100605,between 125.721 and 129.9955
2000.0,12.4,0.1524,39.6,0.0139617,greater than 129.9955
400.0,7.8,0.3048,39.6,0.0147922,less than 120.191
4000.0,4.8,0.0254,71.3,0.00163497,between 120.191 and 125.721
12500.0,11.8,0.0508,39.6,0.0119831,between 120.191 and 125.721
630.0,3.5,0.2286,31.7,0.00760925,between 125.721 and 129.9955
3150.0,15.1,0.1016,55.5,0.00642541,greater than 129.9955
2500.0,10.6,0.1524,71.3,0.0163803,between 125.721 and 129.9955
16000.0,0.0,0.0254,55.5,0.000740478,between 120.191 and 125.721
315.0,12.3,0.1016,39.6,0.00897922,between 120.191 and 125.721
5000.0,0.0,0.0508,71.3,0.00212132,between 125.721 and 129.9955
2000.0,0.0,0.1016,39.6,0.00214271,greater than 129.9955
6300.0,7.8,0.1016,71.3,0.00378068,between 120.191 and 125.721
400.0,5.4,0.1524,71.3,0.0103127,between 125.721 and 129.9955
16000.0,11.9,0.0254,71.3,0.00106784,greater than 129.9955
4000.0,3.3,0.1524,55.5,0.00418059,between 120.191 and 125.721
500.0,0.0,0.2286,55.5,0.00357327,between 120.191 and 125.721
12500.0,4.4,0.1016,55.5,0.00192992,between 120.191 and 125.721
4000.0,19.6,0.0254,55.5,0.00554083,less than 120.191
630.0,11.2,0.1524,39.6,0.00665565,between 125.721 and 129.9955
3150.0,15.6,0.1016,39.6,0.00776516,greater than 129.9955
5000.0,12.6,0.1524,55.5,0.0093673,less than 120.191
2500.0,5.2,0.1016,71.3,0.00720308,between 125.721 and 129.9955
6300.0,7.3,0.2286,71.3,0.0139623,between 120.191 and 125.721
2500.0,12.7,0.1524,71.3,0.0135319,between 120.191 and 125.721
4000.0,7.9,0.0254,55.5,0.00163457,greater than 129.9955
5000.0,18.2,0.1524,55.5,0.01198349,less than 120.191
16000.0,12.4,0.0508,39.6,0.00351776,between 120.191 and 125.721
3150.0,7.1,0.1524,71.3,0.0128231,greater than 129.9955
630.0,14.7,0.1524,71.3,0.00451163,between 120.191 and 125.721
500.0,5.9,0.1016,55.5,0.00640019,between 120.191 and 125.721
