process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
2,3,2,1,85,5,0,between 1316.98333333333 and 10876.6388888889
0,2,2,0,61,3,0,less than 546.8189102564105
1,2,2,1,78,1,0,greater than 10876.6388888889
2,1,2,1,69,6,0,between 1316.98333333333 and 10876.6388888889
1,3,2,0,72,4,0,between 546.8189102564105 and 1316.98333333333
0,3,1,1,66,2,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,82,3,0,greater than 10876.6388888889
1,1,2,0,73,5,0,less than 546.8189102564105
2,3,2,1,67,1,0,between 1316.98333333333 and 10876.6388888889
0,1,2,1,64,4,0,between 546.8189102564105 and 1316.98333333333
1,2,2,1,83,6,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,70,2,0,greater than 10876.6388888889
0,2,1,1,62,3,0,less than 546.8189102564105
1,3,2,1,79,5,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,65,1,0,greater than 10876.6388888889
1,1,2,0,71,4,0,between 546.8189102564105 and 1316.98333333333
0,3,2,0,63,2,0,less than 546.8189102564105
2,3,2,1,88,6,0,between 1316.98333333333 and 10876.6388888889
1,2,2,1,74,3,0,greater than 10876.6388888889
0,1,1,1,68,1,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,75,5,0,between 1316.98333333333 and 10876.6388888889
2,1,2,1,81,2,0,greater than 10876.6388888889
0,2,2,0,60,6,0,less than 546.8189102564105
1,2,2,0,69,4,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,84,1,0,between 1316.98333333333 and 10876.6388888889
0,3,1,1,73,3,0,between 546.8189102564105 and 1316.98333333333
1,1,2,1,76,6,0,greater than 10876.6388888889
2,2,2,0,80,5,0,greater than 10876.6388888889
1,3,2,1,85,4,0,between 546.8189102564105 and 1316.98333333333
0,1,2,0,63,1,0,less than 546.8189102564105
2,1,2,1,70,3,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,77,2,0,greater than 10876.6388888889
0,3,2,1,66,6,0,between 546.8189102564105 and 1316.98333333333
1,1,2,1,82,1,0,greater than 10876.6388888889
2,3,2,0,79,4,0,between 1316.98333333333 and 10876.6388888889
0,2,1,0,61,5,0,less than 546.8189102564105
1,3,2,1,78,6,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,83,3,0,greater than 10876.6388888889
0,1,2,1,65,2,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,72,1,0,greater than 10876.6388888889
2,3,2,1,86,5,0,between 1316.98333333333 and 10876.6388888889
0,3,1,1,71,4,0,between 546.8189102564105 and 1316.98333333333
1,1,2,0,73,6,0,less than 546.8189102564105
2,1,2,1,77,2,0,greater than 10876.6388888889
0,2,2,0,62,3,0,less than 546.8189102564105
1,3,2,1,80,1,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,81,6,0,greater than 10876.6388888889
0,1,1,1,64,5,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,75,4,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,82,2,0,greater than 10876.6388888889
0,3,2,1,67,1,0,less than 546.8189102564105
1,1,2,1,76,3,0,greater than 10876.6388888889
2,1,2,0,70,6,0,between 1316.98333333333 and 10876.6388888889
0,2,1,0,60,2,0,less than 546.8189102564105
1,3,2,1,79,5,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,85,6,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,71,1,0,greater than 10876.6388888889
0,1,2,1,63,4,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,80,3,0,greater than 10876.6388888889
0,3,1,1,68,2,0,between 546.8189102564105 and 1316.98333333333
1,1,2,0,74,6,0,less than 546.8189102564105
2,1,2,1,77,2,0,greater than 10876.6388888889
0,2,2,1,61,3,0,less than 546.8189102564105
1,3,2,1,84,5,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,79,1,0,greater than 10876.6388888889
0,1,1,1,66,1,0,between 546.8189102564105 and 1316.98333333333
1,2,2,1,76,4,0,between 1316.98333333333 and 10876.6388888889
2,2,2,0,81,6,0,greater than 10876.6388888889
0,3,2,0,64,5,0,less than 546.8189102564105
1,1,2,0,72,2,0,greater than 10876.6388888889
2,1,2,1,78,3,0,between 1316.98333333333 and 10876.6388888889
2,3,2,1,85,1,0,greater than 10876.6388888889
0,1,2,0,67,6,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,78,3,0,less than 546.8189102564105
1,3,2,1,61,5,4,less than 546.8189102564105
2,2,2,0,65,4,0,between 546.8189102564105 and 1316.98333333333
0,3,1,1,70,6,0,less than 546.8189102564105
1,1,2,0,77,2,0,greater than 10876.6388888889
2,3,2,0,90,5,0,less than 546.8189102564105
0,2,2,1,68,1,0,between 1316.98333333333 and 10876.6388888889
1,3,2,0,71,3,0,between 546.8189102564105 and 1316.98333333333
2,1,2,1,89,2,0,greater than 10876.6388888889
1,2,2,1,84,6,0,between 1316.98333333333 and 10876.6388888889
0,1,2,0,60,4,0,less than 546.8189102564105
2,3,2,1,61,1,0,between 546.8189102564105 and 1316.98333333333
0,3,2,0,79,2,0,greater than 10876.6388888889
1,1,2,0,64,5,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,69,4,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,70,3,0,less than 546.8189102564105
0,0,2,1,62,6,0,less than 546.8189102564105
2,2,2,0,85,1,0,greater than 10876.6388888889
1,3,2,1,80,5,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,73,2,0,greater than 10876.6388888889
0,3,1,0,67,4,0,less than 546.8189102564105
2,1,2,0,79,6,0,between 546.8189102564105 and 1316.98333333333
1,1,2,1,77,1,0,greater than 10876.6388888889
0,2,2,0,71,5,0,less than 546.8189102564105
1,3,2,0,68,3,0,less than 546.8189102564105
2,3,2,0,72,6,0,greater than 10876.6388888889
0,1,2,1,75,2,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,65,1,0,greater than 10876.6388888889
0,3,2,1,76,4,0,less than 546.8189102564105
2,2,2,1,78,5,0,between 1316.98333333333 and 10876.6388888889
2,1,2,1,84,3,0,greater than 10876.6388888889
1,1,2,0,67,6,0,between 546.8189102564105 and 1316.98333333333
0,2,1,0,60,1,0,less than 546.8189102564105
0,3,2,0,82,2,0,greater than 10876.6388888889
1,3,2,1,63,5,0,between 1316.98333333333 and 10876.6388888889
1,2,2,1,89,4,0,between 1316.98333333333 and 10876.6388888889
2,3,2,0,66,3,0,less than 546.8189102564105
0,1,2,0,69,6,0,less than 546.8189102564105
1,1,2,1,85,2,0,greater than 10876.6388888889
0,3,1,1,74,1,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,76,6,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,80,3,0,greater than 10876.6388888889
0,2,2,0,64,5,0,less than 546.8189102564105
2,3,2,1,62,4,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,81,1,0,greater than 10876.6388888889
0,1,2,0,66,3,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,78,6,0,less than 546.8189102564105
2,1,2,1,90,5,0,greater than 10876.6388888889
0,3,2,0,61,2,0,less than 546.8189102564105
1,2,2,0,75,4,0,between 1316.98333333333 and 10876.6388888889
0,2,1,0,63,6,0,less than 546.8189102564105
2,3,2,0,69,1,0,greater than 10876.6388888889
1,1,2,1,86,3,0,between 1316.98333333333 and 10876.6388888889
0,1,2,1,79,1,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,83,5,0,greater than 10876.6388888889
