city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,187.0,3,3,2,10,accept,not furnished,1200.0,between 3581.5 and 6768.0
Rio de Janeiro,67.0,2,1,1,3,not accept,furnished,900.0,between 2061.75 and 3581.5
Belo Horizonte,290.0,4,4,3,12,accept,not furnished,2600.0,greater than 6768.0
Porto Alegre,48.0,1,1,0,2,accept,not furnished,300.0,less than 2061.75
Campinas,110.0,3,2,2,5,not accept,not furnished,950.0,between 3581.5 and 6768.0
Sao Paulo,210.0,3,3,3,15,accept,furnished,3200.0,greater than 6768.0
Sao Paulo,140.0,2,2,1,6,accept,not furnished,1000.0,between 3581.5 and 6768.0
Rio de Janeiro,88.0,2,2,1,4,not accept,not furnished,700.0,between 2061.75 and 3581.5
Belo Horizonte,62.0,1,1,1,3,accept,furnished,500.0,between 2061.75 and 3581.5
Porto Alegre,38.0,1,1,0,1,accept,not furnished,200.0,less than 2061.75
Campinas,240.0,4,4,4,8,accept,not furnished,2800.0,between 3581.5 and 6768.0
Sao Paulo,190.0,3,2,2,11,accept,not furnished,2200.0,between 3581.5 and 6768.0
Sao Paulo,460.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Rio de Janeiro,75.0,2,2,1,6,accept,furnished,1100.0,between 3581.5 and 6768.0
Belo Horizonte,310.0,4,4,3,9,accept,not furnished,2000.0,greater than 6768.0
Porto Alegre,42.0,1,1,0,2,accept,not furnished,250.0,less than 2061.75
Campinas,130.0,3,2,2,6,not accept,not furnished,800.0,between 2061.75 and 3581.5
Sao Paulo,220.0,3,3,3,14,accept,not furnished,3000.0,greater than 6768.0
Sao Paulo,170.0,3,2,2,8,accept,furnished,1800.0,between 3581.5 and 6768.0
Sao Paulo,100.0,2,1,0,0,accept,not furnished,0.0,between 2061.75 and 3581.5
Rio de Janeiro,92.0,3,2,1,5,not accept,not furnished,1200.0,between 3581.5 and 6768.0
Belo Horizonte,270.0,4,4,3,11,accept,not furnished,2400.0,greater than 6768.0
Porto Alegre,50.0,1,1,0,1,accept,furnished,280.0,less than 2061.75
Campinas,190.0,3,3,3,7,accept,not furnished,2000.0,between 3581.5 and 6768.0
Sao Paulo,230.0,3,4,4,10,accept,not furnished,3300.0,greater than 6768.0
Sao Paulo,160.0,3,2,2,9,accept,not furnished,1500.0,between 3581.5 and 6768.0
Sao Paulo,440.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Rio de Janeiro,85.0,3,2,1,7,accept,furnished,1300.0,between 3581.5 and 6768.0
Belo Horizonte,360.0,4,4,3,13,accept,not furnished,2600.0,greater than 6768.0
Porto Alegre,39.0,1,1,0,2,accept,not furnished,220.0,less than 2061.75
Campinas,180.0,3,3,3,8,not accept,not furnished,1600.0,between 3581.5 and 6768.0
Sao Paulo,260.0,3,4,4,16,accept,not furnished,3800.0,greater than 6768.0
Sao Paulo,200.0,3,3,3,12,accept,furnished,2800.0,greater than 6768.0
Sao Paulo,490.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Rio de Janeiro,102.0,3,2,1,8,not accept,not furnished,1400.0,between 3581.5 and 6768.0
Belo Horizonte,290.0,4,4,3,14,accept,not furnished,3000.0,greater than 6768.0
Porto Alegre,45.0,1,1,0,3,accept,not furnished,260.0,less than 2061.75
Campinas,410.0,4,5,5,0,accept,not furnished,0.0,between 3581.5 and 6768.0
Sao Paulo,250.0,3,3,4,15,accept,not furnished,3600.0,greater than 6768.0
Sao Paulo,480.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,140.0,3,2,2,7,accept,furnished,1600.0,between 3581.5 and 6768.0
Sao Paulo,330.0,4,4,4,2,accept,not furnished,3800.0,greater than 6768.0
Rio de Janeiro,70.0,2,1,0,4,not accept,not furnished,600.0,between 2061.75 and 3581.5
Belo Horizonte,260.0,4,4,3,10,accept,not furnished,2800.0,greater than 6768.0
Porto Alegre,30.0,1,1,0,1,accept,not furnished,200.0,less than 2061.75
Campinas,120.0,3,2,2,4,not accept,not furnished,800.0,between 2061.75 and 3581.5
Sao Paulo,420.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,110.0,2,1,0,2,accept,not furnished,500.0,between 2061.75 and 3581.5
Rio de Janeiro,96.0,3,2,1,9,accept,furnished,1800.0,between 3581.5 and 6768.0
Belo Horizonte,340.0,4,4,3,15,accept,not furnished,3200.0,greater than 6768.0
Sao Paulo,210.0,3,4,4,13,accept,not furnished,3000.0,greater than 6768.0
Sao Paulo,460.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,150.0,3,2,2,6,accept,furnished,1400.0,between 3581.5 and 6768.0
Rio de Janeiro,108.0,3,2,1,10,not accept,not furnished,2000.0,between 3581.5 and 6768.0
Sao Paulo,380.0,4,4,4,1,accept,not furnished,3600.0,greater than 6768.0
Porto Alegre,50.0,1,1,0,3,accept,not furnished,300.0,less than 2061.75
Campinas,260.0,4,4,4,9,accept,not furnished,2400.0,between 3581.5 and 6768.0
Sao Paulo,310.0,4,4,4,4,accept,not furnished,3800.0,greater than 6768.0
Sao Paulo,440.0,4,5,4,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,130.0,3,2,2,5,accept,furnished,1000.0,between 3581.5 and 6768.0
Sao Paulo,280.0,4,4,4,3,accept,not furnished,3400.0,greater than 6768.0
Sao Paulo,240.0,3,4,4,12,accept,not furnished,3200.0,greater than 6768.0
Sao Paulo,82.0,2,1,1,5,accept,not furnished,1200.0,between 2061.75 and 3581.5
Porto Alegre,119.0,3,2,2,1,not accept,furnished,900.0,between 3581.5 and 6768.0
Sao Paulo,39.0,1,1,0,14,accept,not furnished,300.0,less than 2061.75
Campinas,68.0,2,1,1,2,not accept,not furnished,600.0,between 2061.75 and 3581.5
Rio de Janeiro,93.0,3,2,1,6,accept,furnished,1100.0,between 3581.5 and 6768.0
Sao Paulo,24.0,1,1,0,11,not accept,furnished,250.0,less than 2061.75
Belo Horizonte,59.0,2,1,1,4,accept,not furnished,500.0,between 2061.75 and 3581.5
Sao Paulo,143.0,3,3,2,8,accept,not furnished,1800.0,between 3581.5 and 6768.0
Porto Alegre,87.0,2,2,1,3,accept,not furnished,700.0,between 2061.75 and 3581.5
Sao Paulo,51.0,2,1,1,1,not accept,furnished,400.0,between 2061.75 and 3581.5
Sao Paulo,29.0,1,1,0,17,accept,not furnished,350.0,less than 2061.75
Campinas,75.0,3,2,2,0,accept,not furnished,250.0,between 2061.75 and 3581.5
Sao Paulo,41.0,1,1,0,6,not accept,not furnished,200.0,less than 2061.75
Sao Paulo,98.0,2,3,2,12,accept,furnished,1000.0,between 3581.5 and 6768.0
Rio de Janeiro,61.0,2,1,0,5,accept,not furnished,450.0,between 2061.75 and 3581.5
Porto Alegre,53.0,2,1,1,2,accept,furnished,280.0,less than 2061.75
Belo Horizonte,46.0,1,1,0,3,not accept,not furnished,150.0,less than 2061.75
Sao Paulo,25.0,1,1,0,10,accept,not furnished,320.0,less than 2061.75
Sao Paulo,69.0,2,1,1,4,not accept,furnished,380.0,between 2061.75 and 3581.5
Sao Paulo,56.0,1,1,0,8,accept,not furnished,240.0,less than 2061.75
Sao Paulo,85.0,3,2,2,6,accept,not furnished,1600.0,between 3581.5 and 6768.0
Campinas,49.0,2,1,0,3,accept,not furnished,220.0,less than 2061.75
Sao Paulo,136.0,4,3,3,5,accept,furnished,2200.0,greater than 6768.0
Rio de Janeiro,77.0,3,1,1,4,accept,furnished,1000.0,between 3581.5 and 6768.0
Sao Paulo,44.0,1,1,0,7,not accept,not furnished,280.0,less than 2061.75
Porto Alegre,96.0,2,2,1,5,accept,not furnished,800.0,between 3581.5 and 6768.0
Belo Horizonte,72.0,3,2,0,4,not accept,furnished,600.0,between 2061.75 and 3581.5
Sao Paulo,31.0,1,1,0,9,accept,not furnished,260.0,less than 2061.75
Sao Paulo,109.0,3,2,2,3,accept,furnished,1400.0,between 3581.5 and 6768.0
Campinas,64.0,2,1,1,1,not accept,not furnished,300.0,between 2061.75 and 3581.5
Sao Paulo,52.0,2,1,0,6,accept,not furnished,480.0,between 2061.75 and 3581.5
Rio de Janeiro,88.0,3,2,2,7,accept,not furnished,1200.0,between 3581.5 and 6768.0
Sao Paulo,40.0,1,1,0,5,not accept,furnished,200.0,less than 2061.75
Porto Alegre,123.0,4,3,3,4,accept,furnished,2000.0,greater than 6768.0
Belo Horizonte,91.0,3,2,1,8,accept,not furnished,1300.0,between 3581.5 and 6768.0
Sao Paulo,27.0,1,1,0,2,accept,not furnished,230.0,less than 2061.75
Sao Paulo,79.0,2,2,1,9,accept,furnished,900.0,between 3581.5 and 6768.0
Campinas,58.0,2,1,0,4,not accept,not furnished,380.0,between 2061.75 and 3581.5
Sao Paulo,48.0,2,1,1,10,accept,not furnished,500.0,between 2061.75 and 3581.5
Sao Paulo,95.0,3,3,3,1,accept,not furnished,1800.0,between 3581.5 and 6768.0
Rio de Janeiro,66.0,2,2,0,6,accept,furnished,700.0,between 2061.75 and 3581.5
Porto Alegre,104.0,3,2,2,6,accept,not furnished,1000.0,between 3581.5 and 6768.0
Belo Horizonte,83.0,3,2,1,5,not accept,furnished,800.0,between 3581.5 and 6768.0
Sao Paulo,37.0,1,1,0,3,not accept,not furnished,180.0,less than 2061.75
Sao Paulo,61.0,2,1,0,8,accept,not furnished,420.0,between 2061.75 and 3581.5
Sao Paulo,129.0,4,4,3,7,accept,furnished,2500.0,greater than 6768.0
Campinas,71.0,3,1,1,4,accept,not furnished,350.0,less than 2061.75
Sao Paulo,54.0,2,1,1,9,accept,not furnished,520.0,between 2061.75 and 3581.5
Rio de Janeiro,99.0,3,2,2,3,accept,furnished,1200.0,between 3581.5 and 6768.0
Sao Paulo,45.0,2,1,0,4,not accept,furnished,320.0,between 2061.75 and 3581.5
Porto Alegre,110.0,3,3,2,4,accept,not furnished,1500.0,between 3581.5 and 6768.0
Belo Horizonte,76.0,3,2,1,6,accept,not furnished,900.0,between 3581.5 and 6768.0
Sao Paulo,33.0,1,1,0,6,accept,not furnished,280.0,less than 2061.75
Sao Paulo,117.0,4,4,3,5,accept,furnished,2200.0,greater than 6768.0
Campinas,63.0,2,1,1,2,not accept,not furnished,250.0,between 2061.75 and 3581.5
Sao Paulo,50.0,2,1,0,7,accept,not furnished,380.0,between 2061.75 and 3581.5
Rio de Janeiro,89.0,3,2,1,8,accept,not furnished,1100.0,between 3581.5 and 6768.0
Porto Alegre,107.0,3,3,2,5,accept,furnished,1300.0,between 3581.5 and 6768.0
Belo Horizonte,94.0,3,2,1,7,not accept,furnished,1000.0,between 3581.5 and 6768.0
Sao Paulo,42.0,1,1,0,5,not accept,not furnished,240.0,less than 2061.75
Sao Paulo,60.0,2,2,1,6,accept,furnished,600.0,between 3581.5 and 6768.0
Campinas,70.0,3,1,1,3,accept,not furnished,300.0,less than 2061.75
Sao Paulo,52.0,2,1,0,9,accept,not furnished,400.0,between 2061.75 and 3581.5
Rio de Janeiro,80.0,3,1,1,4,accept,furnished,900.0,between 3581.5 and 6768.0
Porto Alegre,97.0,2,2,1,6,accept,not furnished,800.0,between 3581.5 and 6768.0
Belo Horizonte,73.0,3,2,0,5,accept,not furnished,600.0,between 2061.75 and 3581.5
