longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-118.43,34.21,28,2411.0,421.0,1073.0,349.0,4.231,less than 119600.0
-119.21,35.67,32,3958.0,631.0,1832.0,601.0,2.9852,between 119600.0 and 179700.0
-117.91,33.51,19,2198.0,382.0,1329.0,419.0,6.198,greater than 264725.0
-121.59,38.29,36,1987.0,351.0,823.0,278.0,5.116,between 119600.0 and 179700.0
-119.75,36.92,43,1292.0,280.0,943.0,288.0,2.111,less than 119600.0
-116.95,34.98,26,3606.0,792.0,1683.0,608.0,3.467,less than 119600.0
-122.09,37.64,36,1885.0,307.0,853.0,271.0,4.741,between 119600.0 and 179700.0
-121.75,38.55,26,4802.0,950.0,2199.0,939.0,4.092,between 179700.0 and 264725.0
-118.38,34.02,31,1893.0,450.0,819.0,426.0,5.092,between 119600.0 and 179700.0
-117.66,33.63,16,3299.0,610.0,1967.0,604.0,6.408,between 179700.0 and 264725.0
-117.7,35.6,16,2678.0,483.0,1473.0,487.0,3.982,less than 119600.0
-118.02,34.12,36,1471.0,246.0,751.0,230.0,6.159,greater than 264725.0
-117.11,32.75,34,2131.0,594.0,1373.0,562.0,2.863,less than 119600.0
-117.11,32.76,31,2293.0,549.0,1108.0,557.0,4.304,between 179700.0 and 264725.0
-121.54,39.51,33,3585.0,757.0,1887.0,765.0,3.082,less than 119600.0
-121.22,38.16,24,4411.0,776.0,2038.0,732.0,4.082,between 119600.0 and 179700.0
-118.28,34.07,24,3247.0,1281.0,2642.0,1182.0,3.429,between 179700.0 and 264725.0
-122.07,37.89,38,2139.0,343.0,809.0,340.0,6.326,greater than 264725.0
-121.61,37.86,30,1428.0,287.0,989.0,287.0,4.628,between 119600.0 and 179700.0
-122.29,37.81,50,760.0,190.0,377.0,122.0,1.419,less than 119600.0
-120.62,37.35,20,1457.0,372.0,1000.0,346.0,2.911,less than 119600.0
-119.09,36.21,43,1335.0,280.0,943.0,288.0,2.753,less than 119600.0
-121.24,38.64,13,4491.0,689.0,1657.0,667.0,5.996,between 179700.0 and 264725.0
-118.17,34.03,43,1636.0,506.0,1855.0,502.0,3.429,between 119600.0 and 179700.0
-117.55,34.0,17,3583.0,700.0,1587.0,719.0,3.493,less than 119600.0
-121.81,37.41,25,2496.0,351.0,1034.0,367.0,7.629,greater than 264725.0
-120.65,35.28,32,896.0,240.0,548.0,231.0,3.082,between 119600.0 and 179700.0
-119.75,36.8,25,2718.0,504.0,1257.0,465.0,2.982,less than 119600.0
-117.3,34.13,52,1859.0,395.0,968.0,333.0,2.083,less than 119600.0
-120.45,37.31,20,4379.0,753.0,2055.0,716.0,4.395,between 119600.0 and 179700.0
-121.28,38.64,19,3574.0,669.0,1373.0,643.0,4.359,between 179700.0 and 264725.0
-118.02,33.76,25,1759.0,404.0,1404.0,385.0,4.326,between 179700.0 and 264725.0
