Mileage,Cylinder,Doors,Cruise,Sound,Leather,Buick,Cadillac,Chevy,Pontiac,Saab,Saturn,convertible,coupe,hatchback,sedan,wagon,Price
21453,6,4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,between 14273.074999999999 and 18024.995
18245,8,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,between 18024.995 and 26717.3175
29219,6,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
14945,6,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,between 18024.995 and 26717.3175
17891,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
23983,6,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
26893,8,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,greater than 26717.3175
23150,6,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,between 14273.074999999999 and 18024.995
27421,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,greater than 26717.3175
14313,8,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,between 18024.995 and 26717.3175
12675,4,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,between 14273.074999999999 and 18024.995
24654,6,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
22464,6,4,0,1,1,0,0,0,0,0,1,0,0,0,1,0,less than 14273.074999999999
26194,6,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,between 18024.995 and 26717.3175
14220,8,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
28354,6,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,less than 14273.074999999999
20116,4,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,between 18024.995 and 26717.3175
22717,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,between 14273.074999999999 and 18024.995
28121,6,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,greater than 26717.3175
19337,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,greater than 26717.3175
25733,8,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,greater than 26717.3175
17260,6,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,between 18024.995 and 26717.3175
13588,6,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
23541,8,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
25836,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
16611,6,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
23912,8,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
22558,6,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,greater than 26717.3175
28995,6,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
24185,8,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,greater than 26717.3175
27949,6,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,between 14273.074999999999 and 18024.995
17439,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,less than 14273.074999999999
23343,8,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
29395,6,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
24571,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,greater than 26717.3175
26583,8,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,between 18024.995 and 26717.3175
28338,6,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,less than 14273.074999999999
25878,6,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
27521,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
26649,6,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
26798,8,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,less than 14273.074999999999
24217,6,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,between 18024.995 and 26717.3175
21751,4,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
18361,4,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,greater than 26717.3175
24812,6,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,less than 14273.074999999999
29486,8,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
18973,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
23049,6,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
21567,4,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
18422,6,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
20377,6,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
21233,8,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
26545,6,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,greater than 26717.3175
24091,4,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,less than 14273.074999999999
25948,6,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
16942,8,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
20574,6,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
25179,8,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,greater than 26717.3175
22819,6,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,less than 14273.074999999999
15471,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,between 18024.995 and 26717.3175
27856,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
15577,6,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,between 14273.074999999999 and 18024.995
23466,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,greater than 26717.3175
27142,4,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,between 14273.074999999999 and 18024.995
