cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
283.94,101.3,68.23,186.45,4.19,935.2,819.1,35.0,between 34.44277358 and 46.13628654
394.85,26.91,118.49,172.14,9.42,959.8,794.38,69.0,greater than 46.13628654
248.41,0.0,93.19,199.21,6.54,921.9,851.29,17.0,between 34.44277358 and 46.13628654
467.19,189.22,0.0,163.85,10.47,901.1,783.49,94.0,greater than 46.13628654
191.58,0.0,161.21,172.91,7.89,1043.8,783.98,11.0,less than 23.707115153
229.71,0.0,99.81,193.71,4.99,973.49,843.81,102.0,between 34.44277358 and 46.13628654
208.41,136.32,0.0,206.92,0.0,966.42,739.21,8.0,less than 23.707115153
274.91,119.23,0.0,224.15,0.0,940.81,679.39,275.0,greater than 46.13628654
260.23,0.0,122.91,146.31,11.19,1085.31,799.92,15.0,between 34.44277358 and 46.13628654
393.19,25.19,94.31,160.22,13.23,938.42,845.15,30.0,greater than 46.13628654
317.42,149.81,0.0,181.49,8.81,868.19,826.49,29.0,between 34.44277358 and 46.13628654
204.88,137.39,0.0,195.81,0.0,966.95,809.11,8.0,less than 23.707115153
519.81,0.0,0.0,165.47,8.78,804.21,805.39,29.0,between 34.44277358 and 46.13628654
326.19,0.0,126.49,185.31,11.01,870.91,781.19,29.0,between 34.44277358 and 46.13628654
282.14,105.81,66.49,189.29,4.35,936.42,820.85,36.0,between 34.44277358 and 46.13628654
398.81,28.41,119.85,175.14,9.85,962.19,797.39,70.0,greater than 46.13628654
