lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
14,10,984,82,59.0,1.2,1.8,114115,65421.0,0.0,0.0,3.4,0.0,0.2,2.6,2.6,51.4,93.6,1.6,742,1013940,between 89.0 and 94.0
18,4,1568,299,184.0,2.8,4.0,193247,36489.0,0.6,0.6,6.6,0.0,0.4,1.4,2.8,85.2,171.4,2.0,1290,1549822,between 81.0 and 89.0
6,5,341,45,31.0,0.8,0.8,68590,42158.0,3.6,4.8,6.4,0.0,0.8,1.8,3.2,62.8,104.6,1.4,210,1034156,between 89.0 and 94.0
4,3,654,67,55.0,1.0,1.2,72938,55211.0,0.4,0.4,0.4,0.0,0.0,1.6,1.6,38.8,59.2,2.0,560,1039628,less than 81.0
22,14,1239,132,99.0,0.8,1.2,130943,65492.0,0.0,0.0,0.0,0.0,0.0,3.2,4.6,44.6,83.8,2.0,1230,1011315,between 89.0 and 94.0
19,16,2010,201,123.0,1.4,1.8,149201,82939.0,0.0,0.0,0.0,0.0,0.0,6.0,6.4,76.8,140.8,1.4,940,1543958,between 81.0 and 89.0
7,1,2499,221,141.0,1.0,2.4,112399,65794.0,5.4,7.2,8.8,0.0,0.0,11.0,13.0,51.0,93.8,3.2,380,1013995,between 89.0 and 94.0
15,2,394,46,32.0,0.6,1.2,53321,19560.0,0.0,0.0,0.0,0.0,0.0,2.2,2.4,31.6,59.2,2.0,1020,1775230,greater than 94.0
20,18,1359,163,114.0,0.4,1.0,182938,74219.0,0.0,0.0,0.0,0.0,0.0,2.6,3.2,66.4,123.8,2.4,480,1099429,less than 81.0
21,0,270,30,21.0,0.6,0.6,65430,21646.0,0.0,0.0,0.0,0.0,0.0,1.8,2.6,41.2,74.4,1.2,1280,1529823,between 89.0 and 94.0
24,19,987,96,79.0,1.0,0.8,105919,65421.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,59.6,109.0,1.6,560,1034159,between 89.0 and 94.0
17,11,1561,181,123.0,1.4,2.0,149654,74219.0,0.0,0.0,0.0,0.0,0.0,3.2,3.8,53.4,94.8,1.8,1290,1779840,less than 81.0
3,2,654,59,53.0,0.8,0.8,72938,55211.0,0.4,0.4,0.4,0.0,0.0,1.6,1.6,38.8,59.2,2.0,940,1013991,between 89.0 and 94.0
13,4,341,67,61.0,0.4,1.2,72938,55211.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,44.8,83.8,2.0,1290,1099428,between 81.0 and 89.0
2,3,201,33,21.0,0.4,0.8,42117,19560.0,0.0,0.0,0.0,0.0,0.0,2.4,3.6,37.4,64.8,2.4,220,1543959,greater than 94.0
23,10,987,132,104.0,0.6,1.8,103483,55211.0,0.0,0.0,0.0,0.0,0.0,7.2,8.0,52.0,94.0,2.4,480,1034156,less than 81.0
11,12,654,181,123.0,1.2,2.4,72938,74219.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,51.4,93.4,2.0,1290,1039639,between 81.0 and 89.0
1,0,249,45,39.0,0.2,0.4,53321,55211.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,35.2,65.0,1.6,560,1096665,between 89.0 and 94.0
8,4,383,56,43.0,1.2,0.8,42117,21646.0,0.0,0.0,0.0,0.0,0.0,1.4,1.8,43.2,79.4,2.6,560,1040068,greater than 94.0
5,5,341,46,29.0,0.6,0.6,68590,19560.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,39.8,66.4,2.2,940,1043945,between 89.0 and 94.0
18,8,987,82,67.0,0.4,0.8,105919,55211.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,53.4,98.6,2.2,1030,1093959,less than 81.0
16,19,1359,96,77.0,1.0,2.0,149654,74219.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,63.4,115.0,2.4,1030,1034156,between 89.0 and 94.0
3,1,654,53,39.0,0.2,0.6,72938,55211.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,43.6,77.8,2.0,1290,1040063,between 81.0 and 89.0
22,12,383,67,61.0,1.0,0.6,72938,65421.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,48.8,85.2,2.0,560,1043959,between 89.0 and 94.0
2,4,341,33,28.0,0.4,0.8,68590,19560.0,0.0,0.0,0.0,0.0,0.0,1.8,2.2,36.8,68.4,1.8,940,1093944,between 89.0 and 94.0
24,11,987,91,73.0,0.6,0.4,103483,55211.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,58.4,105.6,1.6,1290,1775231,less than 81.0
0,3,383,41,35.0,0.4,1.0,42117,19560.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,39.4,71.4,1.8,1030,1543958,between 89.0 and 94.0
10,17,201,54,38.0,0.2,1.2,53321,21646.0,0.0,0.0,0.0,0.0,0.0,1.6,2.6,41.6,74.4,2.6,1280,1096663,between 89.0 and 94.0
21,10,2499,101,82.0,0.6,0.4,149654,74219.0,0.0,0.0,0.0,0.0,0.0,2.2,2.8,62.8,111.4,1.2,1290,1039639,between 81.0 and 89.0
6,0,135,26,20.0,0.4,0.4,21359,6542.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,31.4,57.4,2.2,560,1043955,greater than 94.0
19,7,987,96,79.0,1.0,0.6,105919,55211.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.0,105.0,1.4,940,1093946,less than 81.0
12,6,383,61,45.0,0.8,0.8,72938,19560.0,0.0,0.0,0.0,0.0,0.0,1.4,1.8,45.2,83.2,2.0,1290,1040065,between 81.0 and 89.0
13,0,341,41,33.0,0.2,0.8,68590,19560.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,41.6,77.2,1.6,560,1034159,between 81.0 and 89.0
7,5,654,82,67.0,0.6,1.4,72938,65421.0,0.0,0.0,0.0,0.0,0.0,2.2,2.4,48.6,88.4,2.0,940,1096667,between 89.0 and 94.0
9,8,987,61,43.0,0.8,0.4,103483,74219.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,52.6,96.8,1.4,1030,1537723,less than 81.0
20,15,341,54,39.0,0.4,0.8,68590,19560.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,39.8,73.2,2.4,1290,1779841,greater than 94.0
16,13,987,92,73.0,0.6,0.6,149654,74219.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,57.8,100.4,1.8,940,1543944,less than 81.0
25,16,1359,101,82.0,0.8,1.6,105919,65421.0,0.0,0.0,0.0,0.0,0.0,6.0,6.4,56.6,100.6,2.0,560,1093942,between 81.0 and 89.0
11,4,383,46,36.0,0.4,0.8,72938,55211.0,0.0,0.0,0.0,0.0,0.0,1.4,2.0,42.8,79.4,1.8,1290,1043959,between 89.0 and 94.0
5,6,383,55,41.0,0.8,0.8,72938,74219.0,0.0,0.0,0.0,0.0,0.0,1.4,2.0,50.8,91.6,1.4,560,1039628,between 89.0 and 94.0
6,3,383,46,34.0,0.2,1.2,68590,19560.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,37.6,69.6,2.0,1030,1034155,between 89.0 and 94.0
4,5,341,39,27.0,0.4,0.8,53321,19560.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,39.4,72.2,2.4,940,1093943,greater than 94.0
8,7,987,54,43.0,0.6,0.8,103483,65421.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,47.2,86.2,1.8,1290,1775233,between 89.0 and 94.0
18,10,1359,92,77.0,0.2,1.2,105919,55211.0,0.0,0.0,0.0,0.0,0.0,2.4,2.8,60.4,110.8,2.2,560,1096666,between 81.0 and 89.0
3,9,201,44,30.0,0.4,1.0,42117,19560.0,0.0,0.0,0.0,0.0,0.0,1.6,1.8,40.8,73.8,1.6,1030,1039627,greater than 94.0
1,1,249,25,22.0,0.4,0.6,53321,19560.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,35.4,65.4,2.4,1290,1093945,between 89.0 and 94.0
0,8,135,33,25.0,0.4,0.8,21359,6542.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,36.8,66.8,2.0,1280,1039628,greater than 94.0
14,12,383,41,32.0,0.2,0.8,68590,19560.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,43.8,79.4,2.4,1290,1043956,between 89.0 and 94.0
9,1,341,50,39.0,0.4,0.4,72938,55211.0,0.0,0.0,0.0,0.0,0.0,1.8,2.2,48.4,87.2,1.4,940,1039638,less than 81.0
