carat,cut,color,clarity,depth,table,x,y,z,price
0.51,Premium,E,SI2,62.4,55.0,4.97,4.99,3.02,between 950.0 and 2401.0
0.83,Good,G,SI1,63.3,59.0,6.01,5.97,3.73,between 2401.0 and 5324.25
0.28,Fair,F,VS2,64.2,58.0,4.29,4.26,2.78,less than 950.0
0.62,Ideal,H,VS1,61.8,56.0,5.49,5.53,3.41,between 950.0 and 2401.0
0.75,Premium,I,SI1,62.9,60.0,5.88,5.85,3.68,between 2401.0 and 5324.25
1.02,Very Good,D,SI2,62.1,57.0,6.49,6.46,4.01,greater than 5324.25
0.43,Good,E,SI1,60.9,55.0,4.83,4.86,2.99,between 950.0 and 2401.0
0.91,Ideal,G,VS2,63.5,61.0,6.24,6.29,3.94,between 2401.0 and 5324.25
0.38,Ideal,F,VVS1,62.3,54.1,4.63,4.66,2.9,between 950.0 and 2401.0
0.96,Premium,H,SI1,62.7,59.0,6.37,6.33,3.97,between 2401.0 and 5324.25
0.49,Very Good,E,SI2,61.4,56.0,5.04,5.07,3.09,between 950.0 and 2401.0
1.29,Good,I,SI1,63.2,60.0,6.88,6.84,4.26,greater than 5324.25
0.67,Premium,G,SI1,62.2,58.0,5.56,5.52,3.46,between 950.0 and 2401.0
0.82,Fair,D,VS1,64.5,57.0,5.95,5.99,3.72,greater than 5324.25
0.25,Ideal,H,IF,61.2,56.0,4.24,4.27,2.75,less than 950.0
0.59,Good,E,SI1,60.7,55.0,5.23,5.26,3.24,between 950.0 and 2401.0
1.44,Premium,D,SI2,62.9,61.0,7.08,7.04,4.38,greater than 5324.25
0.46,Very Good,F,SI2,61.9,57.0,4.9,4.94,3.01,between 950.0 and 2401.0
0.53,Ideal,G,VS1,62.1,56.0,5.13,5.16,3.15,between 950.0 and 2401.0
0.99,Premium,I,SI1,62.8,60.0,6.43,6.39,4.03,between 2401.0 and 5324.25
0.71,Good,H,SI2,63.4,58.0,5.81,5.78,3.63,between 950.0 and 2401.0
0.32,Ideal,E,VS2,61.6,55.0,4.44,4.46,2.81,less than 950.0
0.85,Very Good,G,SI1,62.5,59.0,6.14,6.1,3.85,between 2401.0 and 5324.25
1.11,Fair,I,SI1,62.2,60.0,6.63,6.58,4.17,greater than 5324.25
0.48,Premium,E,SI2,61.7,56.0,5.01,5.04,3.06,between 950.0 and 2401.0
0.69,Ideal,D,SI1,60.3,55.0,5.51,5.54,3.39,between 950.0 and 2401.0
0.93,Good,F,VS1,63.9,61.0,6.29,6.34,3.96,between 2401.0 and 5324.25
0.41,Very Good,H,SI2,61.5,57.0,4.85,4.88,3.01,between 950.0 and 2401.0
1.06,Premium,G,SI1,62.6,59.0,6.53,6.48,4.13,between 2401.0 and 5324.25
0.58,Ideal,E,SI1,61.3,55.0,5.27,5.3,3.25,between 950.0 and 2401.0
0.36,Good,D,VS2,64.1,58.0,4.59,4.63,2.88,less than 950.0
0.98,Premium,H,SI2,62.9,60.0,6.44,6.39,4.05,between 2401.0 and 5324.25
