relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.851,663.25,309.75,191.75,5.75,3.0,0.275,2.5,greater than 31.6675
0.675,750.0,324.0,198.5,6.25,4.0,0.225,4.0,between 18.95 and 31.6675
0.796,629.25,294.5,170.75,5.0,2.0,0.175,1.0,between 12.9925 and 18.95
0.694,734.75,313.5,194.0,5.5,5.0,0.3,5.0,less than 12.9925
0.758,699.25,316.25,176.0,6.0,4.0,0.25,3.0,between 18.95 and 31.6675
0.961,593.0,315.0,140.25,7.25,2.0,0.125,2.0,greater than 31.6675
0.838,636.25,321.0,157.0,6.75,3.0,0.325,1.0,between 12.9925 and 18.95
0.71,761.5,303.5,210.25,4.75,5.0,0.225,4.0,between 12.9925 and 18.95
0.678,748.5,349.5,196.0,5.25,4.0,0.275,3.0,less than 12.9925
0.819,646.75,329.0,162.25,6.25,2.0,0.175,5.0,between 18.95 and 31.6675
0.911,568.25,317.5,133.0,7.5,5.0,0.25,2.0,greater than 31.6675
0.756,704.5,292.0,204.75,5.25,3.0,0.275,1.0,between 18.95 and 31.6675
0.755,680.5,322.0,172.5,5.5,4.0,0.225,5.0,between 18.95 and 31.6675
0.688,732.25,314.0,195.75,5.75,5.0,0.175,4.0,between 12.9925 and 18.95
0.819,680.5,309.5,169.0,6.0,2.0,0.3,3.0,between 18.95 and 31.6675
0.934,586.0,324.5,146.25,6.75,5.0,0.2,2.0,greater than 31.6675
0.769,722.25,302.25,212.75,5.0,4.0,0.225,1.0,less than 12.9925
0.799,654.25,313.75,165.5,5.75,3.0,0.25,5.0,between 18.95 and 31.6675
0.733,762.75,328.5,193.25,5.5,2.0,0.175,4.0,between 12.9925 and 18.95
0.799,700.0,296.5,206.25,6.25,5.0,0.275,3.0,greater than 31.6675
0.854,633.75,305.5,163.25,6.0,4.0,0.225,2.0,between 18.95 and 31.6675
0.89,614.0,303.5,156.0,6.25,3.0,0.3,1.0,between 18.95 and 31.6675
0.924,573.5,311.0,130.25,7.25,2.0,0.25,5.0,greater than 31.6675
0.703,744.0,304.5,200.0,4.75,5.0,0.2,4.0,between 12.9925 and 18.95
0.763,684.75,329.0,169.5,6.0,4.0,0.175,3.0,between 18.95 and 31.6675
0.769,722.25,302.25,212.75,5.0,4.0,0.225,1.0,less than 12.9925
0.923,605.5,314.0,143.0,6.75,5.0,0.125,2.0,greater than 31.6675
0.731,753.25,306.25,208.25,5.5,2.0,0.275,4.0,between 12.9925 and 18.95
0.905,602.5,301.5,157.5,6.25,3.0,0.2,5.0,between 18.95 and 31.6675
0.678,750.5,346.0,191.75,5.5,5.0,0.225,3.0,less than 12.9925
0.844,642.75,320.0,159.0,6.5,4.0,0.3,2.0,between 18.95 and 31.6675
0.796,658.75,293.75,173.25,5.25,2.0,0.25,1.0,between 12.9925 and 18.95
