age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
22,179,74,England,69,75,56,63,58,68,51,65,53,45,64,66,74,75,69,64,72,61,59,8,12,9,11,7,between 3000.0 and 8000.0
28,187,80,Germany,70,73,59,56,66,65,48,63,59,52,61,68,72,76,66,63,68,67,64,10,9,13,8,10,between 1000.0 and 3000.0
25,184,79,Spain,66,72,51,59,62,64,43,60,55,47,59,66,71,74,69,65,73,60,58,11,8,10,9,12,between 3000.0 and 8000.0
29,182,78,Brazil,73,77,63,66,65,72,57,71,62,55,70,75,77,81,74,67,76,72,69,7,15,12,10,8,greater than 8000.0
26,189,85,France,68,75,58,61,63,69,51,67,60,51,66,72,76,80,73,68,75,69,66,13,10,11,12,9,between 3000.0 and 8000.0
27,186,81,Italy,69,74,60,62,64,70,54,66,59,54,65,71,78,82,75,69,77,70,67,8,14,9,13,11,between 1000.0 and 3000.0
24,181,77,Argentina,71,76,62,65,66,72,56,70,63,56,68,74,79,84,76,70,80,71,68,9,12,10,11,7,greater than 8000.0
30,188,83,Colombia,67,72,55,59,63,67,50,64,58,50,62,69,75,79,71,66,73,66,63,10,9,12,8,10,between 1000.0 and 3000.0
19,176,72,Portugal,64,70,53,58,61,65,47,62,56,48,59,66,72,77,70,65,74,63,60,11,8,10,9,12,between 3000.0 and 8000.0
21,185,80,Denmark,66,73,56,60,63,68,51,65,60,52,63,70,76,81,73,68,76,67,64,12,10,11,10,8,between 3000.0 and 8000.0
20,183,79,Belgium,68,75,59,63,64,70,54,67,61,55,65,72,78,83,75,69,77,68,65,8,14,9,12,11,between 3000.0 and 8000.0
23,180,76,Netherlands,69,74,60,64,65,71,56,68,63,56,66,73,79,85,76,70,80,69,66,9,13,10,11,7,greater than 8000.0
18,184,78,Switzerland,65,72,54,59,62,66,50,63,58,51,61,68,75,80,72,67,75,64,61,10,9,11,9,12,between 1000.0 and 3000.0
32,190,86,England,72,78,64,68,67,73,60,71,65,60,68,75,80,86,77,71,80,70,67,7,15,8,12,10,greater than 8000.0
22,179,75,Germany,67,73,57,62,64,69,52,65,60,54,63,70,76,82,72,68,74,65,62,11,8,10,9,11,between 3000.0 and 8000.0
29,188,84,Italy,73,79,66,69,68,74,61,72,67,62,69,76,81,87,77,72,80,71,68,8,14,9,13,7,greater than 8000.0
26,186,80,France,68,75,59,64,65,71,56,68,63,58,65,72,78,84,74,70,76,68,65,9,12,10,11,8,between 3000.0 and 8000.0
27,187,83,Brazil,70,76,62,67,66,73,58,70,65,61,67,74,79,85,75,71,78,69,66,10,9,11,9,12,between 1000.0 and 3000.0
