age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur,22,186,78,Germany,69,73,61,59,66,69.1,51,69.2,59.1,44,60,63,76,81,84,66.1,80,60.1,60.2,11,14,9,8,13,between 3000.0 and 8000.0
20.0,185.0,82.0,Brazil,66.0,72.0,57.0,53.0,44.0,55.0,49.0,61.0,44.0,51.0,63.0,66.0,78.0,79.0,73.0,61.0,78.0,59.0,54.0,8.0,11.0,12.0,13.0,6.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,189.0,81.0,Germany,75.0,79.0,66.0,59.0,50.0,65.0,56.0,70.0,55.0,57.0,69.0,72.0,81.0,82.0,80.0,67.0,74.0,61.0,59.0,10.0,12.0,10.0,9.0,13.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,174.0,72.0,Argentina,64.0,67.0,51.0,49.0,53.0,57.0,44.0,62.0,52.0,45.0,56.0,60.0,70.0,73.0,72.0,57.0,69.0,39.0,33.0,13.0,8.0,9.0,14.0,12.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,179.0,77.0,Spain,73.0,76.0,63.0,60.0,54.0,65.0,58.0,69.0,55.0,49.0,65.0,69.0,77.0,80.0,76.0,63.0,73.0,43.0,40.0,10.0,13.0,14.0,10.0,10.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,181.0,75.0,Italy,69.0,73.0,59.0,56.0,51.0,60.0,51.0,65.0,54.0,47.0,61.0,65.0,75.0,78.0,76.0,60.0,72.0,41.0,38.0,12.0,10.0,9.0,8.0,7.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,183.0,80.0,France,72.0,78.0,64.0,61.0,55.0,66.0,57.0,70.0,57.0,50.0,66.0,71.0,81.0,82.0,79.0,66.0,76.0,53.0,51.0,9.0,10.0,11.0,9.0,10.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,186.0,80.0,England,76.0,81.0,69.0,63.0,57.0,70.0,62.0,73.0,60.0,53.0,70.0,74.0,82.0,84.0,81.0,69.0,76.0,48.0,45.0,14.0,13.0,12.0,14.0,11.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,176.0,72.0,Portugal,65.0,69.0,53.0,52.0,50.0,56.0,48.0,61.0,49.0,43.0,56.0,60.0,71.0,72.0,70.0,57.0,67.0,33.0,28.0,11.0,7.0,8.0,11.0,8.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,184.0,78.0,Belgium,71.0,75.0,62.0,58.0,52.0,63.0,55.0,67.0,56.0,48.0,63.0,67.0,78.0,80.0,77.0,62.0,73.0,46.0,42.0,8.0,9.0,10.0,10.0,9.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,180.0,73.0,Colombia,63.0,68.0,53.0,51.0,49.0,56.0,49.0,61.0,50.0,46.0,59.0,62.0,72.0,73.0,72.0,59.0,70.0,39.0,35.0,7.0,8.0,7.0,8.0,9.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,191.0,85.0,Argentina,78.0,82.0,71.0,65.0,59.0,72.0,64.0,75.0,63.0,55.0,72.0,76.0,84.0,86.0,83.0,70.0,77.0,52.0,49.0,12.0,10.0,12.0,10.0,9.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,175.0,71.0,Brazil,66.0,71.0,57.0,55.0,52.0,58.0,52.0,63.0,54.0,50.0,61.0,63.0,73.0,75.0,73.0,60.0,70.0,42.0,39.0,9.0,8.0,9.0,9.0,10.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,188.0,80.0,Spain,70.0,73.0,60.0,56.0,53.0,62.0,54.0,66.0,56.0,51.0,64.0,66.0,79.0,81.0,78.0,64.0,74.0,46.0,43.0,8.0,9.0,10.0,12.0,6.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,177.0,74.0,France,71.0,74.0,63.0,61.0,56.0,64.0,59.0,69.0,58.0,54.0,66.0,69.0,77.0,80.0,76.0,66.0,74.0,48.0,46.0,10.0,10.0,10.0,9.0,8.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,185.0,81.0,Germany,74.0,79.0,67.0,62.0,58.0,68.0,61.0,71.0,62.0,56.0,69.0,72.0,82.0,84.0,81.0,69.0,76.0,49.0,48.0,12.0,9.0,11.0,10.0,11.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,182.0,78.0,Italy,69.0,72.0,59.0,57.0,53.0,60.0,55.0,66.0,56.0,52.0,62.0,65.0,76.0,79.0,76.0,61.0,72.0,43.0,41.0,9.0,8.0,10.0,8.0,7.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,190.0,85.0,England,77.0,81.0,70.0,64.0,59.0,71.0,63.0,73.0,64.0,57.0,70.0,74.0,83.0,85.0,82.0,70.0,76.0,51.0,50.0,11.0,10.0,9.0,9.0,10.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,179.0,72.0,Portugal,64.0,68.0,53.0,51.0,50.0,55.0,49.0,61.0,50.0,46.0,58.0,60.0,70.0,72.0,70.0,57.0,67.0,36.0,29.0,8.0,7.0,8.0,9.0,7.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,186.0,81.0,Argentina,74.0,78.0,67.0,63.0,58.0,67.0,62.0,71.0,63.0,56.0,67.0,70.0,80.0,82.0,80.0,68.0,74.0,48.0,45.0,12.0,9.0,11.0,10.0,8.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
