theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
0.219664,-0.467123,0.934057,-1.349734,-0.173941,0.939194,-0.802531,-1.054199,between 0.523583695 and 0.708821715
-1.299684,-0.849685,0.511662,1.060647,-0.955109,0.316392,-0.240678,-0.823171,greater than 0.9013542725
0.753201,-0.382684,1.063399,-1.411645,1.174871,0.450873,1.246781,-0.604275,between 0.523583695 and 0.708821715
0.421103,0.965985,-0.176162,0.810054,-0.824355,-0.329912,-1.022151,0.430893,between 0.708821715 and 0.9013542725
-0.947886,0.627916,-0.986531,-0.380126,-0.384135,-0.688241,1.082449,-0.725103,less than 0.523583695
-0.067382,-0.294911,0.863721,1.066955,-0.335305,1.324879,-1.256925,0.982311,between 0.523583695 and 0.708821715
-0.981988,-0.111155,0.143449,-0.717462,-1.195569,0.821678,-0.387565,1.259821,greater than 0.9013542725
1.187695,-0.942558,0.466813,0.670219,-0.180401,-0.745449,0.680408,-0.216911,between 0.523583695 and 0.708821715
-0.530645,-0.071274,1.170594,-0.939911,1.444989,1.018316,-0.961943,0.627289,between 0.708821715 and 0.9013542725
-0.376821,-0.987616,-0.663177,-0.191671,1.192799,-1.292175,0.805209,1.215381,less than 0.523583695
-1.469447,-0.821681,1.270461,0.839159,0.399926,-0.475887,0.965819,-1.194961,between 0.523583695 and 0.708821715
-0.859427,-0.531351,-1.445171,-0.756821,0.649611,1.469759,0.250761,-0.787439,greater than 0.9013542725
1.436159,-0.240556,-0.078721,0.989961,-1.042157,-0.382987,-0.984151,-0.650319,less than 0.523583695
-0.689517,1.124377,-1.201501,1.012551,0.982961,-0.751431,-1.113149,0.910671,greater than 0.9013542725
0.814621,1.080187,0.804235,-0.537911,0.615658,-0.407669,-0.795517,-1.153621,between 0.708821715 and 0.9013542725
0.065411,-1.270538,0.945439,-1.130881,-0.925761,1.294123,-1.061982,1.448439,between 0.523583695 and 0.708821715
0.984819,-0.831461,0.700206,-0.875668,0.959041,-0.771688,0.925631,0.796987,greater than 0.9013542725
-1.011955,-0.263764,-0.935823,0.811685,0.880499,0.791217,0.651941,-0.380213,between 0.523583695 and 0.708821715
-0.936707,1.130409,-0.686401,-1.373968,-0.623412,-0.996148,-0.875406,1.100492,less than 0.523583695
1.234455,-1.234893,0.977058,0.837781,0.680209,-1.062681,0.654799,-0.646355,between 0.708821715 and 0.9013542725
0.685569,-0.924191,-0.804199,0.963209,-1.250849,-0.623531,-0.829187,0.932445,between 0.523583695 and 0.708821715
0.901239,-0.945899,-0.685101,-1.149301,-0.753961,-1.342399,0.934789,-0.655419,less than 0.523583695
0.679599,-1.335781,0.849877,-0.642115,0.984961,1.091141,0.984169,1.032641,greater than 0.9013542725
-1.208158,0.893547,-1.385451,-0.745841,-0.648799,-0.882881,-0.725115,-0.907471,between 0.523583695 and 0.708821715
1.479309,-0.654112,-0.685941,0.921211,-0.819149,-0.509591,-1.116821,-1.196549,less than 0.523583695
-1.349194,-0.776811,-0.946931,-0.683781,0.962829,0.777341,-0.860179,0.784171,between 0.708821715 and 0.9013542725
0.690145,0.941179,-0.678951,-0.958127,-0.674291,-0.656261,0.976149,-0.938217,between 0.523583695 and 0.708821715
-0.820657,1.335609,-0.697421,1.183691,0.940819,0.820191,-0.643141,-0.760751,greater than 0.9013542725
-1.494695,0.666149,1.350981,-0.865657,1.199031,-0.899811,0.911349,-0.962959,less than 0.523583695
1.399479,-0.864931,-1.227791,-0.705499,0.928921,-1.144781,-0.928759,1.104781,between 0.708821715 and 0.9013542725
1.174051,-0.791299,-0.900209,0.985171,-0.670981,0.934399,-1.201209,-1.011599,between 0.523583695 and 0.708821715
1.181739,0.654289,1.065111,-0.901409,0.811881,0.790441,-1.184521,-0.860561,greater than 0.9013542725
-0.802517,-1.058841,-1.320871,1.202531,-0.924201,-0.678831,0.941991,-0.684681,less than 0.523583695
-0.686469,0.689189,0.887469,-1.399121,-0.783921,-0.909231,0.976669,-0.965631,between 0.523583695 and 0.708821715
