bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
3,2.25,1980.0,11400.0,1.0,0,0,4,7,1400.0,580.0,1982.0,0.0,98022,47.4881,-122.223,1860.0,10200.0,2015,6,19,between 321950.0 and 450000.0
4,2.5,2340.0,12000.0,2.0,0,1,3,8,2000.0,340.0,1999.0,0.0,98107,47.6034,-122.305,2280.0,12800.0,2014,8,17,greater than 645000.0
3,1.75,1510.0,10000.0,1.0,0,0,4,7,1290.0,220.0,1971.0,0.0,98047,47.5223,-122.284,1740.0,10900.0,2014,11,24,less than 321950.0
4,2.0,1920.0,7600.0,1.5,0,1,3,7,1620.0,300.0,1967.0,0.0,98118,47.5621,-122.258,1960.0,8000.0,2015,4,2,greater than 645000.0
4,2.75,2880.0,11600.0,2.0,0,0,3,8,2380.0,500.0,2003.0,0.0,98035,47.4982,-122.209,2420.0,12000.0,2015,9,11,between 450000.0 and 645000.0
2,1.0,1040.0,8200.0,1.0,0,0,5,5,1040.0,0.0,1961.0,0.0,98056,47.4839,-122.166,1190.0,8600.0,2014,7,1,less than 321950.0
3,1.75,1670.0,13000.0,1.0,0,0,3,8,1670.0,0.0,1958.0,0.0,98023,47.3271,-122.364,2030.0,15200.0,2014,10,28,less than 321950.0
4,2.5,3080.0,5600.0,2.5,0,2,3,8,3080.0,0.0,2006.0,0.0,98029,47.5539,-121.996,2460.0,6100.0,2014,8,15,greater than 645000.0
3,2.5,2180.0,10500.0,2.0,0,0,3,8,2180.0,0.0,1994.0,0.0,98074,47.6314,-122.027,2400.0,10800.0,2015,1,27,between 321950.0 and 450000.0
4,2.5,2700.0,4400.0,2.0,0,0,3,9,2700.0,0.0,2004.0,0.0,98115,47.6725,-122.327,1890.0,5100.0,2014,6,5,greater than 645000.0
3,1.75,1450.0,1870.0,2.0,0,0,3,7,980.0,470.0,2013.0,0.0,98108,47.5684,-122.314,1410.0,2000.0,2014,3,20,less than 321950.0
3,1.75,1390.0,6050.0,1.0,0,0,4,7,1390.0,0.0,1963.0,0.0,98038,47.4379,-122.011,2010.0,6750.0,2015,5,18,between 321950.0 and 450000.0
3,3.5,2790.0,4100.0,2.0,0,0,3,8,1650.0,1140.0,2005.0,0.0,98027,47.5371,-122.073,2370.0,3800.0,2014,9,7,between 450000.0 and 645000.0
3,2.25,2070.0,7200.0,1.0,0,0,3,8,1370.0,700.0,1975.0,0.0,98052,47.6912,-122.115,2160.0,8800.0,2015,11,22,between 450000.0 and 645000.0
5,3.0,3390.0,16400.0,1.0,0,0,3,7,1920.0,1470.0,2004.0,0.0,98052,47.6708,-122.14,2020.0,13400.0,2015,2,14,greater than 645000.0
3,2.5,2590.0,6700.0,2.0,0,0,3,8,2590.0,0.0,2008.0,0.0,98042,47.3449,-122.151,2450.0,6700.0,2014,5,8,between 321950.0 and 450000.0
