LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality,SALE_PRC
25.584191,-80.394941,5938,2114,3642,10417,28139,9312,72219,39219,6919,18,0,5,3,between 235000.0 and 310000.0
25.751942,-80.263011,8292,2321,9821,8563,35190,17521,85329,53829,11421,51,0,8,4,greater than 428000.0
25.935572,-80.201087,7439,1203,5678,12991,45926,3468,62653,48653,8256,29,0,4,2,between 235000.0 and 310000.0
25.812191,-80.235461,6429,1953,3942,3811,33349,10221,28127,28127,6548,79,0,10,5,less than 235000.0
25.678961,-80.414249,6213,2383,1589,2018,59321,45887,102817,52887,23516,3,0,2,4,between 310000.0 and 428000.0
25.901499,-80.181282,8556,2002,4929,1937,24315,4721,43094,43094,16294,0,0,6,3,between 235000.0 and 310000.0
25.695671,-80.279912,5139,1687,3211,4719,26232,5961,36943,36943,12516,28,0,9,4,between 235000.0 and 310000.0
25.869251,-80.206631,7734,1829,6190,7532,29489,14231,45529,45529,6308,35,0,1,4,greater than 428000.0
25.559871,-80.37011,9845,2464,2460,13070,17830,12312,116821,61621,9562,58,0,5,2,between 235000.0 and 310000.0
25.816191,-80.240141,9234,2011,1085,3669,25194,15424,26353,26353,13153,22,0,3,5,less than 235000.0
25.762271,-80.294401,7833,2258,1752,6489,33619,18729,43256,43256,8246,16,0,7,4,greater than 428000.0
25.941621,-80.173471,8468,1222,0,14267,29992,10000,69998,64998,12298,47,0,8,3,between 235000.0 and 310000.0
25.548891,-80.384341,6008,2256,1263,4998,18651,5987,90925,60925,11087,1,0,11,4,between 310000.0 and 428000.0
25.701381,-80.446381,6778,2021,2354,13554,49281,28221,93656,53656,16921,17,0,2,3,between 310000.0 and 428000.0
25.619091,-80.425251,5038,1514,1963,2039,27771,20526,81953,61953,19792,46,0,6,4,between 235000.0 and 310000.0
25.859201,-80.200441,9644,1724,2464,2018,24315,2644,43094,43094,43094,27,0,9,2,less than 235000.0
25.631551,-80.421191,7322,1734,2464,4719,33273,4679,54401,34401,10299,50,0,1,5,between 310000.0 and 428000.0
25.711191,-80.291351,8329,1422,2167,3345,30996,23944,43745,43745,10545,32,0,7,4,greater than 428000.0
25.693381,-80.283001,7519,2049,3689,5962,37319,18266,59626,39626,15126,21,0,3,4,between 235000.0 and 310000.0
25.925471,-80.187771,9423,1211,1142,1036,15114,4494,41141,35141,11441,18,0,10,4,less than 235000.0
25.845881,-80.213971,9231,1426,1933,10300,20146,3143,30561,25561,6581,49,0,6,4,between 235000.0 and 310000.0
25.946621,-80.178001,7759,1001,0,1902,17807,2356,37154,35154,8424,38,0,4,3,less than 235000.0
25.551321,-80.382701,6114,1838,2171,4492,19367,12813,80841,47841,12141,12,0,8,4,between 235000.0 and 310000.0
25.833351,-80.202941,7003,1733,2463,1961,22146,3466,35775,35775,9075,39,0,9,2,between 235000.0 and 310000.0
25.681801,-80.402101,7893,1731,2463,4173,33539,18851,65422,45422,12022,14,0,5,4,between 235000.0 and 310000.0
25.924171,-80.181831,7789,1511,2463,1964,28743,2179,42194,42194,11394,59,0,7,5,less than 235000.0
25.696461,-80.299651,6128,1832,1942,2596,29814,13935,58391,50391,12191,25,0,3,3,between 235000.0 and 310000.0
25.874061,-80.211781,8432,1862,2461,2469,25958,13026,41626,36626,11826,41,0,10,4,between 310000.0 and 428000.0
25.609821,-80.375691,8394,2306,1556,3358,29517,12517,81624,57624,17124,16,0,4,4,greater than 428000.0
25.542591,-80.381821,9939,1955,2462,4506,31104,13304,75256,54256,14056,54,0,6,4,between 235000.0 and 310000.0
25.645671,-80.333171,7274,1341,2464,13542,35756,19756,80803,65803,16503,48,0,2,5,greater than 428000.0
25.938011,-80.182411,9768,1238,2460,1756,27713,2613,51838,41838,12138,62,0,1,4,between 235000.0 and 310000.0
