lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
5.14,15.0,21635.8,1924.3,8494.9,175.2,175.2,727.4,644.1,2.1,11.2,1.027,24.5,0.49,less than 0.962
2.09,6.0,6129.5,1391.7,6809.7,31.4,31.4,571.8,569.9,1.29,7.1,1.019,0.0,0.202,between 0.975 and 0.988
5.14,15.0,21638.4,1924.4,8509.2,175.3,175.3,716.8,643.3,2.07,11.0,1.027,25.1,0.51,less than 0.962
9.3,27.0,72764.4,3560.2,9735.8,644.7,644.7,1053.5,772.5,4.49,22.7,1.05,88.5,1.69,greater than 0.988
9.3,27.0,72765.1,3560.4,9767.3,644.8,644.8,1103.1,785.4,4.51,22.8,1.049,91.4,1.79,less than 0.962
7.15,21.0,38982.1,2678.0,9135.1,332.3,332.3,821.5,692.1,2.96,15.4,1.035,43.3,0.85,between 0.962 and 0.975
1.14,3.0,3067.9,1412.8,6709.1,11.2,11.2,512.1,555.3,1.21,6.4,1.019,0.0,0.141,less than 0.962
1.14,3.0,1412.9,1393.2,6766.3,10.0,10.0,482.9,554.4,1.14,6.1,1.019,0.0,0.104,between 0.975 and 0.988
5.14,15.0,21638.8,1924.3,8506.2,175.2,175.2,709.5,640.7,2.07,10.9,1.027,25.0,0.5,less than 0.962
7.15,21.0,38985.5,2678.0,9130.4,332.0,332.0,824.2,692.5,2.96,15.5,1.036,43.1,0.86,between 0.962 and 0.975
6.18,18.0,29793.4,2306.9,8834.6,246.1,246.1,766.9,663.6,2.5,13.2,1.031,33.9,0.68,less than 0.962
3.14,9.0,8380.2,1386.6,7104.2,60.2,60.2,587.2,583.7,1.39,7.5,1.02,12.3,0.249,between 0.962 and 0.975
7.15,21.0,38998.1,2678.0,9122.3,332.3,332.3,810.8,685.1,2.98,15.5,1.036,42.9,0.87,between 0.975 and 0.988
7.15,21.0,38980.4,2678.0,9136.8,332.1,332.1,832.3,693.7,2.96,15.4,1.035,44.0,0.88,less than 0.962
1.14,3.0,3643.8,1415.6,6722.7,11.4,11.4,539.3,562.2,1.23,6.6,1.019,0.0,0.172,between 0.962 and 0.975
8.21,24.0,50996.8,3086.9,9301.5,438.0,438.0,917.2,730.7,3.58,18.5,1.042,60.5,1.19,between 0.975 and 0.988
2.09,6.0,4238.5,1390.9,6781.9,30.8,30.8,530.5,563.1,1.25,6.7,1.02,0.0,0.159,between 0.975 and 0.988
8.21,24.0,50993.6,3087.3,9307.6,438.0,438.0,909.8,729.2,3.58,18.3,1.042,59.2,1.17,between 0.962 and 0.975
1.14,3.0,5311.6,1361.5,6628.2,7.9,7.9,599.4,564.6,1.27,6.9,1.019,14.7,0.255,greater than 0.988
