F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
10422.41,3111.37,0.28135,96.6719,1452013.19,148.391,4289.57,51.0,33.4635,between 2.305 and 5.03
9467.89,2661.33,0.25112,80.4262,1304024.64,124.194,3946.67,67.0,36.5492,less than 2.305
12195.6,3739.45,0.33629,134.691,1754311.28,201.801,4839.41,111.0,27.8343,greater than 13.379
10015.9,2891.55,0.22789,91.5842,1382197.42,140.492,4491.81,41.0,31.6306,between 2.305 and 5.03
6921.48,2034.57,0.29751,59.1134,966344.115,95.6542,3131.55,26.0,38.4114,less than 2.305
15428.1,4211.29,0.26333,188.218,2146593.75,230.785,5291.13,93.0,25.5012,between 5.03 and 13.379
11830.8,3290.11,0.30938,121.39,1647662.42,165.431,4728.49,50.0,30.3491,between 2.305 and 5.03
9814.81,2835.94,0.24405,85.3468,1359084.75,132.187,4208.82,62.0,34.5228,less than 2.305
14349.4,4013.17,0.29134,169.401,2001938.28,240.995,5139.45,118.0,23.1914,greater than 13.379
8447.24,2517.19,0.25879,73.7371,1186017.83,117.641,3897.51,48.0,36.114,less than 2.305
10393.2,3041.53,0.28281,97.8541,1446449.59,150.399,4368.11,53.0,32.7395,between 2.305 and 5.03
11744.6,3363.45,0.23532,129.731,1691247.33,163.555,4645.24,70.0,29.4555,between 2.305 and 5.03
9583.58,2745.89,0.20532,82.5863,1331101.58,129.671,4131.35,46.0,35.1556,less than 2.305
6892.45,2069.58,0.33392,62.3131,953767.296,98.3594,3245.88,24.0,38.9641,less than 2.305
13267.3,3735.64,0.27014,151.354,1861573.85,206.327,4925.56,108.0,27.9858,between 5.03 and 13.379
10988.9,3195.78,0.29675,101.478,1533559.92,152.729,4463.38,56.0,31.9282,between 2.305 and 5.03
9658.47,2813.24,0.21511,88.2455,1345851.33,138.499,4219.96,43.0,34.3031,less than 2.305
12544.8,3555.22,0.26095,140.982,1758359.84,171.219,4849.29,95.0,28.5963,greater than 13.379
7539.62,2258.18,0.28941,66.4227,1044943.51,112.139,3509.41,30.0,37.3515,between 2.305 and 5.03
13493.4,3943.85,0.25242,157.684,1904025.83,216.871,5041.14,104.0,26.4784,between 5.03 and 13.379
11175.9,3233.41,0.28235,110.538,1584278.21,158.341,4579.92,59.0,30.7769,between 2.305 and 5.03
9342.14,2709.17,0.20651,84.9343,1297343.93,131.655,4147.45,47.0,35.1173,less than 2.305
14138.2,4075.19,0.29433,170.587,2005914.38,243.927,5192.85,116.0,23.4479,greater than 13.379
8705.31,2593.36,0.26487,77.2244,1214397.55,125.689,3945.61,52.0,35.6994,less than 2.305
10229.4,2985.45,0.27528,93.6579,1422915.94,147.199,4314.25,54.0,33.1873,between 2.305 and 5.03
11437.8,3297.89,0.23729,125.646,1651347.39,162.391,4642.18,71.0,29.6318,between 2.305 and 5.03
9826.59,2864.85,0.20921,86.4368,1371037.41,134.637,4216.51,45.0,34.5098,less than 2.305
13145.5,3734.51,0.26851,155.253,1885360.74,209.823,4985.19,109.0,27.6782,between 5.03 and 13.379
10791.4,3139.42,0.29614,99.8199,1512454.85,151.305,4439.95,57.0,32.0806,between 2.305 and 5.03
9691.85,2839.22,0.21428,87.7438,1348305.56,138.759,4231.24,44.0,34.4079,less than 2.305
13201.9,3783.14,0.25919,156.351,1881443.78,218.281,5033.88,105.0,26.9253,between 5.03 and 13.379
11149.2,3205.75,0.28114,111.191,1582058.43,158.864,4584.71,60.0,30.8254,between 2.305 and 5.03
