theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,thetadd6
-1.459037,0.823021,-0.935406,-0.317324,-2.05833,-0.689671,0.945671,0.473911,0.215911,-0.509381,-0.756911,-0.281741,-11.3942,28.1503,-51.9362,-23.1399,-46.2881,0.941113,1.54993,0.718765,2.06365,1.45764,0.627982,2.03543,1.46885,0.350654,2.19444,0.596021,1.68971,2.07159,1.42615,less than -0.023711622,
-2.19193,0.059375,0.270971,-1.70464,0.654982,1.35164,-1.68959,0.819531,-0.470661,0.686131,1.03243,0.213761,-44.6991,-25.4803,-22.8194,-69.2754,-11.4319,2.24464,1.83722,1.46742,0.397431,2.18635,1.62423,0.275681,1.44593,1.70148,0.523431,0.850982,1.93429,0.430589,1.67842,greater than 0.02356751225,
-0.75117,-0.99164,-0.847511,-0.62464,-1.94149,0.870941,0.630141,1.48435,-1.33541,-1.06149,-0.92533,-2.04433,34.4199,59.4191,42.8992,-17.9893,38.6101,2.01153,0.936815,2.34993,1.63415,1.95634,2.01141,2.44595,0.943821,0.619921,1.65435,1.42965,2.18439,0.688531,1.54949,between -0.023711622 and -0.00016276260500000002,
0.430781,1.78223,0.573395,1.45149,-0.934982,-0.641509,-0.263391,-0.737672,2.20116,1.45016,-0.73482,1.04395,-27.4996,10.4997,-44.7996,-60.7986,-48.3996,2.46773,0.964381,1.34981,0.689191,1.62841,0.964381,2.18511,1.35081,0.964381,1.34981,0.964381,1.35081,0.689191,1.62841,between -0.00016276260500000002 and 0.02356751225,
-1.63011,-0.75564,0.270141,0.654911,-0.984141,1.03233,1.47349,0.216191,0.216791,0.216791,-0.216791,-1.47349,19.1919,-46.3097,-21.6097,45.8907,-46.3097,0.654911,1.47349,0.216791,0.216791,0.216791,0.654911,0.216791,0.216791,0.654911,1.47349,0.216791,0.654911,0.216791,0.654911,less than -0.023711622,
-1.91167,0.75564,-0.93541,-1.70464,-0.65498,-0.68967,0.94567,-0.50938,-0.75691,-0.28174,-0.47391,0.21591,-30.8009,-21.6491,-42.8194,28.4894,-38.4627,1.54993,0.941113,2.06365,1.45764,0.627982,2.03543,1.46885,0.350654,2.19444,0.596021,1.68971,2.07159,1.42615,1.54993,greater than 0.02356751225,
0.82302,-1.45904,-0.93541,-0.31732,-2.05833,-0.68967,0.94567,0.47391,0.21591,-0.50938,-0.75691,-0.28174,-34.6991,28.1503,-51.9362,-23.1399,29.2881,2.24464,1.83722,0.397431,2.18635,1.62423,0.275681,1.44593,1.70148,0.523431,0.850982,1.93429,0.430589,1.67842,0.430589,between -0.023711622 and -0.00016276260500000002,
-0.99164,-0.75117,-0.84751,-0.62464,-1.94149,0.87094,0.63014,1.48435,-1.33541,-1.06149,-0.92533,-2.04433,41.4199,54.4191,39.8992,14.9893,35.6101,1.01153,0.936815,2.34993,1.63415,1.95634,2.01141,2.44595,0.943821,0.619921,1.65435,1.42965,2.18439,0.688531,0.54949,between -0.00016276260500000002 and 0.02356751225,
-1.78223,0.43078,0.5734,1.45149,-0.93498,-0.64151,-0.26339,-0.73767,2.20116,1.45016,-0.73482,1.04395,-45.4996,-8.4997,-52.7996,58.7986,-56.3996,0.96773,0.96438,1.34981,0.68919,1.62841,0.96438,2.18511,1.35081,0.96438,1.34981,0.96438,1.35081,0.68919,1.62841,less than -0.023711622,
-0.75564,-1.63011,0.27014,0.65491,-0.98414,1.03233,1.47349,0.21619,0.21679,0.21679,-0.21679,-1.47349,51.9199,-50.3097,-27.6097,49.8907,-50.3097,0.65491,1.47349,0.21679,0.21679,0.21679,0.65491,0.21679,0.21679,0.65491,1.47349,0.21679,0.65491,0.21679,0.65491,greater than 0.02356751225,
0.93541,-0.93541,-0.84751,-0.62464,-1.94149,0.87094,0.63014,1.48435,-1.33541,-1.06149,-0.92533,-2.04433,20.4199,59.4191,48.8992,-22.9893,42.6101,0.01153,0.936815,2.34993,1.63415,1.95634,2.01141,2.44595,0.943821,0.619921,1.65435,1.42965,2.18439,0.688531,2.54949,between -0.023711622 and -0.00016276260500000002,
0.84751,0.93541,0.5734,1.45149,-0.93498,-0.64151,-0.26339,-0.73767,2.20116,1.45016,-0.73482,1.04395,-56.4996,-19.4997,-51.7996,60.7986,-55.3996,0.46773,0.96438,1.34981,0.68919,1.62841,0.96438,2.18511,1.35081,0.96438,1.34981,0.96438,1.35081,0.68919,0.62841,between -0.00016276260500000002 and 0.02356751225,
-0.5734,-0.84751,-0.93541,-0.31732,-2.05833,-0.68967,0.94567,0.47391,0.21591,-0.50938,-0.75691,-0.28174,-25.8009,-26.6491,-47.8194,-27.4894,-44.4627,2.24464,1.83722,0.397431,2.18635,1.62423,0.275681,1.44593,1.70148,0.523431,0.850982,1.93429,0.430589,1.67842,1.54993,less than -0.023711622,
0.31732,-0.5734,-0.93541,-1.70464,-0.65498,-0.68967,0.94567,-0.50938,-0.75691,-0.28174,-0.47391,0.21591,-43.6991,-24.1503,-52.9362,25.1399,30.2881,0.941113,1.54993,2.06365,1.45764,0.627982,2.03543,1.46885,0.350654,2.19444,0.596021,1.68971,2.07159,1.42615,0.54993,greater than 0.02356751225,
-1.70464,0.31732,-0.84751,-0.62464,-1.94149,0.87094,0.63014,1.48435,-1.33541,-1.06149,-0.92533,-2.04433,49.4199,56.4191,47.8992,-18.9893,41.6101,2.01153,0.936815,2.34993,1.63415,1.95634,2.01141,2.44595,0.943821,0.619921,1.65435,1.42965,2.18439,0.688531,0.54949,between -0.023711622 and -0.00016276260500000002,
-0.62464,-1.70464,0.5734,1.45149,-0.93498,-0.64151,-0.26339,-0.73767,2.20116,1.45016,-0.73482,1.04395,-27.4996,-10.4997,-50.7996,58.7986,-54.3996,0.96773,0.96438,1.34981,0.68919,1.62841,0.96438,2.18511,1.35081,0.96438,1.34981,0.96438,1.35081,0.68919,0.62841,between -0.00016276260500000002 and 0.02356751225,
-1.94149,-0.62464,0.93541,0.65491,-0.98414,1.03233,1.47349,0.21619,0.21679,0.21679,-0.21679,-1.47349,29.9199,-51.3097,-30.6097,48.8907,-51.3097,2.24464,1.83722,0.397431,2.18635,1.62423,0.275681,1.44593,1.70148,0.523431,0.850982,1.93429,0.430589,1.67842,0.54993,less than -0.023711622,
0.87094,-1.94149,-0.84751,-0.31732,-2.05833,-0.68967,0.94567,0.47391,0.21591,-0.50938,-0.75691,-0.28174,33.8009,-22.6491,-45.8194,28.4894,-42.4627,1.54993,0.941113,2.06365,1.45764,0.627982,2.03543,1.46885,0.350654,2.19444,0.596021,1.68971,2.07159,1.42615,0.54993,greater than 0.02356751225,
0.63014,0.87094,-0.93541,-1.70464,-0.65498,-0.68967,0.94567,-0.50938,-0.75691,-0.28174,-0.47391,0.21591,23.1991,-31.1503,-53.9362,22.1399,32.2881,0.941113,1.54993,2.06365,1.45764,0.627982,2.03543,1.46885,0.350654,2.19444,0.596021,1.68971,2.07159,1.42615,1.54993,between -0.023711622 and -0.00016276260500000002,
1.48435,-0.63014,0.93541,0.65491,-0.98414,1.03233,1.47349,0.21619,0.21679,0.21679,-0.21679,-1.47349,39.9199,-46.3097,-36.6097,46.8907,-47.3097,0.65491,1.47349,0.21679,0.21679,0.21679,0.65491,0.21679,0.21679,0.65491,1.47349,0.21679,0.65491,0.21679,0.65491,less than -0.023711622,
