fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.42,0.53,0.26,2.13,0.077,18.0,44.0,0.9971,3.28,0.59,10.3,between 5.0 and 6.0
8.91,0.39,0.49,1.95,0.09,22.0,51.0,0.9969,3.22,0.64,9.7,greater than 6.0
9.59,0.67,0.11,2.51,0.078,14.0,36.0,0.9982,3.39,0.69,10.2,between 5.0 and 6.0
6.85,0.46,0.33,1.61,0.065,19.0,49.0,0.9959,3.35,0.57,9.6,between 5.0 and 6.0
7.19,0.51,0.42,2.92,0.085,9.0,20.0,0.9964,3.29,0.56,10.8,greater than 6.0
11.4,0.29,0.56,2.17,0.073,17.0,39.0,0.9985,3.18,0.73,11.1,greater than 6.0
8.17,0.62,0.08,1.88,0.079,24.0,62.0,0.9978,3.31,0.55,9.9,between 5.0 and 6.0
10.2,0.49,0.22,2.49,0.081,7.0,16.0,0.9961,3.27,0.62,10.9,greater than 6.0
6.53,0.65,0.19,2.01,0.061,13.0,29.0,0.9967,3.41,0.6,9.3,between 5.0 and 6.0
9.92,0.34,0.51,2.37,0.094,20.0,46.0,0.9981,3.24,0.71,11.4,greater than 6.0
7.88,0.58,0.14,1.79,0.087,11.0,25.0,0.9973,3.36,0.59,9.7,between 5.0 and 6.0
10.8,0.41,0.63,2.85,0.076,18.0,43.0,0.9992,3.16,0.83,10.4,greater than 6.0
8.46,0.69,0.25,2.26,0.082,15.0,35.0,0.9968,3.3,0.58,10.3,between 5.0 and 6.0
9.15,0.38,0.46,1.93,0.078,23.0,52.0,0.9975,3.26,0.64,10.7,greater than 6.0
7.21,0.52,0.29,2.55,0.091,10.0,23.0,0.9962,3.38,0.61,9.8,between 5.0 and 6.0
6.98,0.44,0.17,2.35,0.074,16.0,38.0,0.9979,3.34,0.58,9.5,between 5.0 and 6.0
11.9,0.27,0.59,2.09,0.063,12.0,28.0,0.9988,3.19,0.69,11.6,greater than 6.0
8.77,0.63,0.22,1.87,0.084,21.0,48.0,0.9974,3.32,0.62,10.6,between 5.0 and 6.0
7.39,0.48,0.41,2.67,0.081,8.0,19.0,0.9965,3.29,0.56,10.2,greater than 6.0
10.5,0.44,0.54,2.45,0.079,14.0,33.0,0.9991,3.17,0.82,11.3,greater than 6.0
9.78,0.36,0.48,1.99,0.093,18.0,42.0,0.9979,3.25,0.72,10.9,greater than 6.0
7.67,0.61,0.13,2.19,0.08,11.0,25.0,0.9969,3.37,0.59,9.9,between 5.0 and 6.0
8.25,0.55,0.25,2.05,0.086,16.0,37.0,0.9972,3.3,0.58,10.4,between 5.0 and 6.0
9.49,0.4,0.56,2.33,0.078,20.0,45.0,0.9983,3.23,0.73,11.2,greater than 6.0
7.14,0.59,0.18,1.81,0.085,9.0,21.0,0.9968,3.39,0.62,9.6,between 5.0 and 6.0
11.1,0.29,0.62,2.15,0.067,15.0,34.0,0.999,3.18,0.77,11.7,greater than 6.0
8.59,0.66,0.21,2.29,0.083,17.0,40.0,0.9975,3.32,0.61,10.5,between 5.0 and 6.0
7.49,0.5,0.38,2.61,0.089,12.0,27.0,0.9963,3.29,0.59,10.1,greater than 6.0
10.9,0.42,0.55,2.53,0.08,19.0,44.0,0.9993,3.16,0.85,11.5,greater than 6.0
9.66,0.35,0.51,1.95,0.092,22.0,50.0,0.9982,3.24,0.74,10.8,greater than 6.0
7.81,0.58,0.15,2.23,0.079,10.0,24.0,0.9971,3.36,0.59,10.3,between 5.0 and 6.0
8.18,0.54,0.25,2.01,0.086,15.0,34.0,0.9973,3.31,0.58,10.5,between 5.0 and 6.0
9.41,0.39,0.59,2.39,0.078,18.0,41.0,0.9984,3.22,0.76,11.1,greater than 6.0
7.26,0.6,0.22,1.89,0.083,12.0,27.0,0.9969,3.39,0.61,9.8,between 5.0 and 6.0
11.6,0.27,0.65,2.19,0.066,16.0,36.0,0.9991,3.18,0.77,11.8,greater than 6.0
8.49,0.66,0.19,2.33,0.082,19.0,43.0,0.9976,3.33,0.6,10.6,between 5.0 and 6.0
7.55,0.49,0.42,2.67,0.091,9.0,22.0,0.9962,3.29,0.59,10.3,greater than 6.0
10.8,0.43,0.56,2.59,0.082,14.0,32.0,0.9992,3.17,0.84,11.4,greater than 6.0
9.59,0.37,0.53,1.99,0.094,21.0,48.0,0.9983,3.24,0.75,10.9,greater than 6.0
7.85,0.59,0.14,2.27,0.081,11.0,26.0,0.9972,3.37,0.61,10.4,between 5.0 and 6.0
8.15,0.55,0.26,2.07,0.088,16.0,38.0,0.9974,3.32,0.58,10.6,between 5.0 and 6.0
9.51,0.41,0.6,2.43,0.082,20.0,45.0,0.9985,3.23,0.78,11.3,greater than 6.0
7.17,0.63,0.19,1.85,0.086,10.0,24.0,0.9968,3.4,0.62,9.9,between 5.0 and 6.0
11.3,0.29,0.66,2.23,0.07,17.0,39.0,0.999,3.19,0.79,11.7,greater than 6.0
8.63,0.67,0.22,2.37,0.085,18.0,42.0,0.9977,3.34,0.61,10.7,between 5.0 and 6.0
7.59,0.52,0.41,2.71,0.093,12.0,28.0,0.9964,3.3,0.6,10.3,greater than 6.0
10.9,0.44,0.59,2.63,0.084,19.0,44.0,0.9993,3.17,0.87,11.5,greater than 6.0
9.72,0.39,0.56,2.01,0.095,22.0,50.0,0.9985,3.25,0.77,10.9,greater than 6.0
7.93,0.61,0.16,2.31,0.083,11.0,27.0,0.9973,3.38,0.62,10.6,between 5.0 and 6.0
8.09,0.56,0.27,2.11,0.091,16.0,38.0,0.9975,3.33,0.59,10.7,between 5.0 and 6.0
9.56,0.43,0.64,2.55,0.088,20.0,46.0,0.9986,3.22,0.82,11.4,greater than 6.0
7.24,0.65,0.21,1.93,0.089,10.0,25.0,0.9969,3.41,0.63,10.1,between 5.0 and 6.0
11.8,0.28,0.7,2.28,0.071,18.0,41.0,0.9992,3.19,0.8,11.8,greater than 6.0
8.69,0.69,0.24,2.45,0.087,19.0,44.0,0.9979,3.35,0.62,10.8,between 5.0 and 6.0
7.52,0.54,0.45,2.79,0.096,12.0,30.0,0.9965,3.31,0.61,10.5,greater than 6.0
10.7,0.45,0.61,2.69,0.086,20.0,46.0,0.9991,3.18,0.88,11.6,greater than 6.0
9.81,0.4,0.59,2.05,0.098,22.0,50.0,0.9986,3.26,0.79,11.0,greater than 6.0
7.9,0.51,0.23,2.2,0.082,18.0,55.0,0.9969,3.27,0.59,10.3,between 5.0 and 6.0
9.1,0.49,0.29,1.9,0.078,22.0,46.0,0.9972,3.32,0.63,9.8,greater than 6.0
8.5,0.62,0.17,2.5,0.09,15.0,30.0,0.9958,3.22,0.58,10.9,between 5.0 and 6.0
7.2,0.46,0.35,2.1,0.077,25.0,62.0,0.9965,3.4,0.69,9.7,greater than 6.0
10.3,0.38,0.48,2.8,0.094,12.0,28.0,0.9981,3.18,0.76,11.2,greater than 6.0
8.9,0.55,0.22,1.7,0.085,20.0,50.0,0.9975,3.29,0.61,10.1,between 5.0 and 6.0
9.7,0.42,0.39,2.6,0.081,16.0,38.0,0.9963,3.25,0.79,10.6,greater than 6.0
