V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0.135257,-0.317331,-0.024293,1.486583,0.459111,-0.058911,0.245769,-0.684156,0.359671,-0.414621,-1.110199,-0.361491,-0.193556,1.234124,-3.956317,-3.421195,-6.899141,-12.859156,-2.813611,-0.761729,9.140492,between 12.865976 and 25.825956
-0.206821,-0.449911,0.083411,1.756349,0.630952,-0.162299,0.181911,-0.123195,0.156217,-0.179634,1.451541,-0.236111,0.349981,0.485492,-17.448213,6.111377,-3.475142,22.688491,-3.611158,2.126685,-8.349567,greater than 25.825956
-0.485382,-0.209531,-0.138463,1.326159,0.240135,-0.098729,-0.031399,-0.971354,0.492821,-0.281411,0.688469,-0.421895,-0.242419,1.119685,-8.110219,-5.364162,-2.699339,-10.345531,-8.197721,-4.261398,-1.436661,between 1.087409 and 12.865976
0.300934,-0.428571,-0.012942,1.052961,0.196119,0.088145,0.259456,-1.460811,-0.241162,-0.445253,-0.934926,-0.150401,-0.062171,0.945857,-6.444401,2.859631,2.824479,11.194446,-6.783061,2.594321,-19.250961,between 1.087409 and 12.865976
0.176131,-0.380246,0.100304,1.823899,0.533221,-0.115365,0.324988,2.213265,-0.450803,0.670911,1.627289,-1.061449,0.521941,0.741751,-16.429354,-2.936866,-1.416736,-7.151399,-0.962187,0.649139,-7.487339,less than 1.087409
0.080739,-0.375,-0.122151,1.430289,0.260981,0.128438,0.200656,0.688194,0.071463,-0.350559,-2.199353,-0.456411,-0.245961,1.047758,-12.902187,-0.737455,-2.941299,28.761907,-1.394256,-1.324159,-22.480581,greater than 25.825956
-0.032421,-0.253111,0.095661,1.651986,0.638985,-0.213551,-0.106179,0.659411,-0.265671,-0.105459,0.827491,0.034109,0.394199,-0.959942,3.936491,-0.934449,6.382701,-16.621171,-9.151899,-2.763209,-15.295865,between 12.865976 and 25.825956
0.478165,-0.444691,-0.144348,1.294318,0.282449,0.066107,0.342461,-0.375759,0.451931,-0.444157,2.013399,-0.517341,-0.364893,0.938491,-3.366246,-1.911569,-8.419107,-18.116123,-4.367297,-0.995221,-4.982395,between 12.865976 and 25.825956
0.355302,-0.384158,0.136289,1.029355,0.387587,-0.005911,0.101411,-1.883425,-0.046543,-0.210189,0.555871,-0.374249,-0.079941,0.776818,7.530589,-6.217993,-10.255941,1.697751,-4.335989,-0.686565,7.961861,between 12.865976 and 25.825956
-0.446213,-0.364759,-0.201408,1.686651,0.436829,0.032758,0.196911,-0.531411,-0.193736,-0.484439,-0.989191,-0.399511,0.062499,-1.505155,-8.845762,-2.965341,4.934419,12.876661,-0.827857,-4.445111,-0.802159,greater than 25.825956
0.100307,-0.310656,-0.150349,1.445411,0.197455,0.062481,0.299689,-0.596666,0.584671,-0.482241,0.887509,-0.399511,0.232131,0.767812,-9.446298,-4.979159,-11.142737,3.451131,-8.736253,2.250459,-14.795309,between 1.087409 and 12.865976
0.444903,-0.460158,0.163115,1.716601,0.576771,-0.104621,0.151161,-0.734982,0.196979,-0.432836,-1.420699,-0.517341,-0.153061,0.795817,-4.961439,-2.444961,-6.925399,2.455479,-6.300153,1.447139,-5.344427,less than 1.087409
0.149159,-0.328689,-0.153505,1.633355,0.610029,-0.109464,0.326542,-1.441395,-0.177695,-0.361971,-1.449941,-0.573395,-0.266107,0.819865,-8.584209,-4.442939,-10.840401,-0.934855,-3.394609,-1.761951,-14.795309,between 12.865976 and 25.825956
0.477501,-0.382767,0.083333,1.335483,0.288431,-0.125227,0.294815,-0.429202,0.385632,-0.495631,-0.827399,-0.373939,-0.107734,0.908911,-13.641395,-5.734901,-3.993671,-7.349101,-4.758821,1.144668,-11.466055,between 1.087409 and 12.865976
0.272987,-0.486205,0.151241,1.510946,0.621971,-0.155761,0.177832,-0.870587,-0.203661,-0.410628,-0.704941,-0.486549,-0.333231,0.863279,-8.390961,-2.419911,3.584031,5.880819,-8.485119,-3.255849,-13.017111,greater than 25.825956
-0.449299,-0.444229,-0.101302,1.422493,0.527536,-0.168269,0.102634,-0.341935,0.272821,-0.399411,-0.946569,-0.534461,0.043509,-1.162531,-4.446701,6.411317,-8.505799,-17.449621,-7.414061,-2.021449,-18.701153,greater than 25.825956
0.042997,-0.416667,-0.177248,1.555606,0.296339,-0.116279,0.239963,-0.981699,-0.052963,-0.540989,0.933907,-0.507317,-0.302783,0.654982,-14.384409,-5.729426,-4.440781,23.370508,-1.936846,-3.965317,-6.369148,between 1.087409 and 12.865976
-0.118419,-0.333982,-0.125305,1.492132,0.627246,-0.102966,0.283037,-1.058364,-0.314139,-0.474949,-0.934926,-0.521961,-0.247781,0.977319,-3.993762,-4.440399,-2.925158,19.684409,-3.944849,-2.596191,-19.759963,greater than 25.825956
-0.336759,-0.480743,-0.138982,1.551551,0.394671,-0.183882,0.310429,0.682826,0.451505,-0.491219,0.961971,-0.627411,-0.372619,0.737736,-0.439911,-1.823027,-4.845981,-1.630411,-4.950997,-1.955699,-15.300819,between 1.087409 and 12.865976
0.129601,-0.443037,-0.141441,1.394565,0.596335,-0.185011,0.248523,-0.829688,-0.116499,-0.543511,-1.323418,-0.621101,-0.206395,0.654982,-17.240964,-4.964401,-10.240259,-2.735815,-5.962231,-1.743955,-14.143594,between 1.087409 and 12.865976
0.183941,-0.414082,-0.150963,1.669631,0.555699,-0.195235,0.352987,-0.987731,0.157151,-0.532179,-1.106911,-0.536791,-0.227355,0.760624,-4.990129,-3.134531,-7.011855,-12.061189,-2.688431,-2.976304,-6.981509,greater than 25.825956
0.375651,-0.428571,-0.188385,1.508444,0.622304,-0.158911,0.304011,-1.134299,-0.192515,-0.411934,-0.787281,-0.568098,-0.323077,0.778275,-12.430141,-5.734901,-2.966737,10.162578,-6.216281,-2.845489,-18.381181,between 12.865976 and 25.825956
0.464011,-0.348449,-0.184821,1.551172,0.574164,-0.144079,0.335205,-0.895989,0.196979,-0.390399,-1.475122,-0.464941,-0.278961,0.812418,-16.601158,-4.200259,-5.509399,7.240819,-3.739609,-1.991511,-14.153781,between 1.087409 and 12.865976
0.343181,-0.335205,-0.142488,1.444569,0.564731,-0.130411,0.194461,-0.853439,-0.247491,-0.464157,0.924389,-0.420801,-0.197055,0.774895,-10.430141,-6.355556,-4.470781,11.409651,-2.945997,-3.444159,-20.335937,greater than 25.825956
0.202101,-0.294703,-0.183505,1.620249,0.632769,-0.186689,0.269035,-1.040194,-0.223661,-0.448739,-1.220461,-0.441157,-0.278061,0.802324,-0.964401,-4.533654,-1.816737,-0.901049,-3.965517,-0.739158,-0.988549,less than 1.087409
0.199511,-0.273678,-0.173401,1.529011,0.501587,-0.151011,0.205987,-0.666813,-0.245129,-0.436821,-1.046569,-0.463379,-0.250847,0.750619,-5.017941,-1.955556,3.670158,14.204651,-8.335813,-3.346605,-15.350261,between 1.087409 and 12.865976
