class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,S,X,1,3,1,1,1,1,1,greater than 0.0
B,X,O,1,2,1,2,2,1,1,greater than 0.0
D,S,O,1,2,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,1,2,1,1,greater than 0.0
E,A,C,2,2,1,2,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
D,A,O,1,2,1,2,2,1,1,greater than 0.0
H,A,X,1,3,1,1,1,1,1,greater than 0.0
H,S,X,2,2,1,1,1,1,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
D,A,I,1,2,1,2,2,1,1,greater than 0.0
D,K,I,2,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
B,X,O,1,1,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,2,1,1,2,1,1,greater than 0.0
H,R,X,1,1,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
E,A,I,1,3,1,2,2,1,1,greater than 0.0
B,X,I,1,3,1,1,2,1,1,greater than 0.0
C,R,I,1,2,1,2,2,1,1,greater than 0.0
H,S,X,1,3,1,1,1,1,1,greater than 0.0
B,X,O,1,2,1,2,2,1,1,greater than 0.0
D,S,O,1,2,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,1,2,1,1,greater than 0.0
E,A,C,2,2,1,2,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
