pop,education,houses,income,xcoord,ycoord,ln_votes_pop,10.1947,9.4774,9.2573,12.3245,-84040193,43289121,greater than -0.441693965696886
8.419029,7.964871,7.44531,10.59085,-94610264,43127997.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
11.41961,10.66707,10.21775,13.55516,-81973436,32891932.0,less than -0.6999407366495485,,,,,,,
9.693298,8.776191,8.697549,11.83961,-101154440,36987953.0,greater than -0.441693965696886,,,,,,,
7.778421,7.227729,6.799475,9.906119,-110971722,44281945.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.93492,10.30401,9.832355,12.98431,-79085321,41447934.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.035411,8.349811,7.939903,11.04659,-96794695,34265514.0,less than -0.6999407366495485,,,,,,,
8.554911,7.811162,7.697865,10.75649,-83345559,30216914.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
11.63445,11.04446,10.43025,13.78445,-70443911,48772521.0,greater than -0.441693965696886,,,,,,,
10.23902,9.50063,9.235985,12.43272,-85895068,36016345.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.486769,8.625928,8.580213,11.64491,-99942272,38497986.0,less than -0.6999407366495485,,,,,,,
7.684695,7.046497,6.684021,9.636101,-112371573,46571041.0,greater than -0.441693965696886,,,,,,,
11.96264,11.28318,10.73459,14.13084,-72547488,26641412.0,less than -0.6999407366495485,,,,,,,
10.46764,9.78729,9.446743,12.58358,-94635522,36365583.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.201158,8.374418,8.144418,11.19097,-98094255,32906153.0,less than -0.6999407366495485,,,,,,,
8.095401,7.375378,6.987654,10.0889,-104821621,31219492.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.82246,10.18798,9.809375,13.01234,-76315645,43265432.0,greater than -0.441693965696886,,,,,,,
11.38432,10.69462,10.27363,13.53147,-84659063,30668312.0,less than -0.6999407366495485,,,,,,,
