school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,GP,F,16,U,GT3,T,3,2,services,other,course,mother,2.1,2.2,0,no,yes,no.1,yes.1,yes.2,yes.3,yes.4,no.2,4,2.3,2.4,1,1.1,2.5,0.1,between 12.0 and 14.0
GP,F,17.0,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,4,2.0,2.0,1.0,1.0,3.0,4.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,18.0,R,LE3,T,1.0,1.0,at_home,other,home,mother,2.0,1.0,0.0,no,yes,no,yes,yes,no,yes,5,3.0,3.0,2.0,3.0,5.0,2.0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,4.0,3.0,health,services,course,mother,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,4.0,1.0,2.0,5.0,0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,LE3,T,1.0,1.0,services,other,course,mother,1.0,2.0,2.0,no,no,no,yes,yes,yes,yes,4,4.0,4.0,1.0,3.0,5.0,0.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,19.0,R,GT3,T,1.0,1.0,other,services,home,other,3.0,2.0,1.0,no,no,no,no,yes,yes,yes,no,5.0,4.0,4.0,3.0,3.0,2.0,8,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,R,GT3,T,2.0,2.0,other,other,other,mother,2.0,3.0,0.0,no,no,no,no,yes,yes,no,no,5.0,3.0,3.0,1.0,3.0,4.0,0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,yes,4.0,2.0,2.0,1.0,1.0,3.0,4,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,R,GT3,T,2.0,2.0,at_home,other,course,mother,3.0,1.0,0.0,no,no,no,yes,yes,no,no,4,2.0,2.0,1.0,2.0,3.0,4.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,16.0,R,GT3,T,1.0,2.0,other,other,home,father,1.0,3.0,0.0,yes,yes,no,no,yes,yes,yes,yes,4.0,3.0,4.0,1.0,1.0,3.0,5,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,21.0,R,LE3,T,1.0,1.0,at_home,other,course,other,2.0,2.0,2.0,no,yes,no,yes,yes,no,yes,yes,5.0,3.0,3.0,5.0,2.0,4.0,21,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,LE3,T,4.0,4.0,services,other,reputation,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,5.0,2.0,1.0,1.0,2.0,3.0,6,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,17.0,R,GT3,T,1.0,1.0,at_home,other,course,mother,1.0,1.0,1.0,no,yes,no,yes,yes,yes,yes,5,3.0,5.0,5.0,5.0,1.0,12.0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,18.0,R,GT3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,1.0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,9,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
