school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,F,16,U,GT3,T,3,2,other,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,4,0,between 10.0 and 12.0
GP,M,18,U,GT3,T,2,2,at_home,at_home,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,3,10,between 10.0 and 12.0
MS,F,18,R,GT3,T,2,1,at_home,other,course,other,2,2,1,no,yes,no,yes,yes,yes,yes,yes,3,4,3,1,1,4,2,between 10.0 and 12.0
GP,F,17,U,LE3,T,2,1,services,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,3,5,4,greater than 14.0
GP,M,18,U,GT3,T,2,4,other,other,home,other,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,5,1,4,5,0,between 10.0 and 12.0
MS,M,17,R,GT3,T,1,1,other,other,home,mother,1,2,0,no,yes,no,yes,yes,no,yes,no,4,1,3,2,4,4,8,between 10.0 and 12.0
GP,F,15,U,GT3,T,4,4,at_home,other,course,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,5,0,between 12.0 and 14.0
GP,M,19,U,GT3,T,3,2,services,services,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,4,5,1,3,4,6,between 10.0 and 12.0
GP,M,17,U,LE3,T,3,3,other,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,2,5,0,between 12.0 and 14.0
GP,F,17,U,GT3,A,2,4,services,at_home,course,father,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,2,4,1,4,3,2,between 10.0 and 12.0
MS,F,18,U,GT3,T,3,3,at_home,other,course,other,2,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,5,4,between 10.0 and 12.0
GP,M,16,U,GT3,T,3,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,5,2,5,3,14,between 10.0 and 12.0
GP,M,15,U,GT3,T,1,2,health,other,home,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,1,1,2,1,1,0,between 12.0 and 14.0
GP,F,16,U,LE3,T,1,2,at_home,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,1,1,4,5,10,between 12.0 and 14.0
GP,F,18,U,GT3,T,2,4,services,services,course,father,2,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,4,2,5,3,8,between 10.0 and 12.0
MS,M,19,R,GT3,T,3,3,teacher,other,course,mother,2,1,1,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,2,5,4,10,greater than 14.0
GP,M,16,U,GT3,T,3,3,at_home,at_home,course,father,2,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,4,1,1,4,4,2,less than 10.0
GP,F,17,U,GT3,T,2,1,other,other,course,mother,2,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,1,5,3,0,between 12.0 and 14.0
GP,M,18,U,GT3,T,3,4,services,services,course,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,yes,3,2,4,1,1,3,10,between 12.0 and 14.0
GP,F,16,U,LE3,T,4,3,other,at_home,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,4,3,1,3,5,6,greater than 14.0
GP,F,16,U,GT3,T,2,2,services,other,course,father,2,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,3,1,3,3,2,between 10.0 and 12.0
MS,M,16,R,GT3,T,3,3,at_home,other,course,mother,2,2,0,yes,yes,yes,yes,yes,yes,yes,yes,3,3,1,1,2,5,6,between 12.0 and 14.0
GP,F,16,U,GT3,T,1,2,at_home,at_home,course,other,2,2,0,yes,yes,yes,yes,yes,yes,yes,yes,3,5,1,2,2,3,16,between 10.0 and 12.0
GP,F,19,U,LE3,T,3,1,other,other,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,2,1,3,1,3,3,0,greater than 14.0
GP,M,18,U,LE3,T,4,4,services,services,course,mother,2,1,0,yes,yes,yes,yes,yes,yes,yes,yes,5,3,3,1,2,3,10,between 10.0 and 12.0
MS,M,17,R,GT3,T,1,3,at_home,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,4,1,1,4,3,2,between 10.0 and 12.0
GP,M,19,U,GT3,T,1,2,at_home,other,course,other,2,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,5,1,4,3,2,between 12.0 and 14.0
GP,M,17,U,GT3,T,2,4,teacher,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,3,5,5,2,3,5,6,between 10.0 and 12.0
GP,M,17,U,LE3,T,2,4,services,services,course,mother,2,1,0,yes,yes,yes,yes,yes,yes,yes,yes,2,3,5,1,3,4,4,greater than 14.0
GP,M,16,U,LE3,T,4,4,other,other,course,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,yes,5,5,3,2,3,4,0,between 12.0 and 14.0
GP,F,16,U,GT3,T,3,4,at_home,at_home,course,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,yes,3,3,5,1,3,5,10,greater than 14.0
