number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
4,84.123123,63.124123,61.456521,40.234123,1.213123,1.023143,140.234,35.123123,60.456123,55.123123,789.234,931.234,749.124,859.234,1.456123,0.943123,650.123,500.123,240.123,220.123,145.123,130.123,135.123,125.123,1.234123,1.012311,160.123,35.123,50.123,45.123,5800.123,5200.123,4800.123,4200.123,1.20123,0.932123,9400.123,3200.123,3800.123,3400.123,90.123,110.123,60.123,70.123,1.234123,0.89123,140.123,30.123,50.123,40.123,10.123,5.123,6.123,1.123,1.09123,12.123,2.123,4.123,3.123,70.123,60.123,20.123,15.123,1.123,0.8123,130.123,30.123,40.123,30.123,2.123,2.456123,2.123,2.123,1.123,1.123,3,1.123,0.7123,0.40123,between 5.365 and 20.0,
3,91.234123,69.123123,65.123123,45.123123,1.234123,1.112123,160.123,40.123123,65.123123,60.123123,820.123,940.123,760.123,860.123,1.456123,0.932123,720.123,580.123,260.123,240.123,155.123,140.123,150.123,135.123,1.234123,1.09123,165.123,40.123,55.123,50.123,6000.123,5200.123,5000.123,4500.123,1.20123,0.95123,10000.123,3400.123,4000.123,3600.123,100.123,120.123,70.123,80.123,1.28123,0.89123,150.123,35.123,55.123,45.123,12.123,6.123,7.123,1.123,1.09123,15.123,3.123,5.123,4.123,80.123,70.123,25.123,20.123,1.123,0.82123,140.123,35.123,45.123,35.123,2.123,2.123,2.123,2.123,1.123,1.123,4,1.123,0.8,0.5123,between 5.365 and 20.0,
5,78.123123,58.123123,62.123123,38.123123,1.412123,1.082123,180.123,30.123123,55.123123,50.123123,780.123,920.123,740.123,880.123,1.512123,0.95123,780.123,680.123,280.123,300.123,160.123,150.123,140.123,130.123,1.28123,1.012123,170.123,45.123,60.123,55.123,5500.123,5000.123,4500.123,4000.123,1.20123,0.932123,11000.123,2800.123,3200.123,3000.123,110.123,130.123,80.123,90.123,1.234123,0.932123,160.123,50.123,65.123,60.123,15.123,10.123,8.123,1.123,1.123,20.123,4.123,6.123,5.123,90.123,80.123,30.123,25.123,1.123,0.88123,120.123,40.123,50.123,45.123,2.123,2.123,2.123,2.123,1.123,1.123,3,1.123,0.9,0.5123,greater than 63.0,
4,95.123123,85.123123,75.123123,60.123123,1.512123,1.20123,200.123,50.123123,70.123123,65.123123,850.123,950.123,820.123,920.123,1.612123,0.95123,820.123,700.123,300.123,320.123,170.123,160.123,150.123,140.123,1.312123,1.012123,180.123,55.123,65.123,60.123,6500.123,5500.123,5000.123,4500.123,1.25123,0.932123,12000.123,3800.123,3600.123,3400.123,120.123,140.123,100.123,110.123,1.234123,0.89123,170.123,55.123,70.123,65.123,20.123,15.123,10.123,1.123,1.09123,25.123,5.123,7.123,6.123,100.123,90.123,35.123,30.123,1.123,0.88123,130.123,45.123,55.123,50.123,2.123,2.123,2.123,2.123,1.123,1.123,2,1.123,0.8,0.5123,between 5.365 and 20.0,
5,88.123123,65.123123,68.123123,45.123123,1.28123,1.082123,190.123,35.123123,60.123123,55.123123,820.123,1000.123,780.123,940.123,1.512123,0.95123,840.123,720.123,290.123,310.123,165.123,155.123,155.123,145.123,1.234123,0.982123,175.123,50.123,65.123,60.123,7000.123,6000.123,5500.123,5000.123,1.20123,0.902123,10000.123,3200.123,3600.123,3400.123,130.123,150.123,110.123,120.123,1.235123,0.832123,165.123,55.123,70.123,65.123,10.123,5.123,6.123,1.123,1.09123,12.123,3.123,5.123,4.123,80.123,70.123,25.123,20.123,1.123,0.82123,140.123,40.123,50.123,45.123,2.123,2.123,2.123,2.123,1.123,1.123,1,1.123,0.7,0.4323,between 5.365 and 20.0,
4,99.123123,90.123123,80.123123,65.123123,1.612123,1.20123,210.123,55.123123,75.123123,70.123123,870.123,990.123,860.123,980.123,1.613123,0.95123,880.123,780.123,310.123,330.123,175.123,170.123,165.123,160.123,1.284123,0.982123,185.123,60.123,70.123,65.123,7500.123,6500.123,6000.123,5500.123,1.23123,0.90123,12000.123,3800.123,3800.123,3600.123,140.123,160.123,120.123,130.123,1.234123,0.82123,180.123,60.123,75.123,70.123,10.123,10.123,8.123,1.123,1.09123,20.123,6.123,7.123,5.123,90.123,80.123,30.123,25.123,1.123,0.79123,140.123,50.123,60.123,55.123,2.123,2.123,2.123,2.123,1.123,1.123,3,1.123,0.7,0.4323,greater than 63.0,
3,93.123123,82.123123,75.123123,55.123123,1.393123,1.083123,200.123,45.123123,65.123123,60.123123,830.123,920.123,790.123,910.123,1.514123,0.953123,820.123,740.123,280.123,300.123,170.123,165.123,160.123,155.123,1.263123,0.953123,175.123,55.123,70.123,65.123,7200.123,6300.123,5800.123,5300.123,1.20123,0.892123,11000.123,3400.123,3400.123,3300.123,150.123,170.123,130.123,140.123,1.235123,0.862123,180.123,60.123,75.123,70.123,15.123,10.123,9.123,1.123,1.083123,25.123,5.123,6.123,5.123,85.123,75.123,30.123,25.123,1.123,0.79123,130.123,45.123,55.123,50.123,2.123,2.123,2.123,2.123,1.123,1.123,2,1.123,0.8,0.4323,between 5.365 and 20.0,
5,97.123123,85.123123,79.123123,60.123123,1.593123,1.123,210.123,50.123123,75.123123,70.123123,920.123,1020.123,870.123,990.123,1.634123,0.963123,920.123,840.123,320.123,340.123,180.123,175.123,170.123,165.123,1.294123,0.952123,190.123,65.123,80.123,75.123,8200.123,7200.123,6600.123,6000.123,1.24123,0.90123,12000.123,4000.123,4000.123,3800.123,160.123,180.123,140.123,150.123,1.263123,0.83123,190.123,65.123,85.123,80.123,15.123,15.123,11.123,1.123,1.102123,30.123,7.123,8.123,6.123,95.123,85.123,35.123,30.123,1.123,0.78123,150.123,55.123,65.123,60.123,2.123,2.123,2.123,2.123,1.123,1.123,1,1.123,0.8,0.4323,between 20.0 and 63.0,
4,83.123123,62.123123,66.123123,50.123123,1.263123,1.012123,190.123,40.123123,60.123123,55.123123,750.123,910.123,720.123,870.123,1.512123,0.912123,790.123,730.123,290.123,310.123,165.123,160.123,155.123,150.123,1.234123,0.89123,170.123,55.123,70.123,65.123,6800.123,6100.123,5800.123,5400.123,1.16123,0.85123,11000.123,3000.123,3400.123,3300.123,140.123,160.123,120.123,130.123,1.244123,0.82123,170.123,56.123,75.123,70.123,12.123,10.123,8.123,1.123,1.062123,20.123,4.123,5.123,4.123,80.123,70.123,25.123,20.123,1.123,0.78123,140.123,45.123,55.123,50.123,2.123,2.123,2.123,2.123,1.123,1.123,2,1.123,0.7,0.4323,between 5.365 and 20.0,
5,91.123123,76.123123,73.123123,55.123123,1.384123,1.083123,200.123,50.123123,65.123123,60.123123,830.123,930.123,790.123,920.123,1.512123,0.95123,830.123,760.123,290.123,300.123,170.123,165.123,160.123,155.123,1.273123,0.892123,175.123,60.123,75.123,70.123,7500.123,6600.123,6100.123,5700.123,1.20123,0.88123,12000.123,3600.123,3600.123,3400.123,150.123,170.123,130.123,140.123,1.243123,0.82123,180.123,60.123,80.123,75.123,15.123,15.123,10.123,1.123,1.09123,25.123,5.123,6.123,5.123,90.123,80.123,30.123,25.123,1.123,0.77123,140.123,50.123,60.123,55.123,2.123,2.123,2.123,2.123,1.123,1.123,3,1.123,0.8,0.4323,between 5.365 and 20.0,
