duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,utime
110.88,mpeg4,320.0,240.0,314923.0,27.0,67.0,2875.0,0.0,2942.0,714821.0,4219409.0,4933230.0,mpeg4,3000000.0,15.0,1280.0,720.0,between 4.408 and 10.433
378.21,h264,640.0,480.0,831735.0,22.0,142.0,5358.0,0.0,5500.0,1472162.0,9328971.0,10805133.0,flv,56000.0,25.0,1920.0,1080.0,between 2.096 and 4.408
98.46,vp8,176.0,144.0,68416.0,12.0,25.0,1162.0,0.0,1187.0,261440.0,654654.0,916094.0,vp8,109000.0,15.0,320.0,240.0,greater than 10.433
201.45,flv,480.0,360.0,397555.0,29.0,105.0,6548.0,0.0,6653.0,1234690.0,8133954.0,9368644.0,mpeg4,5000000.0,29.97,176.0,144.0,between 2.096 and 4.408
74.88,h264,320.0,240.0,247098.0,25.0,55.0,2462.0,0.0,2517.0,411987.0,2661998.0,3075985.0,flv,539000.0,24.0,1920.0,1080.0,between 4.408 and 10.433
425.39,mpeg4,1280.0,720.0,1033815.0,13.482667,96.0,9123.0,0.0,9219.0,4131564.0,70635013.0,74487589.0,mpeg4,242000.0,12.0,480.0,360.0,between 2.096 and 4.408
139.29,vp8,640.0,480.0,859493.0,29.0,62.0,4302.0,0.0,4364.0,1086321.0,6927354.0,8013675.0,h264,56000.0,12.0,1280.0,720.0,between 4.408 and 10.433
375.58,h264,480.0,360.0,484961.0,30.0,123.0,4891.0,0.0,5014.0,914725.0,5331747.0,6248472.0,vp8,109000.0,15.0,1920.0,1080.0,less than 2.096
229.64,flv,320.0,240.0,291191.0,27.0,49.0,1923.0,0.0,1972.0,449919.0,2006543.0,2457462.0,mpeg4,3000000.0,25.0,320.0,240.0,between 2.096 and 4.408
255.74,h264,1280.0,720.0,867659.0,25.0,69.0,3182.0,0.0,3251.0,4427240.0,7377906.0,11805146.0,flv,539000.0,15.0,1280.0,720.0,between 4.408 and 10.433
119.34,mpeg4,176.0,144.0,65536.0,12.0,20.0,1008.0,0.0,1028.0,261440.0,654654.0,916094.0,vp8,109000.0,15.0,640.0,480.0,between 2.096 and 4.408
297.55,vp8,480.0,360.0,296007.0,29.97,50.0,7577.0,0.0,7627.0,918325.0,7387906.0,8306231.0,h264,56000.0,12.0,1280.0,720.0,between 4.408 and 10.433
444.28,h264,640.0,480.0,646432.0,29.0,215.0,11336.0,0.0,11541.0,2839955.0,28225248.0,31065203.0,vp8,5000000.0,24.0,176.0,144.0,between 2.096 and 4.408
76.67,flv,320.0,240.0,250667.0,25.0,23.0,1084.0,0.0,1107.0,137210.0,1354404.0,1491614.0,mpeg4,109000.0,25.0,320.0,240.0,between 2.096 and 4.408
230.47,mpeg4,480.0,360.0,397890.0,30.0,63.0,3491.0,0.0,3554.0,529627.0,4978664.0,5508291.0,flv,56000.0,12.0,1920.0,1080.0,between 4.408 and 10.433
499.3,vp8,1280.0,720.0,794075.0,13.482667,85.0,10335.0,0.0,10420.0,3852576.0,70635013.0,74487589.0,flv,539000.0,15.0,1280.0,720.0,between 2.096 and 4.408
