x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,energy11,energy12,energy13,energy14,energy15,energy16,energy_total,512.2351,417.5319,94.5311,498.2356,489.6541,37.5836,291.2083,341.9672,0.0,555.3695,430.802,27.2277,322.531,205.2096,40.739,132.1475,10.6754,423.8234,90.3747,351.4701,33.2651,63.678,356.7663,92.7,553.1572,149.1223,38.3382,272.7373,312.2364,422.6691,464.6098,462.8044,243250.0859,265693.0457,209295.9993,268266.4415,236712.7999,203019.8858,260261.1539,229716.2707,266215.6722,260196.54,227732.0102,215200.875,228920.1279,273408.0288,261848.6548,272850.0305,between 3755820.3235 and 3830819.051
271.3822,469.419,198.141,355.475,103.298,182.398,420.541,556.685,302.123,220.142,421.821,98.341,395.126,199.113,200.245,265.195,481.398,414.602,193.198,324.759,458.317,278.456,391.175,264.189,95.236,400.219,127.436,417.678,181.427,373.983,106.592,340.598,233145.213,244103.852,220501.982,266305.822,241091.368,260932.459,220118.855,249932.419,210491.284,263911.821,236402.549,268351.915,227851.849,261908.348,233439.219,216902.391,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.425,414.394,75.961,432.132,252.821,246.194,460.934,321.189,301.139,155.982,503.291,219.387,394.213,69.351,200.631,102.194,276.441,444.531,351.299,187.396,451.859,300.492,378.461,281.194,93.381,406.199,183.849,341.729,239.941,361.139,205.483,321.441,214849.914,274219.391,269431.982,230915.687,183499.791,248191.517,240361.962,209523.431,210942.282,240899.421,210941.992,222441.191,255811.349,217899.899,233381.849,203499.392,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418.119,102.761,177.511,400.871,97.181,320.761,482.611,246.339,156.291,210.118,340.251,185.441,443.761,260.921,240.591,120.171,380.589,299.649,421.399,211.198,444.991,295.191,324.359,303.999,175.281,466.219,77.301,349.341,148.191,289.631,235.841,247.191,249305.871,261408.501,223411.941,182499.792,250201.499,270995.291,233981.171,270799.349,246191.811,229932.441,235381.681,240191.791,266981.971,199409.281,260191.211,211601.151,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560.213,324.191,210.491,187.181,420.781,213.281,444.791,364.191,301.191,428.341,272.831,242.941,499.191,188.911,250.221,360.191,336.191,219.341,456.641,305.191,435.791,245.691,263.191,346.691,154.191,430.891,206.591,270.591,242.591,387.791,316.191,280.591,234819.191,242099.191,238619.191,222919.191,243119.191,230419.191,233519.191,208119.191,203619.191,259219.191,234819.191,255319.191,267119.191,258819.191,211519.191,235319.191,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.271,436.259,176.217,361.671,294.457,103.986,495.449,242.171,221.829,198.971,444.291,140.801,287.211,394.171,260.671,303.651,266.971,320.391,206.341,294.911,289.591,203.231,395.611,217.131,169.451,444.341,276.171,316.191,334.351,283.511,279.931,200.561,211351.191,273491.191,250991.191,200791.191,270391.191,260691.191,228191.191,202791.191,223591.191,215591.191,208791.191,240191.791,211191.791,247191.791,225191.791,230191.791,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.741,283.159,375.191,191.239,271.641,334.509,240.221,231.951,305.651,204.511,263.191,233.531,309.591,420.941,248.771,344.441,323.791,174.401,348.421,246.391,253.201,312.701,304.941,189.101,266.481,243.761,271.531,349.431,280.651,302.541,297.141,277.201,188191.191,251191.191,233191.191,249191.191,243191.191,234191.191,245191.191,259191.191,211191.191,246191.191,242191.191,219191.191,261191.191,250191.191,229191.191,256191.191,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.441,475.271,73.591,400.821,396.591,206.901,460.531,175.041,323.831,191.191,232.471,251.551,380.371,200.141,202.331,271.251,247.941,338.011,228.451,391.591,258.531,305.971,184.141,335.551,251.851,219.211,333.321,305.791,251.551,249.731,212.591,246.451,258191.191,193191.191,256191.191,252191.191,203191.191,230191.191,233191.191,258191.191,193191.191,240191.191,255191.191,221191.191,251191.191,233191.191,247191.191,223191.191,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.531,308.341,265.411,216.631,265.211,202.311,395.701,304.361,258.411,270.671,207.691,280.891,322.531,266.531,202.811,187.781,245.801,185.381,349.521,204.671,200.971,276.441,335.721,249.441,317.981,189.221,352.351,256.171,195.651,239.351,275.891,273.341,275191.191,245191.191,220191.191,246191.191,269191.191,212191.191,265191.191,234191.191,256191.191,235191.191,242191.191,227191.191,232191.191,251191.191,252191.191,246191.191,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.641,200.951,314.511,216.991,261.991,202.941,220.581,388.231,292.611,321.531,347.451,218.551,283.791,232.111,221.191,318.571,312.271,247.111,366.691,207.491,289.591,199.151,235.551,355.661,352.351,303.981,198.971,212.591,268.061,352.791,288.771,200.211,251191.191,210191.191,256191.191,258191.191,235191.191,213191.191,247191.191,233191.191,260191.191,243191.191,222191.191,259191.191,246191.191,242191.191,230191.191,201191.191,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.191,198.341,271.091,345.321,199.381,271.571,302.531,226.891,233.101,284.661,292.381,226.221,274.441,292.451,195.691,245.341,260.641,205.551,250.061,341.691,239.131,327.331,240.281,199.551,255.521,292.241,194.291,291.021,282.421,237.201,283.991,296.351,208191.191,258191.191,251191.191,194191.191,266191.191,241191.191,234191.191,235191.191,259191.191,263191.191,230191.191,205191.191,231191.191,256191.191,249191.191,217191.191,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
