354.2134,488.0221,108.3952,75.2131,395.2137,189.2135,432.1092,301.0225,189.3998,465.0912,213.0912,503.2134,291.0345,421.0912,375.2134,402.0912,291.2134,421.0912.1,488.0221.1,565.6854,203.0912,488.2134,421.0912.2,395.2134,225.0912,102.0912,291.0912,395.2134.1,291.0912.1,421.0912.3,203.0912.1,421.0912.4,219866.3005,267034.472,244088.3452,207652.5226,206686.9127,211528.1403,205128.3135,228663.6707,208505.3863,184769.0303,234259.6305,256088.3967,186602.2171,250922.0247,212117.3456,232622.6227,between 3755820.3235 and 3830819.051,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,energy11,energy12,energy13,energy14,energy15,energy16,energy_total,85.69785,476.1317,457.7099,468.7953,557.7721,444.9432,226.748,524.9809,382.2085,447.1428,518.7209,473.6325,545.9491,541.8121,262.745,339.4113,400.243,395.5818,549.8161,214.9727,59.4527,11.6773,138.1419,0.0,330.5892,491.083,90.989,413.3111,413.3111.1,284.8788,322.5777,79.9566,238322.2773,250268.3726,266691.1144,190024.2144,247007.952,185666.0525,222704.4081,188193.5334,205699.8812,253322.0174,237102.1062,201470.3752,265354.9915,265858.2146,267556.4297,195080.3544,greater than 3830819.051,433.8735,507.1234,379.6542,41.3179,198.4221,98.7654,219.8765,121.2121,475.4312,398.7564,263.1456,193.8274,400.3211,91.2198,274.8231,435.6123,521.1087,91.5482,66.1111,386.2256,301.7345,227.4839,348.9123,109.6314,92.1357,375.4678,460.3982,122.1163,410.2135,141.6985,85.6112,232.1234,251.9345,227.8912,210.0099,259.1234,208.4567,189.0123,235.6789,184.3211,239.1234,206.4567,212.8901,230.0123,229.4567,256.0123,239.1234.1,between 3685857.466 and 3755820.3235
391.2134,407.2134,56.2134,150.0912,56.0912,275.2134,521.0912,322.2134,291.0912,465.0912,276.0912,521.2134,111.0912,488.0912,375.0912,402.0912,88.0912,421.0912,488.0912,421.0912,203.0912,402.0912,421.0912,395.0912,225.0912,8.0912,291.0912,291.0912,291.0912,421.0912,91.0912,421.0912,229299.379,209263.6199,244088.3452,207652.5226,206686.9127,211613.1469,269219.537,243871.0028,202956.2385,221274.294,253071.1823,266364.2064,255206.1953,250922.0247,274185.1864,237599.1643,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428.459,437.0912,108.3952,0.0,559.5013,11.1314,0.0,283.6526,244.2856,253.1711,238.7525,473.7091,423.529,565.6854,116.7759,169.7056,457.5686,447.4661,429.2057,490.4133,225.0929,565.6854,436.5597,289.5376,158.6435,246.7256,304.9083,0.0,91.2211,279.1414,11.1045,134.0184,225738.2172,256346.4142,229256.4311,266238.2898,249886.4453,265711.6377,251385.8473,217613.1543,203867.2078,196692.0359,256746.2778,204781.5145,237197.6048,209460.7866,263750.9206,232622.6227,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.0641,407.5903,258.3233,32.9505,338.6973,310.3419,392.4498,416.0495,340.0718,395.9798,355.5544,556.3298,0.0,52.5328,442.589,169.7056,181.4591,422.8455,311.2311,490.4133,209.311,323.9043,331.3467,60.1689,70.0724,8.0326,395.9798,91.2211,403.4145,395.9798,334.8254,316.9605,162024.6649,265836.6364,219866.3005,267722.3662,163420.4166,211528.1403,205128.3135,235208.097,192146.8375,190571.4455,234259.6305,264668.3046,225540.8738,250152.4938,212117.3456,273813.3741,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.201,398.709,297.14,500.19,63.821,123.066,244.034,331.379,42.51,154.234,469.696,112.404,368.346,332.525,467.966,208.355,248.009,423.101,200.826,56.709,387.891,53.177,282.201,207.143,125.22,313.711,174.639,203.902,343.507,372.344,265.356,119.737,224157.681,266293.745,214896.783,224087.694,241460.055,190496.476,248864.605,220832.926,218468.407,260657.981,246452.209,221772.602,238575.113,209033.841,242416.046,240796.047,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.703,372.812,290.951,501.271,178.021,204.289,279.66,281.696,129.184,234.133,403.975,165.98,314.885,305.281,388.69,249.961,248.119,375.744,219.825,127.485,342.122,59.273,274.966,244.344,199.221,287.446,230.202,212.08,349.022,297.19,260.093,225.341,223158.923,258120.846,222816.553,224552.538,243404.55,195880.325,236281.543,227239.41,227112.127,254437.162,247259.579,224596.664,231723.263,219999.223,242863.545,233565.806,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.476,133.981,60.97,498.042,18.441,538.544,534.928,299.229,75.807,108.322,553.651,439.113,441.647,56.291,563.633,533.508,492.924,545.906,231.333,0.0,490.054,69.63,533.529,494.499,156.66,3.373,459.628,34.733,91.437,428.808,21.176,159.648,240046.09,266726.354,220868.118,184552.378,246229.165,230607.304,264717.529,268349.643,203324.31,229246.211,241172.32,187783.578,229717.359,194251.204,235527.511,250474.33,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0,452.805,192.863,506.799,566.0,142.007,303.985,363.53,0.0,566.0,420.094,0.0,328.654,229.644,55.197,175.993,42.566,335.369,170.321,396.523,102.651,118.165,396.467,68.592,535.882,202.098,181.846,282.357,316.366,457.593,422.896,509.662,211440.83,230970.605,208925.447,265482.384,235527.277,183798.523,271727.401,198942.146,268187.383,263026.684,231267.035,211845.585,247432.867,267678.008,249304.58,268228.409,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7183,399.8446,149.6031,194.7908,280.4426,156.919,364.3735,0.0,382.2085,447.1428,0.0,565.6854,565.6854,85.188,357.6691,203.8368,560.1095,237.7792,2.8327,130.9115,17.6443,256.1116,241.7922,440.1091,299.6287,446.2194,444.9242,524.3624,193.035,447.3305,183.7328,324.9493,266739.7051,238322.2773,228962.1871,201914.1344,263605.9547,259071.7465,245934.3137,246126.4211,257436.3122,265644.4916,234653.4548,262862.8461,186363.8988,268832.6123,229953.7251,215503.5694,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7302,214.6464,339.4113,83.4896,170.7253,226.9128,0.0,415.846,332.0248,392.9154,227.173,231.8912,151.9888,69.7957,468.033,339.4113,373.7928,282.8427,93.6045,226.2742,315.1064,100.5867,479.2664,384.4543,348.2383,132.3934,528.4201,0.0,444.126,58.3838,565.6854,438.1407,210855.3521,214578.3793,200578.205,180476.7911,204675.3227,202215.6429,269493.5069,246982.0145,204108.0868,241819.2708,267813.0005,168709.1518,241049.1403,169448.7195,265270.7668,252319.6606,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.69785,476.1317,122.6439,468.7953,557.7721,444.9432,226.748,524.9809,23.725,447.1428,518.7209,473.6325,545.9491,541.8121,262.745,172.9084,400.243,395.5818,549.8161,214.9727,59.4527,11.6773,138.1419,0.0,330.5892,491.083,90.989,413.3111,413.3111,284.8788,322.5777,79.9566,238322.2773,250268.3726,266691.1144,190024.2144,247007.952,185666.0525,222704.4081,188193.5334,205699.8812,253322.0174,237102.1062,201470.3752,265354.9915,265858.2146,267556.4297,195080.3544,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
