x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,energy11,energy12,energy13,energy14,energy15,energy16,energy_total,310.3288,401.2148,497.5851,240.4591,450.1716,288.1096,180.9421,209.9285,245.924,152.2619,241.8645,182.926,391.1056,260.2601,287.2966,321.9979,359.0843,259.3105,238.7296,405.265,320.0816,232.4733,172.609,238.9371,147.4458,407.3077,284.7696,497.5455,248.4777,418.2954,226.4076,201.7686,253728.3,240457.8,242175.6,247168.5,234073.5,245416.6,204994.6,224962.4,230490.7,244695.2,238085.5,252438.7,243594.3,266715.9,232031.6,236813.7,greater than 3830819.051,121.7722,168.1714,237.18035,371.62525,462.00045,252.6074,87.06485,412.02955,298.1894,482.01665,176.6083,175.2359,164.7116,353.45385,531.7054,307.6897,500.6695,170.714,389.64145,354.40305,429.404,234.7115,510.549,143.26655,418.5424,92.1581,204.0094,362.40125,167.3488,172.6669,56.4592,209.022,263859.2531,242410.62285,232828.23645,231671.86955,230029.1291,222262.3885,246356.8551,226475.75465,254720.81515,218250.33435,240781.61335,264105.2611,212128.26025,247488.1903,266626.75415,253326.73745,330.2217,340.956625,97.3072,27.3252,289.134575,171.5146,391.3515,84.650025,38.775225,0.0,194.6113,448.67305,212.2933,354.1445,119.6035,178.83105,217.907325,379.6631,62.255475,386.942225,29.591775,392.818475,40.6548,68.432324,136.1318,62.910650000000004,121.31632499999999,11.222624999999999,174.4821,248030.96574999997,233844.72905,199379.6956,217021.6602,220892.305975,208627.3697,230932.7006,224113.543075,232247.98485,214042.22867500002,218781.5824,246342.93005,211063.081275,235397.56689999998,242346.821925,234507.808725
395.13765,430.096275,239.0675,211.1838,395.651025,142.81675,352.973125,445.4609,302.005225,370.957475,395.68965,283.35159999999996,485.0328,293.26415000000003,434.823525,469.28345,410.87315,436.1512249999999,377.46765,378.64175,348.802325,341.809025,566.0,370.6533,282.97305,365.13815,510.38585,365.730925,235.778925,200.0426,260761.357,251153.48205,236903.854075,239249.834525,254103.0853,224314.9967,268091.04745,259324.97485,244065.857275,241211.127075,252606.6601,268276.934875,242528.49785,213440.52835,268616.99955,239246.042325,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.8738,177.98217499999998,89.50845,98.0568,256.7206,82.0233,182.670975,280.86292499999996,120.517425,88.953975,225.923275,0.0,412.282625,71.655575,42.600825,309.77930000000003,192.487525,317.23915,233.2412,247.251875,201.32395,210.4899,522.75665,187.74705,170.237275,0.0,201.493075,327.84752499999996,68.51667499999999,123.500975,107.65425,232594.4251,236903.854075,194220.754775,193016.839425,232273.077,193830.096075,265697.1692,243676.0043,208992.534025,204067.594075,231809.26745,254055.174625,233259.618025,201957.410725,260619.894625,230667.937625,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566.0,459.4566,0.0,414.3546,517.6587,296.5642,507.4327,566.0,337.2472,566.0,516.0291,386.6536,528.8754,252.5576,529.7058,566.0,398.2089,566.0,197.3321,328.1911,226.7712,335.6505,541.2562,359.8108,45.2005,0.0,310.2125,432.7338,407.8267,184.917,389.2443,200.8262,266005.3486,265357.2876,265929.3253,268635.758,258706.8088,245538.9986,270006.3562,249685.9669,263366.9883,259469.2339,268994.4277,264146.7155,232301.5423,273050.5929,247063.8462,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395.13765,302.5777,239.0675,211.1838,395.651025,142.81675,352.973125,445.4609,302.005225,370.957475,395.68965,283.35159999999996,485.0328,293.26415000000003,434.823525,469.28345,410.87315,436.1512249999999,377.46765,378.64175,348.802325,341.809025,566.0,370.6533,282.97305,365.13815,510.38585,365.730925,235.778925,200.0426,260761.357,251153.48205,236903.854075,239249.834525,254103.0853,224314.9967,268091.04745,259324.97485,244065.857275,241211.127075,252606.6601,268276.934875,242528.49785,213440.52835,268616.99955,239246.042325,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.166,536.6695,98.5311,438.1992,466.0182,394.7391,41.6992,519.9524,398.4446,480.634,329.5559,432.1128,452.6655,197.3987,244.1572,173.9849,98.5139,459.6119,264.1593,460.6341,205.9826,515.7924,399.6245,95.6495,72.6285,108.1547,444.4446,504.7732,115.3999,409.1614,492.6118,395.1945,206001.2076,269192.825,202387.8731,214542.0827,232157.0428,267572.4401,220578.8339,204995.1994,226116.013,189500.5059,222994.9949,269927.6778,209759.6976,259541.6744,267511.7089,241017.8568,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.1429,486.7172,162.6592,529.4455,552.106,420.1851,280.1235,254.7092,162.6592,216.2511,113.1371,426.653,105.6002,211.6753,129.4148,0.0,192.9517,267.4948,161.8757,565.6854,67.5115,420.5124,159.6796,349.1263,0.0,128.9915,176.8797,81.4409,45.7261,275.2333,565.6854,565.6854,191167.2556,231848.4817,267015.2998,265905.603,236370.708,265312.874,235444.1143,240939.2744,165865.1455,192214.4869,177178.0778,239860.9503,160696.5902,211023.9298,267511.7089,269844.8627,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.4452,429.7366,54.2395,543.3407,498.9162,238.5523,161.3727,347.1896,410.3485,298.2565,363.0639,419.5112,140.0903,458.3566,293.4721,80.8936,70.3052,83.1294,138.5388,348.0592,231.5711,557.1048,454.8194,59.1414,286.0217,210.029,344.8234,522.7595,235.3101,486.7363,542.5884,429.0156,174223.6927,206001.2076,189995.1555,266059.1533,232157.0428,267572.4401,228195.7901,182879.9002,226116.013,189500.5059,222994.9949,269927.6778,209759.6976,259541.6744,273968.4924,241017.8568,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.4786,551.9093,89.7953,524.8138,236.4647,460.6885,0.0,561.7908,404.1447,234.8,326.7896,251.0745,339.0427,158.2977,291.1077,125.7753,535.1153,565.6854,150.6646,392.8872,344.447,39.6853,144.4293,485.1673,69.4713,46.4565,346.7562,553.1275,45.0501,160.0372,80.1611,495.2828,274342.6746,265153.261,202387.8731,214542.0827,249237.537,248202.2726,220578.8339,236860.5409,241288.3092,188847.1589,248349.6264,267316.2336,212042.6144,203530.3167,228007.854,251204.0866,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.7868,367.1558,292.655,194.062,544.915,164.8785,0.0,309.7132,161.6355,309.8505,79.8168,9.1813,474.2647,527.6158,101.2886,417.9202,22.2477,171.7973,115.1814,428.5579,315.4472,269.2455,414.0013,278.4635,476.3806,338.8506,259.9221,566.0,432.6267,81.6769,511.3368,123.2337,254419.8,238418.8,193895.2,254813.0,265644.0,223959.2,222693.2,218160.7,274560.6,262603.8,208055.7,266906.0,265984.7,253090.4,274370.7,239703.7,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.6854,173.1347,566.0,566.0,566.0,138.2226,19.7103,0.0,566.0,0.0,386.6476,84.1177,244.9354,226.0355,492.1203,379.3311,507.3158,410.0764,418.2939,341.2757,281.1343,513.1479,151.3645,2.5309,0.0,339.858,464.4736,450.9255,90.648,566.0,0.0,92.0553,272647.5,217865.6,265859.4,231621.9,212652.1,249853.2,196183.9,192861.7,249644.3,215345.1,271116.9,222424.0,223514.5,266426.1,233843.6,223313.1,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
