x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,energy11,energy12,energy13,energy14,energy15,energy16,energy_total
460.341,188.2192,444.8192,87.3412,94.2109,444.819,460.341,189.341,94.2198,460.341,444.8192,87.3412,189.341,444.819,460.341,189.341,444.8192,87.3412,94.2109,444.819,460.341,189.341,444.8192,87.3412,94.2198,460.341,444.819,189.341,87.3412,444.819,189.341,94.2109,444.8192,460.341,189.341,444.819,460.341,444.8192,444.819,444.8192,189.341,444.819,189.341,444.8192,87.3412,189.341,444.819,87.3412,greater than 3830819.051
444.8192,444.819,87.3412,444.819,189.341,94.2109,444.8192,460.341,189.341,444.819,444.8192,87.3412,94.2198,189.341,94.2109,444.8192,87.3412,444.819,189.341,460.341,444.8192,444.819,189.341,94.2109,444.819,444.8192,87.3412,189.341,444.819,444.8192,444.819,460.341,444.8192,444.819,189.341,444.8192,189.341,87.3412,444.819,444.8192,189.341,444.819,189.341,444.819,87.3412,189.341,444.8192,less than 3685857.466,
87.3412,444.819,444.8192,189.341,94.2109,444.819,87.3412,444.819,444.8192,444.819,87.3412,189.341,444.8192,94.2198,189.341,444.8192,87.3412,94.2109,444.819,444.8192,189.341,444.819,87.3412,444.819,189.341,444.8192,444.819,94.2109,444.8192,87.3412,94.2198,444.8192,189.341,87.3412,189.341,444.819,87.3412,444.8192,189.341,444.8192,87.3412,444.8192,444.819,189.341,87.3412,444.8192,444.819,greater than 3830819.051,
444.819,87.3412,444.8192,189.341,444.819,444.8192,189.341,444.819,87.3412,444.819,189.341,444.8192,444.819,444.8192,189.341,87.3412,444.819,94.2109,444.8192,444.819,189.341,87.3412,444.819,189.341,87.3412,444.8192,444.819,189.341,87.3412,444.819,189.341,444.8192,444.819,87.3412,444.8192,444.819,189.341,444.8192,444.8192,444.819,87.3412,189.341,444.8192,444.819,189.341,87.3412,444.8192,between 3685857.466 and 3755820.3235,
444.819,189.341,87.3412,189.341,444.8192,444.819,444.8192,189.341,444.819,444.8192,444.819,87.3412,87.3412,444.819,444.8192,444.819,87.3412,444.819,87.3412,444.8192,444.8192,444.819,189.341,444.819,87.3412,444.819,87.3412,444.8192,444.8192,444.819,87.3412,189.341,87.3412,444.8192,87.3412,444.819,444.8192,189.341,444.819,444.8192,444.8192,444.8192,444.8192,444.819,87.3412,444.819,less than 3685857.466,,
87.3412,444.8192,444.819,189.341,87.3412,189.341,444.819,444.819,444.8192,444.819,87.3412,444.819,444.8192,444.819,444.819,87.3412,189.341,444.819,444.819,444.819,189.341,444.8192,444.819,444.8192,189.341,444.819,189.341,444.8192,444.8192,444.8192,444.819,189.341,444.819,444.819,189.341,444.819,444.819,444.8192,189.341,189.341,444.8192,444.819,189.341,189.341,444.819,444.819,greater than 3830819.051,,
189.341,189.341,444.8192,444.8192,444.819,444.8192,444.819,87.3412,444.819,444.819,444.8192,444.819,87.3412,444.8192,189.341,189.341,87.3412,444.8192,87.3412,444.8192,444.8192,444.8192,87.3412,444.8192,87.3412,189.341,444.819,444.8192,444.8192,189.341,444.819,189.341,444.8192,444.8192,189.341,444.8192,87.3412,444.819,189.341,189.341,444.819,87.3412,444.8192,444.8192,87.3412,444.8192,greater than 3830819.051,,
444.8192,444.819,87.3412,444.8192,444.819,444.8192,444.8192,87.3412,444.819,444.819,444.8192,87.3412,444.8192,444.8192,444.819,444.819,87.3412,444.819,444.819,444.819,87.3412,444.819,87.3412,444.8192,444.819,444.8192,444.819,87.3412,87.3412,189.341,444.8192,87.3412,444.819,87.3412,444.8192,87.3412,444.8192,444.8192,87.3412,444.8192,444.819,189.341,444.8192,87.3412,444.8192,189.341,444.819,less than 3685857.466,
189.341,444.819,89.2198,444.819,87.3412,189.341,189.341,444.8192,87.3412,189.341,444.8192,444.819,444.8192,444.8192,444.8192,444.819,87.3412,444.8192,87.3412,87.3412,444.8192,444.8192,87.3412,87.3412,189.341,87.3412,444.8192,444.819,87.3412,444.8192,444.8192,444.8192,444.819,444.819,189.341,87.3412,444.8192,444.8192,444.819,444.819,444.8192,444.8192,444.819,189.341,87.3412,87.3412,between 3685857.466 and 3755820.3235,,
87.3412,444.819,444.8192,444.8192,87.3412,444.819,444.8192,444.819,87.3412,444.819,87.3412,444.8192,444.8192,87.3412,87.3412,444.819,444.819,444.8192,444.8192,189.341,444.819,87.3412,444.8192,444.8192,444.819,444.8192,87.3412,444.819,444.819,444.8192,189.341,444.8192,189.341,444.819,444.8192,444.8192,444.819,444.819,444.8192,87.3412,444.819,444.819,444.819,87.3412,189.341,87.3412,greater than 3830819.051,,
