fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
6.39,0.29,0.35,11.4,0.058,31.0,145.0,0.9963,3.17,0.49,9.9,greater than 6.0
7.81,0.24,0.38,2.1,0.042,25.0,168.0,0.9921,3.01,0.51,10.4,between 5.0 and 6.0
6.19,0.34,0.29,17.9,0.051,39.0,129.0,0.9985,3.22,0.46,9.1,greater than 6.0
9.08,0.27,0.4,5.8,0.033,18.0,188.0,0.9945,3.11,0.55,11.2,greater than 6.0
7.42,0.2,0.32,10.6,0.059,28.0,162.0,0.9973,3.04,0.48,9.7,between 5.0 and 6.0
5.95,0.31,0.36,13.2,0.04,36.0,141.0,0.9932,3.24,0.42,10.9,greater than 6.0
8.59,0.22,0.39,1.9,0.046,13.0,79.0,0.9969,3.07,0.83,9.8,greater than 6.0
6.69,0.25,0.27,7.3,0.057,21.0,139.0,0.9919,3.05,0.52,10.9,between 5.0 and 6.0
7.21,0.29,0.31,5.5,0.053,44.0,161.0,0.9942,3.12,0.48,10.3,greater than 6.0
6.29,0.32,0.32,1.7,0.03,24.0,101.0,0.9893,3.21,0.42,13.0,between 5.0 and 6.0
7.49,0.28,0.3,5.9,0.054,14.0,93.0,0.9939,3.0,0.48,10.7,greater than 6.0
6.79,0.23,0.39,13.7,0.058,26.0,172.0,0.9976,2.9,0.46,9.0,greater than 6.0
7.29,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,greater than 6.0
8.49,0.155,0.49,1.3,0.039,34.0,136.0,0.9926,3.14,0.77,10.5,greater than 6.0
6.59,0.22,0.31,13.9,0.04,57.0,135.0,0.9967,3.21,0.38,10.7,between 5.0 and 6.0
7.39,0.18,0.27,17.3,0.055,32.0,197.0,1.0002,3.13,0.46,9.0,greater than 6.0
7.69,0.33,0.27,1.2,0.046,34.0,175.0,0.9934,3.37,0.54,9.4,greater than 6.0
8.29,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,greater than 6.0
6.59,0.21,0.39,2.0,0.057,21.0,138.0,0.9918,3.05,0.52,10.9,between 5.0 and 6.0
7.89,0.32,0.32,1.5,0.03,24.0,101.0,0.9893,3.21,0.42,13.0,between 5.0 and 6.0
6.79,0.28,0.3,5.3,0.054,44.0,161.0,0.9941,3.12,0.48,10.3,greater than 6.0
7.79,0.25,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,greater than 6.0
8.09,0.23,0.39,13.7,0.058,26.0,172.0,0.9976,2.9,0.46,9.0,greater than 6.0
7.09,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,greater than 6.0
6.89,0.29,0.35,11.4,0.058,31.0,145.0,0.9963,3.17,0.49,9.9,greater than 6.0
6.49,0.34,0.29,17.9,0.051,39.0,129.0,0.9985,3.22,0.46,9.1,greater than 6.0
8.79,0.27,0.4,5.8,0.033,18.0,188.0,0.9945,3.11,0.55,11.2,greater than 6.0
6.99,0.2,0.32,10.6,0.059,28.0,162.0,0.9973,3.04,0.48,9.7,between 5.0 and 6.0
7.59,0.31,0.36,13.2,0.04,36.0,141.0,0.9932,3.24,0.42,10.9,greater than 6.0
7.09,0.22,0.39,1.9,0.046,13.0,79.0,0.9969,3.07,0.83,9.8,greater than 6.0
6.69,0.25,0.27,7.3,0.057,21.0,139.0,0.9919,3.05,0.52,10.9,between 5.0 and 6.0
8.29,0.29,0.31,5.5,0.053,44.0,161.0,0.9942,3.12,0.48,10.3,greater than 6.0
