Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
MLN,NL,1968.3042,690.2035,75.05757,0.3137546,0.37809372,0.25915593,0.0014117402,161.00044,less than 652.0
LAA,NL,2013.0988,776.8904,97.140305,0.3440545,0.471171,0.2672375,1.1960325,160.99638,greater than 775.0
LAD,NL,1962.9243,510.1167,81.57005,0.2885597,0.34033978,0.23621322,0.0023136332,163.03738,less than 652.0
ATL,NL,2003.1393,591.04803,80.88572,0.3170158,0.36653486,0.25715587,-0.00088511384,161.99565,less than 652.0
ATL,NL,1985.2515,876.19293,91.00096,0.37993902,0.48722258,0.28644323,0.0012645912,163.02614,greater than 775.0
NYY,AL,1984.233,776.29126,69.93024,0.32697645,0.40939802,0.2622893,-0.001019157,162.00198,between 652.0 and 711.0
CAL,AL,1975.0334,737.21716,62.334923,0.29887086,0.3460242,0.23907381,-0.0004573128,160.99939,less than 652.0
CIN,AL,1984.4275,797.40247,67.87649,0.33428803,0.3783801,0.2540655,-0.00022511213,162.00533,between 711.0 and 775.0
ARI,NL,1979.9994,762.99493,67.69897,0.31443805,0.35117808,0.25509608,-0.00070279714,161.00012,less than 652.0
ATL,NL,1974.0859,510.18832,77.68297,0.299398,0.34621507,0.23193672,0.00080567616,163.02351,less than 652.0
SEA,NL,2008.8003,923.9744,67.212166,0.32640523,0.44289598,0.26257363,-0.0007062282,161.99873,greater than 775.0
DET,AL,1998.7949,862.2743,85.70176,0.3536255,0.45005605,0.27839866,-0.0012057266,162.00377,greater than 775.0
FLA,AL,2009.948,627.6156,91.601036,0.30451503,0.3912445,0.24281879,-0.0008166408,162.00046,less than 652.0
DET,NL,2003.8766,824.6475,85.55263,0.33927065,0.45319343,0.27261534,0.00017668575,162.00577,greater than 775.0
SEP,AL,1990.9818,742.58295,89.84236,0.34827936,0.43343404,0.27009648,7.635832e-05,162.00229,between 711.0 and 775.0
NYY,NL,1992.6002,657.44556,96.44521,0.33622944,0.42130274,0.2641838,-7.932761e-05,163.00807,between 711.0 and 775.0
TBR,NL,2000.769,696.0734,97.5653,0.33903113,0.4081466,0.25389218,0.98794127,162.00578,greater than 775.0
BOS,AL,1986.7921,773.7374,71.63046,0.32714996,0.37294376,0.25101808,-0.00043503213,162.9721,between 652.0 and 711.0
CAL,AL,1965.8839,619.44794,79.20327,0.3144154,0.34142053,0.25176063,-0.0007710116,162.00066,less than 652.0
PHI,NL,2005.5198,758.9993,67.71403,0.31542674,0.38217834,0.24021034,0.00020727783,161.00317,less than 652.0
CIN,AL,1996.4216,765.2765,81.74627,0.3267833,0.41895324,0.27837408,0.001179863,162.00092,between 711.0 and 775.0
DET,NL,1984.8828,607.93506,81.498314,0.31570026,0.36446345,0.2572099,-0.0008468126,161.99992,less than 652.0
CHW,AL,1970.342,734.3145,88.72302,0.32740384,0.40398207,0.2638965,0.00072150934,162.00519,between 711.0 and 775.0
CLE,NL,2001.4646,703.68506,89.27057,0.3453654,0.4009884,0.2732771,-0.0008077412,161.99982,between 711.0 and 775.0
LAA,NL,2002.6104,773.95074,88.12539,0.3427686,0.44011194,0.26162186,0.0014202533,162.00166,greater than 775.0
DET,NL,1995.1532,714.72015,74.83552,0.3225011,0.37052238,0.25164354,0.00028265457,161.0064,less than 652.0
CAL,NL,2008.9243,692.2492,67.51315,0.30831474,0.34199998,0.24197242,0.0010085579,162.0043,less than 652.0
PIT,NL,2010.275,637.6981,80.480225,0.2941432,0.37809062,0.23926361,0.001678462,161.99863,less than 652.0
BOS,NL,1994.1455,764.2504,78.2802,0.3334967,0.41192436,0.2583839,-0.0002587997,161.9961,greater than 775.0
CHW,NL,1969.962,460.20822,87.19064,0.2881302,0.33534107,0.23712409,-0.0005544154,163.03458,less than 652.0
TBR,AL,1966.3434,549.5921,78.44162,0.2938016,0.31202272,0.2373108,0.00013379043,161.00385,less than 652.0
CHW,NL,1986.8386,559.18317,85.10772,0.29878458,0.36079034,0.23381016,-0.00016296253,161.9932,less than 652.0
MIL,NL,1962.1902,726.37317,75.386086,0.30367318,0.36992034,0.24820432,0.0007441183,161.99837,less than 652.0
FLA,AL,2010.8802,792.6658,84.11422,0.32763535,0.43048787,0.2689067,-0.00035404094,162.00168,greater than 775.0
CHC,NL,1962.1691,563.354,85.39496,0.30391172,0.3636588,0.2408102,0.0011424494,161.01169,less than 652.0
CHW,NL,2001.005,840.2095,76.51835,0.3510895,0.43902156,0.26031968,-8.324359e-05,161.01067,greater than 775.0
NYM,AL,1962.6033,667.8995,86.13234,0.3234967,0.39913845,0.25536674,-0.00062605215,164.34766,between 652.0 and 711.0
CAL,NL,1974.0184,600.21515,79.73086,0.3121466,0.3607736,0.2539441,0.00011017558,160.98235,less than 652.0
CAL,NL,1966.7657,650.3788,69.83831,0.31485766,0.36072513,0.25162736,-0.0003314562,163.00826,less than 652.0
SEP,AL,1963.2767,470.02655,78.14671,0.29199937,0.26700863,0.210075,-8.708797e-06,162.00192,less than 652.0
MIN,NL,1985.3055,550.5932,96.04537,0.31021127,0.3983918,0.2574652,-0.00013798568,161.00732,between 652.0 and 711.0
