CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
2.6565113,0.7722118,1.7043567,0.0022657784,0.002477109,0.46462324,less than 3.15175
2.6241653,0.3736123,1.7838904,-0.0046516345,-0.012727711,-0.6423195,less than 3.15175
2.5236502,0.6709826,1.5556782,0.0005532947,1.0098726,0.7035182,less than 3.15175
1.8920255,0.8237746,1.2153966,0.0037405258,0.00059277867,1.1424556,less than 3.15175
4.8247952,0.45462537,0.89233834,0.008804288,0.0029648696,5.1963444,between 3.9875 and 4.9075
1.9045913,0.31460366,1.0091747,0.00051317824,0.99475396,1.7633835,less than 3.15175
2.4238882,0.45618302,1.84989,0.00041270244,0.0005720167,-0.07320608,less than 3.15175
3.1306512,0.18546583,1.1358777,0.0014933684,-0.0035819928,-0.5551549,less than 3.15175
2.47748,0.054900777,1.2528541,0.0016680465,0.012412755,0.51023096,less than 3.15175
1.7898679,1.0616322,1.3589096,0.0075485203,0.003390803,-0.17206371,less than 3.15175
2.5855248,0.2121049,0.8603334,-0.0011541619,0.001071766,1.1206013,less than 3.15175
1.9380199,0.2816598,1.2420988,-4.519287e-05,-0.6811228,0.8013569,less than 3.15175
2.8909702,0.4679779,2.105152,0.009082915,-0.008290604,-0.05855392,between 3.15175 and 3.9875
1.8341941,0.45805684,1.0470906,0.0012796124,-0.0013121653,3.0702481,less than 3.15175
1.5724245,0.6703265,0.9777476,0.0012383293,-0.00070705375,1.1751062,less than 3.15175
3.9039943,0.36165532,1.6273319,-0.0024967797,0.00011534209,2.7658641,between 3.15175 and 3.9875
