sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.6124944,0.47532356,0.18697678,1.4030011,0.52581835,0.30414727,0.4047088,greater than 11.0
F,0.6661213,0.50447667,0.16506863,1.2688936,0.49335304,0.30607507,0.346239,between 9.0 and 11.0
I,0.45253038,0.34993032,0.1394591,0.53048795,0.22928762,0.11486356,0.15593639,less than 8.0
I,0.31613463,0.25714114,0.0916253,0.13176617,0.08055934,0.034328807,0.06237724,less than 8.0
M,0.6784241,0.5189482,0.15773991,1.3611169,0.63606125,0.31433728,0.3876941,between 9.0 and 11.0
M,0.7043419,0.5582253,0.18919711,1.7022607,0.78488845,0.3937269,0.4228849,greater than 11.0
I,0.7050588,0.59113914,0.20397401,1.7851474,1.015985,0.33142728,0.42527577,greater than 11.0
F,0.6448814,0.49324945,0.1732242,1.0650755,0.4805759,0.21505459,0.32855588,greater than 11.0
F,0.61929774,0.46443212,0.14453225,1.082966,0.4299532,0.2542411,0.2926117,between 9.0 and 11.0
I,0.44282222,0.335766,0.12328268,0.5554597,0.25463194,0.1166243,0.14594862,less than 8.0
M,0.44075513,0.3486559,0.13729407,0.6175928,0.41139385,0.09950546,0.16058777,greater than 11.0
F,0.71419835,0.5471857,0.17703153,1.6055547,0.62067646,0.41841644,0.51395744,greater than 11.0
F,0.4709935,0.36895734,0.11550181,0.5851512,0.31086817,0.098292865,0.19572042,less than 8.0
F,0.38842097,0.29523334,0.11609304,0.29861727,0.14547859,0.08843454,0.10027774,less than 8.0
M,0.68368846,0.51310074,0.1815626,1.6489891,0.70250964,0.4151758,0.41593385,greater than 11.0
M,0.61671305,0.4652445,0.14272693,1.0464052,0.52776474,0.22261773,0.26868173,greater than 11.0
