process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
0.99326193,0.9969149,1.9997442,1.0037735,62.16745,2.002836,-0.001286295,between 1316.98333333333 and 10876.6388888889
-0.0025480539,1.9948851,2.0003786,1.00167,57.742577,2.972651,1.3014264,between 546.8189102564105 and 1316.98333333333
2.0164285,1.9938842,2.0001264,0.0011504985,76.77095,3.0128198,0.18393593,less than 546.8189102564105
-0.0014190611,2.0018442,2.001703,1.0036972,68.605415,5.041881,0.0020742444,between 546.8189102564105 and 1316.98333333333
-0.00292254,3.0002582,2.0016115,0.9984775,65.310555,4.9942527,-0.0011319108,between 546.8189102564105 and 1316.98333333333
-0.009254341,2.0002809,2.002555,1.0023502,78.83614,5.0392346,0.0009070432,between 546.8189102564105 and 1316.98333333333
-0.0013836928,3.0053442,2.0026705,1.0013053,66.286224,6.021336,0.0040652463,between 1316.98333333333 and 10876.6388888889
0.004358333,1.9967381,2.0015955,1.0031248,65.93782,5.0051575,-0.00047502352,between 546.8189102564105 and 1316.98333333333
-0.008500092,2.9991813,2.0004137,1.0013268,65.92525,1.99976,-1.5741882,between 546.8189102564105 and 1316.98333333333
1.0148038,2.9990158,1.999623,1.0001329,59.897636,1.044864,-0.00033520255,greater than 10876.6388888889
1.997308,2.9977207,2.0001657,1.0001506,67.75707,6.0860267,-0.0005519585,between 546.8189102564105 and 1316.98333333333
0.9991294,1.9999579,2.000711,1.0013354,75.36294,1.9785429,0.8212725,between 1316.98333333333 and 10876.6388888889
-0.0015423167,1.9951619,0.8441126,1.0039132,74.88046,2.9983473,-0.98692775,less than 546.8189102564105
0.0063119913,0.9827037,0.9995104,1.0045145,74.719894,1.0061579,0.0011647241,less than 546.8189102564105
-0.00595307,2.9970713,0.9539889,0.9997942,63.640076,5.9999814,-1.4088221,greater than 10876.6388888889
0.9993362,3.0021672,2.0000885,1.0021764,79.31667,1.9873738,0.6586378,greater than 10876.6388888889
