city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,434.26157,3.9408357,6.068801,4.148696,0.91184527,accept,furnished,942.7832,greater than 6768.0
Sao Paulo,294.80203,4.0331364,2.001246,1.988867,0.27956402,accept,furnished,123.56634,greater than 6768.0
Rio de Janeiro,60.555244,1.9970149,0.99955195,-0.005564017,8.499525,accept,not furnished,587.8713,between 3581.5 and 6768.0
Sao Paulo,67.03054,1.9887973,2.0259628,2.0078893,12.455576,accept,not furnished,1770.6099,greater than 6768.0
Sao Paulo,437.34363,3.0072615,1.9946662,3.9164467,-2.3094177,accept,furnished,-64.58681,greater than 6768.0
Sao Paulo,236.2059,4.0201654,1.9866216,0.001098729,6.3444395,accept,furnished,2028.9109,greater than 6768.0
Rio de Janeiro,104.37253,1.9884337,1.0006768,-0.005558308,5.978152,accept,not furnished,1209.2615,between 3581.5 and 6768.0
Campinas,35.47601,1.9929845,2.040383,2.0099137,16.865803,accept,furnished,169.59964,between 3581.5 and 6768.0
Rio de Janeiro,49.817074,0.9510493,1.0131109,0.004696699,3.14679,accept,furnished,184.83224,greater than 6768.0
Sao Paulo,53.04015,2.0010254,0.9995609,1.005711,0.26242816,accept,furnished,786.75476,between 3581.5 and 6768.0
Sao Paulo,228.35136,2.9950871,6.0305095,3.9839163,6.38628,accept,not furnished,2925.8188,greater than 6768.0
Belo Horizonte,57.941597,3.0066094,0.9762449,1.0000315,-0.13895708,accept,not furnished,-43.705307,less than 2061.75
Sao Paulo,185.98369,2.0037696,2.006634,-0.021366842,7.0702257,accept,furnished,201.9897,between 3581.5 and 6768.0
Sao Paulo,29.95067,0.9778913,0.9580759,1.0121642,4.4958773,accept,not furnished,115.184,less than 2061.75
Rio de Janeiro,365.6642,3.0031354,2.0012052,3.9059167,9.64513,accept,not furnished,5130.7305,greater than 6768.0
Campinas,34.683403,2.009836,1.0019293,1.0161786,0.90145516,accept,not furnished,250.73158,less than 2061.75
