longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-118.50845,34.661907,5.241753,4705.4277,1005.33344,2412.5579,884.5768,7.163272,greater than 264725.0
-118.30767,33.88494,14.369102,2082.1523,415.26022,919.8726,392.93658,3.7820835,between 179700.0 and 264725.0
-119.02717,34.73959,41.488953,784.2681,113.207405,-53.084435,123.47809,2.458495,between 179700.0 and 264725.0
-118.306206,34.012154,27.413721,10756.649,1585.879,4092.7188,1572.9012,8.867784,between 179700.0 and 264725.0
-120.31314,36.7707,33.643894,7830.442,1726.9956,3503.2874,1704.427,1.659544,less than 119600.0
-120.9031,35.884483,32.473,-94.89824,288.6801,614.87146,264.12213,-3.0980463,greater than 264725.0
-118.797554,34.16159,23.46419,2494.9346,456.93582,1147.669,411.85638,2.195319,greater than 264725.0
-118.27409,34.056114,21.188879,3584.1199,890.692,1926.3677,792.2643,2.2987156,between 119600.0 and 179700.0
-119.65324,36.66302,7.9522624,2443.0151,490.17575,1408.0226,435.71527,3.4486516,between 119600.0 and 179700.0
-118.389244,33.656708,31.680605,9404.739,1529.4287,3167.596,1475.2329,5.6752963,greater than 264725.0
-117.40181,33.583168,26.405603,7330.2935,1286.698,2872.359,1088.5109,3.460735,greater than 264725.0
-117.308426,33.11904,11.959633,5914.378,1427.8203,2751.2986,1435.9017,4.818168,greater than 264725.0
-116.41522,32.318645,26.118998,2323.3684,395.87872,1668.6053,355.88983,3.6477883,between 119600.0 and 179700.0
-117.73412,33.542507,42.43159,700.05743,-227.85707,-1756.7031,-790.16876,3.0516772,between 179700.0 and 264725.0
-118.38441,34.568726,26.211487,7115.2275,1337.4141,3079.609,1265.3478,5.0466676,greater than 264725.0
-115.185524,32.67166,37.136333,-1.099726,-1042.4028,516.9808,3585.1228,2.2133226,between 119600.0 and 179700.0
