cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
252.83583,111.1064,0.15451378,174.64572,13.670359,861.3655,788.9487,27.808155,between 34.44277358 and 46.13628654
259.0511,-0.5741742,50.221867,173.82149,6.4795637,901.65027,919.9243,13.326171,less than 23.707115153
299.31903,75.949265,-0.2070109,208.91965,-0.06621035,938.4276,747.8576,27.997787,between 34.44277358 and 46.13628654
331.6339,1.2305831,26.815641,192.92685,4.572112,938.18933,841.8973,51.595615,between 23.707115153 and 34.44277358
233.75882,333.53848,91.33999,155.91998,12.525337,846.84424,850.4204,27.694944,greater than 46.13628654
222.12259,135.1834,1.0918298,212.49382,5.215531,863.9408,775.9821,5.276164,between 34.44277358 and 46.13628654
32.927364,251.94727,0.91542834,155.57841,6.9841037,1013.6023,853.1465,9.676121,less than 23.707115153
201.70059,34.84084,121.0031,113.49412,11.477558,842.32825,917.63947,1.9886131,between 23.707115153 and 34.44277358
336.65295,66.72542,-0.17022978,204.35712,-0.0059718024,916.2229,799.6151,14.410945,less than 23.707115153
279.51727,192.61351,-0.18073973,169.49275,11.231966,1109.2291,642.88556,28.107805,greater than 46.13628654
210.8674,277.3756,-0.5069666,207.5514,-0.0049843173,1080.7808,621.8253,11.794199,between 34.44277358 and 46.13628654
182.01913,0.2252256,93.019844,185.20941,7.4280415,1056.4454,790.62714,99.886635,less than 23.707115153
506.6899,0.14231957,99.944626,188.45572,2.1862268,831.5111,853.3268,29.095238,greater than 46.13628654
207.76694,1.1407635,-0.061844584,190.19145,-0.014054405,968.31885,903.1563,14.317749,less than 23.707115153
228.4254,0.40875757,169.54712,232.08661,2.2468789,912.9823,732.1854,28.577946,less than 23.707115153
142.18153,-0.6215253,170.1186,173.76036,7.6921844,1021.6184,451.47495,29.887161,less than 23.707115153
248.73494,-0.17243877,-0.30326772,193.66667,0.012332621,1031.8053,797.90356,56.50808,between 23.707115153 and 34.44277358
358.75272,-0.014703169,0.20483121,208.65778,0.014676838,822.0879,860.2194,26.00779,greater than 46.13628654
317.54715,-0.38804716,-0.14351831,190.34918,-0.019829132,998.76373,847.42566,75.291115,between 34.44277358 and 46.13628654
219.05818,137.7751,0.16629554,186.41013,0.042897798,1007.60547,712.4425,7.2775083,less than 23.707115153
336.19907,-0.05368484,103.65649,217.7551,4.596799,830.5759,867.5574,7.0531864,between 34.44277358 and 46.13628654
256.4713,186.55536,120.616684,194.77931,2.8722265,892.8,752.2503,25.76987,between 23.707115153 and 34.44277358
427.2524,0.2524367,-0.053795718,162.31294,13.827329,966.99005,815.46277,29.567965,greater than 46.13628654
283.79227,1.0961527,0.33795226,153.62097,-0.02412939,1088.1818,797.10474,57.14412,between 34.44277358 and 46.13628654
367.0895,-0.7317208,94.16172,181.56197,5.863216,979.3906,823.93274,2.8968217,between 34.44277358 and 46.13628654
203.44917,118.29954,0.8762044,198.8496,3.4358034,883.6668,866.3472,11.02856,between 23.707115153 and 34.44277358
491.4627,158.77899,0.08536197,231.4488,-0.0442691,967.0943,560.8692,31.10178,between 34.44277358 and 46.13628654
201.12659,-1.0316298,162.1441,208.87537,12.190981,1054.7833,647.7007,30.401379,between 34.44277358 and 46.13628654
276.3377,0.12536708,26.939257,189.98901,4.427081,826.1769,931.89215,27.697807,between 34.44277358 and 46.13628654
254.81607,-0.48102543,1.5029511,174.43123,9.875977,974.4009,922.5029,5.256669,less than 23.707115153
276.55917,0.018614635,119.283875,181.03766,6.389598,835.90576,921.2768,73.731445,between 34.44277358 and 46.13628654
178.78696,42.253292,117.90144,117.70699,4.812783,824.6909,-789.3761,3.0566096,greater than 46.13628654
