lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
-0.6381986,0.17856961,5163.1465,599.9924,249.56015,1.0062256,1.6358587,385934.34,42000.7,0.017844029,0.16814418,0.4407989,0.0,0.0003364,15.488794,14.11863,72.530106,174.79015,1.5305382,2093.3347,1165155.0,less than 81.0
6.2422485,1.386143,771.4878,235.99748,84.88342,1.619478,4.6539474,444510.12,186616.03,-0.0011327704,8.7585766e-05,0.0006125532,0.0,-0.00042369612,6.3820643,8.8544,81.03679,140.28554,0.77387774,122.23082,1778249.6,between 89.0 and 94.0
-0.370394,-1.5740938,3740.8738,208.4169,105.6562,0.49462548,0.5544708,-1882.8198,14094.483,0.001387713,0.0017928504,0.049486276,0.0,-0.0017413378,2.8531632,5.1864157,154.30428,64.50226,5.485659,207.75732,1059074.5,less than 81.0
45.635777,42.863117,1283.3772,139.87836,162.51898,1.7903332,3.817616,61704.51,129086.66,0.004736116,0.003328268,0.02252435,0.0,-0.001472853,0.80283654,1.0276988,210.36636,167.45744,2.780541,995.6011,1482757.1,between 81.0 and 89.0
16.727446,16.047089,901.3642,117.56549,45.396168,0.6825842,0.60136336,4804.5303,12835.341,0.009441995,-0.015098521,-0.0008967812,0.0,0.0041990634,0.92933464,0.89317393,127.909805,119.119,1.7783805,1638.0933,1633536.1,greater than 94.0
27.737894,7.1598525,3777.3647,364.02002,242.33353,2.0108764,3.3260603,177641.3,202909.89,-0.012082755,-0.0031313868,-0.0005098947,0.0,0.00031353324,12.456011,8.9906225,101.359886,138.75107,3.1599739,725.35986,1184563.8,less than 81.0
19.520067,5.2010827,3668.7036,393.86655,373.75128,4.6326113,1.8011154,320161.0,87126.375,0.0054163,0.0022235592,0.020034105,0.0,-0.1644154,10.112474,9.993894,80.736275,284.48657,2.6146278,930.1008,1089268.8,between 81.0 and 89.0
8.005219,16.206997,2662.728,438.19077,268.07462,3.052239,5.192919,270646.9,61472.406,-0.010229666,0.002674594,-0.0022180553,0.0,0.19074892,5.336101,5.3622546,190.75116,214.88791,1.7062336,117.075264,1073506.2,less than 81.0
11.212165,1.6959362,2283.8367,167.13521,148.9313,2.514111,1.2228804,134712.22,7487.451,-0.0023883642,0.0010128487,-0.0011331496,0.0,-0.0004606489,4.793898,6.7556257,142.09439,155.15057,4.08843,525.35394,1039197.75,between 81.0 and 89.0
38.12097,5.6602182,2591.0972,317.24704,170.89766,1.9465742,2.6582274,467065.47,106886.64,-0.0038181979,-0.0028732708,0.010876495,0.0,-0.001425315,5.7892065,6.9089913,114.68981,154.0851,3.442825,1470.9432,1232300.8,between 89.0 and 94.0
28.36962,23.123402,2929.9788,309.4938,248.79337,0.7450181,0.8218701,47159.832,68032.805,0.0001921258,-0.0017281543,-0.14945304,0.0,0.4951727,0.8956172,0.80674386,131.26318,91.00537,2.4115288,1444.5961,1555223.1,between 81.0 and 89.0
64.40692,85.68087,3360.586,422.27545,440.4716,2.2206469,4.7816987,176110.81,21715.156,0.00039695506,0.0036580213,-0.0024812766,0.0,0.00036707125,1.3384076,4.8494387,165.71127,222.21107,2.6454756,1202.7012,1297295.6,between 81.0 and 89.0
24.311024,-1.0974241,1751.001,104.78394,48.551666,1.4837178,0.39845118,250577.6,111096.65,9.1767404e-05,-0.009319397,0.06782808,0.0,-0.00089879276,2.220243,3.8336966,20.393394,96.94906,0.90616417,914.1158,1609661.4,less than 81.0
0.8580386,2.8792057,286.5246,17.836538,9.821793,0.2895098,0.20529903,79894.555,13328.325,0.00016307156,0.019463878,1.2633345,0.0,-0.00089962763,2.7729309,3.7164066,269.37424,43.141045,2.4586926,4018.355,1863554.8,greater than 94.0
0.25758976,-0.036846854,437.8273,19.779047,31.307281,1.6362568,1.7487478,329401.56,78904.5,0.008292669,0.022723978,-0.41252688,0.0,-0.00032650097,2.7962983,1.2694217,209.0292,121.34882,2.443072,4849.414,1838869.9,between 89.0 and 94.0
10.06823,18.912075,2242.1838,57.10681,51.078693,0.7463675,0.9488621,16368.056,4823.719,-0.00019823294,0.002055828,0.0033534383,0.0,0.00045692082,3.7841039,5.007815,42.54814,82.91458,3.7064347,255.82565,1015313.44,between 89.0 and 94.0
